Time(sec),AN26GE0GN8DP0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-92.97734792984792
268.0,-76.53630036630037
269.0,-59.93717948717949
270.0,-45.011207264957264
271.0,-39.12152777777778
272.0,-36.894675925925924
273.0,-34.66782407407407
274.0,-32.44097222222222
275.0,-30.21412037037037
276.0,-27.987268518518515
277.0,-25.760416666666664
278.0,-23.533564814814813
279.0,-21.306712962962962
280.0,-19.079861111111107
281.0,-16.85300925925926
282.0,-14.626157407407405
283.0,-12.399305555555554
284.0,-10.1724537037037
285.0,-7.945601851851849
286.0,-5.71875
287.0,-3.4918981481481453
288.0,-1.2650462962962954
289.0,0.9618055555555571
290.0,3.188657407407409
291.0,5.4155092592592595
292.0,7.642361111111114
293.0,9.869212962962964
294.0,12.096064814814817
295.0,14.322916666666668
296.0,16.54976851851852
297.0,18.776620370370374
298.0,21.00347222222222
299.0,23.230324074074076
300.0,25.45717592592593
301.0,27.68402777777778
302.0,29.910879629629626
303.0,32.13773148148148
304.0,34.364583333333336
305.0,36.59143518518518
306.0,38.81828703703704
307.0,41.04513888888889
308.0,43.27199074074074
309.0,45.49884259259259
310.0,47.72569444444445
311.0,49.9525462962963
312.0,52.17939814814814
313.0,54.40625
314.0,56.63310185185186
315.0,58.85995370370371
316.0,61.08680555555556
317.0,63.31365740740741
318.0,65.54050925925927
319.0,67.76736111111111
320.0,69.99421296296296
321.0,72.22106481481481
322.0,74.44791666666666
323.0,76.6747685185185
324.0,78.90162037037038
325.0,81.12847222222223
326.0,83.35532407407408
327.0,85.58217592592592
328.0,87.80902777777779
329.0,90.03587962962965
330.0,92.2627314814815
331.0,94.48958333333334
332.0,96.71643518518519
333.0,98.61398148148149
334.0,91.25609126984128
335.0,77.81371031746032
336.0,65.22112554112553
337.0,49.76880952380952
338.0,32.28666666666667
339.0,14.711111111111112
340.0,-1.1666666666666667
341.0,-15.133333333333335
342.0,-28.416666666666668
343.0,-41.66666666666667
344.0,-56.11813186813187
345.0,-71.78333333333333
346.0,-87.34166666666667
347.0,-98.17222222222222
348.0,-98.59920634920636
349.0,-98.67857142857142
350.0,-98.7579365079365
351.0,-98.8373015873016
352.0,-98.91666666666666
353.0,-98.98809523809524
354.0,-99.0
355.0,-99.0
356.0,-99.0
357.0,-99.0
358.0,-99.0
359.0,-99.0
360.0,-99.0
361.0,-99.0
362.0,-99.0
363.0,-99.0
364.0,-99.0
365.0,-99.0
366.0,-99.0
367.0,-99.0
368.0,-99.0
369.0,-99.0
370.0,-99.0
371.0,-99.0
372.0,-99.0
373.0,-99.0
374.0,-99.0
375.0,-99.0
376.0,-99.0
377.0,-99.0
378.0,-99.0
379.0,-99.0
380.0,-99.0
381.0,-99.0
382.0,-99.0
383.0,-99.0
384.0,-99.0
385.0,-99.0
386.0,-99.0
387.0,-99.0
388.0,-99.0
389.0,-99.0
390.0,-99.0
391.0,-99.0
392.0,-99.0
393.0,-99.0
394.0,-99.0
395.0,-99.0
396.0,-99.0
397.0,-99.0
398.0,-99.0
399.0,-99.0
400.0,-99.0
401.0,-99.0
402.0,-99.0
403.0,-99.0
404.0,-99.0
405.0,-99.0
406.0,-99.0
407.0,-99.0
408.0,-99.0
409.0,-99.0
410.0,-99.0
411.0,-99.0
412.0,-99.0
413.0,-99.0
414.0,-99.0
415.0,-99.0
416.0,-99.0
417.0,-99.0
418.0,-99.0
419.0,-99.0
420.0,-99.0
421.0,-99.0
422.0,-99.0
423.0,-99.0
424.0,-99.0
425.0,-99.0
426.0,-99.0
427.0,-99.0
428.0,-99.0
429.0,-99.0
430.0,-99.0
431.0,-99.0
432.0,-99.0
433.0,-99.0
434.0,-99.0
435.0,-99.0
436.0,-99.0
437.0,-99.0
438.0,-99.0
439.0,-99.0
440.0,-99.0
441.0,-99.0
442.0,-99.0
443.0,-99.0
444.0,-99.0
445.0,-99.0
446.0,-99.0
447.0,-99.0
448.0,-99.0
449.0,-99.0
450.0,-99.0
451.0,-99.0
452.0,-99.0
453.0,-99.0
454.0,-99.0
455.0,-99.0
456.0,-99.0
457.0,-99.0
458.0,-99.0
459.0,-99.0
460.0,-99.0
461.0,-99.0
462.0,-99.0
463.0,-99.0
464.0,-99.0
465.0,-99.0
466.0,-99.0
467.0,-99.0
468.0,-99.0
469.0,-99.0
470.0,-99.0
471.0,-99.0
472.0,-99.0
473.0,-99.0
474.0,-99.0
475.0,-99.0
476.0,-99.0
477.0,-99.0
478.0,-99.0
479.0,-99.0
480.0,-99.0
481.0,-99.0
482.0,-99.0
483.0,-99.0
484.0,-99.0
485.0,-99.0
486.0,-99.0
487.0,-99.0
488.0,-99.0
489.0,-99.0
490.0,-99.0
491.0,-99.0
492.0,-99.0
493.0,-99.0
494.0,-99.0
495.0,-99.0
496.0,-99.0
497.0,-99.0
498.0,-99.0
499.0,-99.0
500.0,-99.0
501.0,-99.0
502.0,-99.0
503.0,-99.0
504.0,-99.0
505.0,-99.0
506.0,-99.0
507.0,-99.0
508.0,-99.0
509.0,-99.0
510.0,-99.0
511.0,-99.0
512.0,-99.0
513.0,-99.0
514.0,-99.0
515.0,-99.0
516.0,-99.0
517.0,-99.0
518.0,-99.0
519.0,-99.0
520.0,-99.0
521.0,-99.0
522.0,-99.0
523.0,-99.0
524.0,-99.0
525.0,-99.0
526.0,-99.0
527.0,-99.0
528.0,-99.0
529.0,-99.0
530.0,-99.0
531.0,-99.0
532.0,-99.0
533.0,-99.0
534.0,-99.0
535.0,-99.0
536.0,-99.0
537.0,-99.0
538.0,-99.0
539.0,-99.0
540.0,-99.0
541.0,-99.0
542.0,-99.0
543.0,-99.0
544.0,-99.0
545.0,-99.0
546.0,-99.0
547.0,-99.0
548.0,-99.0
549.0,-99.0
550.0,-99.0
551.0,-99.0
552.0,-99.0
553.0,-99.0
554.0,-99.0
555.0,-99.0
556.0,-99.0
557.0,-99.0
558.0,-99.0
559.0,-99.0
560.0,-99.0
561.0,-99.0
562.0,-99.0
563.0,-99.0
564.0,-99.0
565.0,-99.0
566.0,-99.0
567.0,-99.0
568.0,-99.0
