Time(sec),A1EK8YNHZHTW1
183.0,-42.1047619047619
184.0,-42.0
185.0,-42.0
186.0,-42.0
187.0,-42.0
188.0,-42.0
189.0,-42.0
190.0,-42.0
191.0,-42.0
192.0,-42.0
193.0,-42.0
194.0,-42.13575757575758
195.0,-42.60606060606061
196.0,-43.09090909090909
197.0,-46.2939393939394
198.0,-55.61458333333333
199.0,-62.420833333333334
200.0,-70.50023809523809
201.0,-74.0
202.0,-78.24722222222222
203.0,-83.0202380952381
204.0,-92.0
205.0,-92.0
206.0,-92.0
207.0,-94.63376623376624
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-92.9425
232.0,-72.79333333333332
233.0,-70.0
234.0,-70.0
235.0,-70.0
236.0,-70.0
237.0,-70.0
238.0,-70.0
239.0,-70.0
240.0,-70.0
241.0,-81.7703373015873
242.0,-85.985
243.0,-75.80257352941177
244.0,-75.0
245.0,-75.0
246.0,-78.46666666666667
247.0,-88.05227272727272
248.0,-92.0
249.0,-96.85833333333333
250.0,-97.03111111111112
251.0,-97.13888888888889
252.0,-97.25
253.0,-97.36111111111111
254.0,-97.47222222222223
255.0,-97.58333333333334
256.0,-99.29666666666667
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-92.33333333333334
270.0,-88.15034482758621
271.0,-87.81379310344828
272.0,-87.67586206896551
273.0,-87.53793103448275
274.0,-87.4
275.0,-87.26206896551724
276.0,-87.12413793103448
277.0,-86.98620689655172
278.0,-86.84827586206896
279.0,-86.71034482758621
280.0,-86.57241379310345
281.0,-86.43448275862069
282.0,-86.29655172413793
283.0,-86.15862068965518
284.0,-86.02896551724139
285.0,-86.0
286.0,-86.08333333333334
287.0,-87.18055555555556
288.0,-92.93878968253969
289.0,-99.53571428571429
290.0,-99.99285714285715
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-99.77142857142857
313.0,-98.4
314.0,-94.0
315.0,-94.0
316.0,-94.0
317.0,-94.0
318.0,-94.0
319.0,-94.0
320.0,-94.0
321.0,-94.0
322.0,-94.0
323.0,-94.0
324.0,-94.0
325.0,-95.59183673469389
326.0,-99.73783047309833
327.0,-99.77130681818183
328.0,-99.57244318181817
329.0,-99.37357954545455
330.0,-97.98068181818182
331.0,-90.3
332.0,-84.66666666666667
333.0,-84.0
334.0,-84.0
335.0,-84.0
336.0,-86.0125
337.0,-97.88846153846154
338.0,-99.6025641025641
339.0,-99.85897435897435
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-98.90971659919028
355.0,-75.6512117219654
356.0,-28.47460012210012
357.0,15.90920177045177
358.0,59.486170447199854
359.0,79.24207792207793
360.0,99.375
361.0,100.0
362.0,100.0
363.0,100.0
364.0,100.0
365.0,100.0
366.0,100.0
367.0,100.0
368.0,100.0
369.0,100.0
370.0,100.0
371.0,100.0
372.0,100.0
373.0,100.0
374.0,100.0
375.0,100.0
376.0,100.0
377.0,100.0
378.0,100.0
379.0,100.0
380.0,100.0
381.0,100.0
382.0,100.0
383.0,100.0
384.0,100.0
385.0,100.0
386.0,100.0
387.0,100.0
388.0,100.0
389.0,100.0
390.0,100.0
391.0,100.0
392.0,100.0
393.0,100.0
394.0,100.0
395.0,100.0
396.0,100.0
397.0,100.0
398.0,100.0
399.0,100.0
400.0,100.0
401.0,100.0
402.0,99.4
403.0,80.96041666666667
404.0,56.15194444444444
405.0,33.94375
406.0,18.561904761904763
407.0,7.666666666666667
408.0,-3.738214285714286
409.0,-16.965
410.0,-30.10833333333333
411.0,-43.964747474747476
412.0,-62.71380952380953
413.0,-84.41260484749455
414.0,-99.44619883040936
415.0,-100.0
416.0,-100.0
417.0,-100.0
418.0,-100.0
419.0,-100.0
420.0,-100.0
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-96.48095238095239
521.0,-89.44383116883117
522.0,-83.54545454545455
523.0,-83.0
524.0,-83.0
525.0,-83.0
526.0,-83.0
527.0,-83.23333333333333
528.0,-87.29666666666667
529.0,-90.0
530.0,-90.0
531.0,-90.0
532.0,-90.0
533.0,-90.0
534.0,-90.0
535.0,-90.0
536.0,-90.0
537.0,-90.0
538.0,-90.0
539.0,-90.0
540.0,-90.0
541.0,-90.0
542.0,-90.0
543.0,-90.0
544.0,-90.0
545.0,-90.0
546.0,-90.0
547.0,-90.0
548.0,-90.0
549.0,-90.0
550.0,-90.0
551.0,-90.0
552.0,-88.29166666666667
553.0,-75.175
554.0,-74.0
555.0,-74.0
556.0,-74.0
557.0,-63.98059143222506
558.0,-53.0
559.0,-46.60388888888889
560.0,-46.0
561.0,-46.0
562.0,-40.84519675925926
563.0,-39.81481481481482
564.0,-39.567901234567906
565.0,-36.55135802469136
566.0,-25.196666666666665
567.0,-23.0
568.0,-29.32833333333333
569.0,-34.36
570.0,-41.32
571.0,-42.83619047619048
572.0,-50.65194597069597
573.0,-58.0
574.0,-58.0
575.0,-58.0
576.0,-58.0
577.0,-58.0
578.0,-58.0
579.0,-58.0
580.0,-58.0
581.0,-52.733333333333334
582.0,-45.93333333333333
583.0,-45.0
584.0,-45.0
585.0,-45.0
586.0,-45.0
587.0,-45.0
588.0,-45.0
589.0,-45.0
590.0,-45.0
591.0,-45.0
592.0,-45.0
593.0,-45.0
594.0,-45.0
595.0,-45.0
596.0,-45.0
597.0,-45.0
598.0,-45.0
599.0,-45.0
600.0,-45.0
