Time(sec),AGK30V341UN88
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-96.18333333333334
202.0,-84.77000000000001
203.0,-84.0
204.0,-84.0
205.0,-84.0
206.0,-84.0
207.0,-84.0
208.0,-88.484603988604
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-91.65208333333334
287.0,-79.00285714285715
288.0,-77.0
289.0,-77.0
290.0,-77.0
291.0,-77.0
292.0,-77.0
293.0,-67.175
294.0,-55.661616161616166
295.0,-48.3437037037037
296.0,-46.48148148148148
297.0,-46.23456790123457
298.0,-46.02469135802469
299.0,-46.0
300.0,-46.0
301.0,-46.0
302.0,-46.0
303.0,-46.0
304.0,-46.0
305.0,-46.0
306.0,-46.0
307.0,-46.0
308.0,-46.0
309.0,-46.0
310.0,-46.0
311.0,-46.0
312.0,-45.95
313.0,-43.675
314.0,-31.513333333333332
315.0,-21.1
316.0,-23.0
317.0,-29.151260487006347
318.0,-38.93646408839779
319.0,-38.93646408839779
320.0,-38.93646408839779
321.0,-38.82972375690608
322.0,-38.66678944137508
323.0,-38.62414978514426
324.0,-38.363370165745856
325.0,-38.15116022099447
326.0,-37.775027624309395
327.0,-37.08269797421731
328.0,-34.816795580110494
329.0,-32.332710865561694
330.0,-31.06436464088398
331.0,-29.87073664825046
332.0,-28.66549066035254
333.0,-28.193812154696133
334.0,-26.11110497237569
335.0,-20.092983425414364
336.0,-9.668028784046538
337.0,-26.06640800865801
338.0,-43.33904761904762
339.0,-56.64972934472935
340.0,-72.4047619047619
341.0,-93.62777777777778
342.0,-97.77727272727273
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-97.73065476190476
353.0,-69.92833333333333
354.0,-65.0
355.0,-64.08333333333334
356.0,-51.73235294117647
357.0,-51.0
358.0,-56.24744039586145
359.0,-82.745
360.0,-98.34375
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-92.86666666666666
378.0,-79.55
379.0,-67.24452380952381
380.0,-54.79666666666667
381.0,-51.0
382.0,-51.0
383.0,-51.0
384.0,-51.0
385.0,-51.0
386.0,-51.0
387.0,-51.0
388.0,-53.751594387755105
389.0,-59.0
390.0,-59.0
391.0,-59.0
392.0,-59.0
393.0,-59.0
394.0,-59.0
395.0,-59.0
396.0,-59.0
397.0,-59.0
398.0,-59.0
399.0,-59.0
400.0,-59.0
401.0,-59.0
402.0,-59.0
403.0,-59.0
404.0,-59.0
405.0,-59.0
406.0,-59.0
407.0,-59.0
408.0,-59.0
409.0,-59.0
410.0,-59.0
411.0,-59.0
412.0,-59.0
413.0,-59.0
414.0,-59.0
415.0,-59.0
416.0,-59.0
417.0,-59.0
418.0,-59.0
419.0,-59.0
420.0,-59.0
421.0,-59.0
422.0,-59.0
423.0,-59.0
424.0,-59.0
425.0,-58.35
426.0,-50.97348484848485
427.0,-50.75
428.0,-50.75
429.0,-50.75
430.0,-50.75
431.0,-47.40717532467532
432.0,-18.6369487010574
433.0,5.128371212121212
434.0,0.5474786324786326
435.0,-22.45611111111111
436.0,-47.55424836601307
437.0,-51.906089743589746
438.0,-55.2
439.0,-62.2
440.0,-64.0
441.0,-64.0
442.0,-64.19060846560846
443.0,-76.97526973026973
444.0,-82.0
445.0,-82.0
446.0,-82.0
447.0,-82.0
448.0,-82.0
449.0,-82.0
450.0,-82.0
451.0,-82.0
452.0,-74.9849013949014
453.0,-55.18675685425685
454.0,-37.15295454545454
455.0,-32.0
456.0,-60.549142470589835
457.0,-88.45684469941823
458.0,-90.97999999999999
459.0,-91.0
460.0,-91.0
461.0,-91.0
462.0,-91.0
463.0,-91.0
464.0,-91.0
465.0,-90.9
466.0,-69.21878885493592
467.0,-56.64
468.0,-53.41151336898396
469.0,-36.918889553429025
470.0,-36.375
471.0,-36.375
472.0,-6.2718419579662
473.0,49.62734198027037
474.0,68.771875
475.0,85.27915141676506
476.0,96.98295454545455
477.0,92.19901648059542
478.0,63.92993495734286
479.0,32.79137966608555
480.0,-10.895422771672772
481.0,-39.03930549842315
482.0,-54.59117849062702
483.0,-70.0732647907648
484.0,-82.83873015873016
485.0,-85.0
486.0,-85.0
487.0,-91.78618393009377
488.0,-99.8
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-99.6595238095238
527.0,-82.43919948107448
528.0,-65.45747685185185
529.0,-93.28154761904761
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-99.78464285714286
566.0,-87.14991071428571
567.0,-79.05795634920635
568.0,-75.0
569.0,-75.0
570.0,-75.0
571.0,-75.0
572.0,-75.0
573.0,-75.0
574.0,-75.0
575.0,-75.0
576.0,-75.0
577.0,-75.0
578.0,-75.0
579.0,-75.0
580.0,-75.0
581.0,-75.0
582.0,-75.0
583.0,-75.0
584.0,-75.0
585.0,-75.0
586.0,-75.0
587.0,-75.0
588.0,-75.0
589.0,-75.0
590.0,-75.0
591.0,-75.0
592.0,-75.0
593.0,-75.0
594.0,-75.0
595.0,-75.0
596.0,-75.0
597.0,-75.0
598.0,-75.0
599.0,-75.0
600.0,-75.0
601.0,-75.0
602.0,-75.0
603.0,-75.0
604.0,-75.0
605.0,-75.0
606.0,-75.0
607.0,-75.0
608.0,-75.0
609.0,-75.0
610.0,-75.0
611.0,-75.0
612.0,-75.0
613.0,-75.0
614.0,-75.0
615.0,-75.0
616.0,-75.0
617.0,-75.0
618.0,-75.0
619.0,-75.0
620.0,-75.0
621.0,-75.0
622.0,-75.0
623.0,-76.92083333333333
624.0,-79.0
625.0,-79.0
626.0,-79.0
627.0,-79.0
628.0,-79.0
629.0,-79.0
630.0,-79.0
631.0,-79.0
632.0,-79.0
633.0,-79.0
634.0,-79.0
635.0,-79.0
636.0,-79.0
637.0,-79.0
638.0,-79.0
639.0,-79.0
640.0,-79.0
641.0,-79.625
642.0,-80.0
643.0,-81.27777777777779
644.0,-92.80087412587413
645.0,-96.2
646.0,-97.0
647.0,-97.0
648.0,-97.0
649.0,-97.0
650.0,-97.0
651.0,-97.0
652.0,-97.0
653.0,-97.0
654.0,-97.0
655.0,-97.0
656.0,-97.0
657.0,-97.0
658.0,-97.0
659.0,-97.0
660.0,-97.0
661.0,-97.0
662.0,-97.0
663.0,-97.0
664.0,-97.0
665.0,-97.0
666.0,-97.0
667.0,-97.0
668.0,-97.0
669.0,-97.0
670.0,-97.0
671.0,-97.0
672.0,-97.0
673.0,-87.68353174603175
674.0,-69.42285714285714
675.0,-61.0
676.0,-61.0
677.0,-61.0
678.0,-61.0
679.0,-61.0
680.0,-61.0
681.0,-61.0
682.0,-61.0
683.0,-61.0
684.0,-65.48194444444445
685.0,-84.44244047619047
686.0,-94.0
687.0,-94.0
688.0,-94.0
689.0,-94.0
690.0,-94.0
691.0,-94.0
692.0,-94.0
693.0,-94.0
694.0,-94.0
695.0,-94.0
696.0,-94.0
697.0,-94.0
698.0,-94.0
699.0,-94.0
700.0,-94.0
701.0,-94.0
702.0,-94.0
