Time(sec),A20VJWCDIBKTZ
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-99.99787485242031
195.0,-99.98512396694215
196.0,-99.97095631641086
197.0,-99.95678866587957
198.0,-99.9426210153483
199.0,-99.928453364817
200.0,-99.91428571428571
201.0,-99.90011806375443
202.0,-99.88595041322314
203.0,-99.87178276269185
204.0,-99.85761511216057
205.0,-99.84344746162928
206.0,-99.82927981109799
207.0,-99.81511216056671
208.0,-99.80094451003542
209.0,-99.78677685950413
210.0,-99.77260920897285
211.0,-99.75844155844156
212.0,-99.74427390791027
213.0,-99.73010625737899
214.0,-99.7159386068477
215.0,-99.70177095631641
216.0,-99.68760330578513
217.0,-99.67343565525384
218.0,-99.65926800472255
219.0,-99.64510035419127
220.0,-99.63093270365998
221.0,-99.61676505312869
222.0,-99.60259740259741
223.0,-99.58842975206612
224.0,-99.57426210153483
225.0,-99.56009445100355
226.0,-99.54592680047226
227.0,-99.53175914994097
228.0,-99.51759149940969
229.0,-99.5034238488784
230.0,-99.4892561983471
231.0,-99.47508854781583
232.0,-99.46092089728454
233.0,-99.44675324675325
234.0,-99.43258559622197
235.0,-99.41841794569068
236.0,-99.40425029515939
237.0,-99.39008264462811
238.0,-99.37591499409682
239.0,-99.36174734356553
240.0,-99.34757969303425
241.0,-99.33341204250296
242.0,-99.31924439197167
243.0,-99.30507674144039
244.0,-99.2909090909091
245.0,-99.2767414403778
246.0,-99.26257378984653
247.0,-99.24840613931524
248.0,-99.23423848878394
249.0,-99.22007083825267
250.0,-99.20590318772138
251.0,-99.19173553719008
252.0,-99.1775678866588
253.0,-99.1634002361275
254.0,-99.14923258559622
255.0,-99.13506493506495
256.0,-99.12089728453364
257.0,-99.10672963400236
258.0,-99.09256198347109
259.0,-99.07839433293978
260.0,-99.0642266824085
261.0,-99.05005903187723
262.0,-99.03589138134592
263.0,-99.02172373081464
264.0,-99.00755608028336
265.0,-98.99338842975206
266.0,-98.97922077922078
267.0,-98.9650531286895
268.0,-98.9508854781582
269.0,-98.93671782762692
270.0,-98.92255017709564
271.0,-98.90838252656434
272.0,-98.89421487603306
273.0,-98.88004722550178
274.0,-98.86587957497048
275.0,-98.8517119244392
276.0,-98.83754427390792
277.0,-98.82337662337662
278.0,-98.80920897284534
279.0,-98.79504132231406
280.0,-98.78087367178276
281.0,-98.76670602125148
282.0,-98.7525383707202
283.0,-98.7383707201889
284.0,-98.72420306965762
285.0,-98.71003541912634
286.0,-98.69586776859504
287.0,-98.68170011806376
288.0,-98.66753246753248
289.0,-98.65336481700118
290.0,-98.6391971664699
291.0,-98.62502951593862
292.0,-98.61086186540732
293.0,-98.59669421487604
294.0,-98.58252656434476
295.0,-98.56835891381346
296.0,-98.55419126328218
297.0,-98.5400236127509
298.0,-98.5258559622196
299.0,-98.51168831168832
300.0,-98.49752066115704
301.0,-98.48335301062573
302.0,-98.46918536009446
303.0,-98.45501770956318
304.0,-98.44085005903187
305.0,-98.4266824085006
306.0,-98.40741440377805
307.0,-98.37922077922079
308.0,-98.35088547815822
309.0,-98.32255017709564
310.0,-96.57268145995418
311.0,-52.17361424807077
312.0,-58.779696969696964
313.0,-77.8
314.0,-77.8
315.0,-77.8
316.0,-77.8
317.0,-77.8
318.0,-77.8
319.0,-83.93619047619048
320.0,-98.40537634408602
321.0,-98.81182795698925
322.0,-98.91935483870968
323.0,-99.02688172043011
324.0,-99.13440860215054
325.0,-99.24193548387098
326.0,-99.34946236559139
327.0,-99.45698924731184
328.0,-99.56451612903226
329.0,-99.67204301075269
330.0,-99.77956989247312
331.0,-99.88709677419355
332.0,-99.98387096774194
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
392.0,-100.0
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-100.0
399.0,-100.0
400.0,-100.0
401.0,-100.0
402.0,-100.0
403.0,-100.0
404.0,-100.0
405.0,-100.0
406.0,-100.0
407.0,-100.0
408.0,-100.0
409.0,-100.0
410.0,-100.0
411.0,-100.0
412.0,-100.0
413.0,-100.0
414.0,-100.0
415.0,-100.0
416.0,-100.0
417.0,-100.0
418.0,-100.0
419.0,-100.0
420.0,-100.0
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
