Time(sec),A1R09GS9W47R5
191.0,55.651601830663616
192.0,55.64016018306636
193.0,55.628718535469105
194.0,55.61727688787185
195.0,55.6058352402746
196.0,55.59439359267734
197.0,55.5829519450801
198.0,55.57151029748284
199.0,55.56006864988558
200.0,55.548627002288335
201.0,55.537185354691076
202.0,55.52574370709382
203.0,55.51430205949657
204.0,53.93653699466056
205.0,7.758333333333333
206.0,-40.00833333333333
207.0,-42.0
208.0,-42.0
209.0,-42.0
210.0,-42.0
211.0,-42.0
212.0,-42.0
213.0,-42.0
214.0,-42.0
215.0,-42.0
216.0,-45.50469798657718
217.0,-47.02572706935123
218.0,-47.04809843400447
219.0,-47.07046979865772
220.0,-47.09284116331096
221.0,-47.115212527964204
222.0,-47.13758389261745
223.0,-47.159955257270695
224.0,-47.182326621923934
225.0,-47.20469798657719
226.0,-47.227069351230426
227.0,-47.249440715883665
228.0,-47.27181208053692
229.0,-47.29418344519016
230.0,-47.316554809843396
231.0,-47.33892617449665
232.0,-47.36129753914989
233.0,-47.38366890380313
234.0,-47.40604026845638
235.0,-47.42841163310962
236.0,-47.45078299776286
237.0,-47.47315436241611
238.0,-47.49552572706935
239.0,-47.517897091722595
240.0,-47.54026845637584
241.0,-47.56263982102909
242.0,-47.585011185682326
243.0,-47.60738255033557
244.0,-47.62975391498882
245.0,-47.65212527964206
246.0,-47.6744966442953
247.0,-47.69686800894855
248.0,-47.71923937360179
249.0,-47.741610738255034
250.0,-47.76398210290828
251.0,-47.78635346756152
252.0,-47.808724832214764
253.0,-47.83109619686801
254.0,-47.85346756152125
255.0,-47.875838926174495
256.0,-47.89821029082774
257.0,-47.92058165548099
258.0,-47.942953020134226
259.0,-47.96532438478747
260.0,-47.98769574944072
261.0,-48.0
262.0,-48.0
263.0,-48.0
264.0,-48.0
265.0,-48.0
266.0,-48.0
267.0,-48.0
268.0,-48.0
269.0,-48.0
270.0,-48.0
271.0,-48.0
272.0,-48.0
273.0,-48.0
274.0,-48.0
275.0,-48.0
276.0,-48.0
277.0,-48.0
278.0,-48.0
279.0,-48.0
280.0,-48.0
281.0,-48.0
282.0,-48.0
283.0,-48.0
284.0,-48.0
285.0,-48.0
286.0,-48.0
287.0,-48.0
288.0,-48.0
289.0,-48.0
290.0,-48.0
291.0,-48.0
292.0,-48.0
293.0,-48.0
294.0,-48.0
295.0,-48.0
296.0,-48.0
297.0,-48.0
298.0,-48.0
299.0,-48.0
300.0,-48.0
301.0,-48.0
302.0,-48.0
303.0,-48.0
304.0,-48.0
305.0,-48.0
306.0,-48.0
307.0,-48.0
308.0,-48.0
309.0,-48.0
310.0,-48.0
311.0,-48.0
312.0,-48.0
313.0,-48.0
314.0,-48.0
315.0,-48.0
316.0,-48.0
317.0,-48.0
318.0,-48.0
319.0,-48.0
320.0,-48.0
321.0,-48.0
322.0,-48.0
323.0,-48.0
324.0,-48.0
325.0,-48.0
326.0,-48.0
327.0,-48.0
328.0,-48.0
329.0,-48.0
330.0,-48.0
331.0,-48.0
332.0,-48.0
333.0,-48.0
334.0,-48.0
335.0,-48.0
336.0,-48.0
337.0,-48.0
338.0,-48.0
339.0,-48.0
340.0,-48.0
341.0,-48.0
342.0,-48.0
343.0,-48.0
344.0,-48.0
345.0,-48.0
346.0,-48.0
347.0,-48.0
348.0,-48.0
349.0,-48.0
350.0,-48.0
351.0,-48.0
352.0,-48.0
353.0,-48.0
354.0,-48.0
355.0,-48.0
356.0,-48.0
357.0,-48.0
358.0,-48.0
359.0,-48.0
360.0,-48.0
361.0,-48.0
362.0,-48.0
363.0,-48.0
364.0,-48.0
365.0,-48.0
366.0,-48.0
367.0,-48.0
368.0,-48.0
369.0,-48.0
370.0,-48.0
371.0,-48.0
372.0,-48.0
373.0,-48.0
374.0,-48.0
375.0,-48.0
376.0,-48.0
377.0,-48.0
378.0,-48.0
379.0,-48.0
380.0,-48.0
381.0,-48.0
382.0,-48.0
383.0,-48.0
384.0,-48.0
385.0,-48.0
386.0,-48.0
387.0,-48.0
388.0,-48.0
389.0,-48.0
390.0,-48.0
391.0,-48.0
392.0,-48.0
393.0,-48.0
394.0,-48.0
395.0,-48.0
396.0,-48.0
397.0,-48.0
398.0,-48.0
399.0,-48.0
400.0,-48.0
401.0,-48.0
402.0,-48.0
403.0,-48.0
404.0,-48.0
405.0,-48.0
406.0,-45.86666666666667
407.0,-45.333333333333336
408.0,-45.333333333333336
409.0,-45.333333333333336
410.0,-45.333333333333336
411.0,-45.333333333333336
412.0,-45.333333333333336
413.0,-45.333333333333336
414.0,-45.333333333333336
415.0,-45.333333333333336
416.0,-27.591428571428573
417.0,32.4
418.0,72.76190476190476
419.0,98.57758620689656
420.0,98.75
421.0,98.92241379310344
422.0,99.09482758620689
423.0,99.26724137931035
424.0,99.4396551724138
425.0,99.61206896551724
426.0,99.78448275862068
427.0,99.95172413793104
428.0,100.0
429.0,100.0
430.0,100.0
431.0,100.0
432.0,100.0
433.0,100.0
434.0,100.0
435.0,100.0
436.0,100.0
437.0,100.0
438.0,100.0
439.0,100.0
440.0,100.0
441.0,100.0
442.0,100.0
443.0,100.0
444.0,100.0
445.0,100.0
446.0,100.0
447.0,100.0
448.0,100.0
449.0,100.0
450.0,100.0
451.0,100.0
452.0,100.0
453.0,100.0
454.0,100.0
455.0,100.0
456.0,100.0
457.0,100.0
458.0,100.0
459.0,100.0
460.0,100.0
461.0,100.0
462.0,100.0
463.0,100.0
464.0,100.0
465.0,100.0
466.0,100.0
467.0,100.0
468.0,100.0
469.0,100.0
470.0,100.0
471.0,100.0
472.0,100.0
473.0,100.0
474.0,100.0
475.0,100.0
476.0,100.0
477.0,100.0
478.0,100.0
479.0,100.0
480.0,100.0
481.0,100.0
482.0,100.0
483.0,100.0
484.0,100.0
485.0,100.0
486.0,100.0
487.0,100.0
488.0,100.0
489.0,100.0
490.0,100.0
491.0,100.0
492.0,100.0
493.0,100.0
494.0,100.0
495.0,100.0
496.0,100.0
497.0,100.0
498.0,100.0
499.0,100.0
500.0,100.0
501.0,100.0
502.0,100.0
503.0,100.0
504.0,100.0
505.0,100.0
506.0,100.0
507.0,100.0
508.0,100.0
509.0,100.0
510.0,100.0
511.0,100.0
512.0,100.0
513.0,100.0
514.0,100.0
515.0,100.0
516.0,100.0
517.0,100.0
518.0,100.0
519.0,100.0
520.0,100.0
521.0,100.0
522.0,100.0
523.0,100.0
524.0,100.0
525.0,100.0
526.0,100.0
527.0,100.0
528.0,100.0
529.0,100.0
530.0,100.0
531.0,100.0
532.0,100.0
533.0,100.0
534.0,100.0
535.0,100.0
536.0,100.0
537.0,100.0
538.0,100.0
539.0,100.0
540.0,100.0
541.0,100.0
542.0,100.0
543.0,100.0
544.0,100.0
545.0,100.0
546.0,100.0
547.0,100.0
548.0,100.0
549.0,100.0
550.0,100.0
551.0,100.0
552.0,100.0
553.0,100.0
554.0,100.0
555.0,100.0
556.0,100.0
557.0,100.0
558.0,100.0
559.0,100.0
560.0,100.0
561.0,100.0
562.0,100.0
563.0,100.0
564.0,100.0
565.0,100.0
566.0,100.0
567.0,100.0
568.0,100.0
569.0,100.0
570.0,100.0
571.0,100.0
572.0,100.0
573.0,100.0
574.0,100.0
575.0,100.0
576.0,100.0
577.0,100.0
578.0,100.0
579.0,100.0
580.0,100.0
581.0,100.0
582.0,100.0
583.0,100.0
584.0,100.0
585.0,100.0
586.0,100.0
587.0,100.0
588.0,100.0
589.0,100.0
590.0,100.0
