Time(sec),ABIX4VABZUCW3
153.0,-99.67717028380635
154.0,-99.67299666110185
155.0,-99.66882303839733
156.0,-99.66464941569282
157.0,-99.66047579298831
158.0,-99.6563021702838
159.0,-99.6521285475793
160.0,-99.6479549248748
161.0,-99.64378130217028
162.0,-99.63960767946578
163.0,-99.63543405676127
164.0,-99.63126043405677
165.0,-99.62708681135226
166.0,-99.62291318864774
167.0,-99.61873956594323
168.0,-99.61456594323873
169.0,-99.61039232053422
170.0,-99.60621869782972
171.0,-99.6020450751252
172.0,-99.5978714524207
173.0,-99.5936978297162
174.0,-99.58952420701169
175.0,-99.58535058430718
176.0,-99.58117696160267
177.0,-99.57700333889815
178.0,-99.57282971619365
179.0,-99.56865609348915
180.0,-99.56448247078464
181.0,-99.56030884808014
182.0,-99.55613522537563
183.0,-99.55196160267113
184.0,-99.54778797996661
185.0,-99.5436143572621
186.0,-99.53944073455759
187.0,-99.53526711185309
188.0,-99.53109348914857
189.0,-99.52691986644408
190.0,-99.52274624373956
191.0,-99.51857262103506
192.0,-99.51439899833056
193.0,-99.51022537562605
194.0,-99.50605175292154
195.0,-99.50187813021702
196.0,-81.28309523809523
197.0,-46.839999999999996
198.0,-11.09186432723203
199.0,6.010939023069425
200.0,4.3939131376584
201.0,2.776887252247374
202.0,1.1598613668363487
203.0,-0.4571645185746772
204.0,-2.0741904039857024
205.0,-3.6912162893967277
206.0,-5.308242174807754
207.0,-6.925268060218779
208.0,-8.461442651359254
209.0,-9.391232535470595
210.0,-10.199745478176107
211.0,-11.00825842088162
212.0,-11.816771363587133
213.0,-12.625284306292645
214.0,-13.433797248998157
215.0,-14.242310191703671
216.0,-15.050823134409182
217.0,-15.859336077114696
218.0,-16.66784901982021
219.0,-17.476361962525722
220.0,-18.284874905231234
221.0,-19.093387847936746
222.0,-19.901900790642262
223.0,-20.71041373334777
224.0,-21.518926676053287
225.0,-22.3274396187588
226.0,-23.135952561464315
227.0,-23.944465504169823
228.0,-24.75297844687534
229.0,-25.56149138958085
230.0,-26.370004332286364
231.0,-27.178517274991872
232.0,-27.987030217697388
233.0,-28.7955431604029
234.0,-29.604056103108416
235.0,-30.412569045813928
236.0,-31.221081988519437
237.0,-32.02959493122495
238.0,-32.83810787393046
239.0,-33.64662081663597
240.0,-34.455133759341486
241.0,-35.263646702047005
242.0,-36.07215964475252
243.0,-36.88067258745802
244.0,-37.689185530163535
245.0,-38.497698472869054
246.0,-39.306211415574566
247.0,-40.11472435828008
248.0,-40.92323730098559
249.0,-41.7317502436911
250.0,-42.540263186396615
251.0,-43.34877612910213
252.0,-44.15728907180764
253.0,-44.96580201451316
254.0,-45.774314957218664
255.0,-46.582827899924176
256.0,-47.391340842629695
257.0,-48.19985378533521
258.0,-49.00836672804071
259.0,-49.81687967074623
260.0,-50.625392613451744
261.0,-51.43390555615726
262.0,-52.24241849886276
263.0,-53.05093144156829
264.0,-53.85135925484674
265.0,-54.142423914220714
266.0,-54.142423914220714
267.0,-54.142423914220714
268.0,-54.142423914220714
269.0,-54.142423914220714
270.0,-54.142423914220714
271.0,-54.142423914220714
272.0,-54.142423914220714
273.0,-54.142423914220714
274.0,-54.15050904364777
275.0,-54.667957326979305
276.0,-55.47647026968482
277.0,-56.28498321239033
278.0,-57.09349615509584
279.0,-57.90200909780136
280.0,-58.71052204050687
281.0,-59.519034983212386
282.0,-60.3275479259179
283.0,-61.1360608686234
284.0,-61.94457381132893
285.0,-62.75308675403444
286.0,-63.56159969673995
287.0,-64.37011263944547
288.0,-65.17862558215099
289.0,-65.98713852485649
290.0,-66.79565146756201
291.0,-67.60416441026751
292.0,-68.41267735297303
293.0,-69.22119029567855
294.0,-70.02970323838406
295.0,-70.83821618108956
296.0,-71.64672912379508
297.0,-72.45524206650059
298.0,-73.26375500920611
299.0,-74.07226795191163
300.0,-74.88078089461713
301.0,-75.68929383732265
302.0,-76.49780678002816
303.0,-77.30631972273368
304.0,-78.1148326654392
305.0,-78.9233456081447
306.0,-79.7318585508502
307.0,-80.54037149355572
308.0,-81.34888443626123
309.0,-82.15739737896675
310.0,-82.96591032167227
311.0,-83.77442326437777
312.0,-84.75272392505144
313.0,-86.32123903390014
314.0,-87.93826491931117
315.0,-89.55529080472219
316.0,-91.17231669013321
317.0,-92.78934257554424
318.0,-94.40636846095526
319.0,-96.0233943463663
320.0,-97.64042023177731
321.0,-98.11042456406368
322.0,-81.86714285714285
323.0,-75.0
324.0,-75.0
325.0,-75.0
326.0,-75.0
327.0,-75.0
328.0,-75.0
329.0,-75.0
330.0,-75.0
331.0,-75.0
332.0,-75.0
333.0,-75.0
334.0,-75.0
335.0,-75.0
336.0,-75.0
337.0,-75.0
338.0,-75.0
339.0,-77.72333333333333
340.0,-90.73230158730158
341.0,-95.94212121212121
342.0,-98.0
343.0,-98.0
344.0,-98.0
345.0,-98.0
346.0,-98.0
347.0,-98.0
348.0,-98.0
349.0,-98.0
350.0,-98.0
351.0,-98.0
352.0,-98.0
353.0,-98.0
354.0,-98.0
355.0,-98.0
356.0,-98.0
357.0,-98.0
358.0,-98.0
359.0,-98.0
360.0,-98.0
361.0,-98.0
362.0,-98.0
363.0,-98.0
364.0,-98.0
365.0,-98.0
366.0,-98.0
367.0,-98.0
368.0,-98.0
369.0,-98.0
370.0,-98.0
371.0,-98.0
372.0,-98.0
373.0,-98.0
374.0,-98.0
375.0,-98.0
376.0,-98.0
377.0,-98.0
378.0,-98.0
379.0,-98.0
380.0,-98.0
381.0,-98.0
382.0,-98.0
383.0,-98.0
384.0,-98.0
385.0,-98.0
386.0,-98.0
387.0,-98.0
388.0,-98.0
389.0,-98.0
390.0,-98.0
391.0,-98.0
392.0,-98.0
393.0,-98.0
394.0,-98.0
395.0,-98.0
396.0,-98.0
397.0,-98.0
398.0,-98.0
399.0,-98.0
400.0,-98.0
401.0,-98.0
402.0,-98.0
403.0,-98.0
404.0,-98.0
405.0,-98.0
406.0,-98.0
407.0,-98.0
408.0,-98.0
409.0,-98.0
410.0,-98.0
411.0,-98.0
412.0,-98.0
413.0,-98.0
414.0,-98.0
415.0,-98.0
416.0,-98.0
417.0,-98.0
418.0,-98.0
419.0,-98.0
420.0,-98.0
421.0,-98.0
422.0,-98.0
423.0,-98.0
424.0,-98.0
425.0,-98.0
426.0,-98.0
427.0,-98.0
428.0,-98.0
429.0,-98.0
430.0,-98.0
431.0,-98.0
432.0,-98.0
433.0,-98.0
434.0,-98.0
435.0,-98.0
436.0,-98.0
437.0,-98.0
438.0,-98.0
439.0,-98.0
440.0,-98.0
441.0,-98.0
442.0,-98.0
443.0,-98.0
444.0,-98.0
445.0,-98.0
446.0,-98.0
447.0,-98.0
448.0,-98.0
449.0,-98.0
450.0,-98.0
451.0,-98.0
452.0,-98.0
453.0,-98.0
454.0,-98.0
455.0,-98.0
456.0,-98.0
457.0,-98.0
458.0,-98.0
459.0,-98.0
460.0,-98.0
461.0,-98.0
462.0,-98.0
463.0,-98.0
464.0,-98.0
465.0,-98.0
466.0,-98.0
467.0,-98.0
468.0,-98.0
469.0,-98.0
470.0,-98.0
471.0,-98.0
472.0,-98.0
473.0,-98.0
474.0,-98.0
475.0,-98.0
476.0,-98.0
477.0,-98.0
478.0,-98.0
479.0,-98.0
480.0,-98.0
481.0,-98.0
482.0,-98.0
483.0,-98.0
484.0,-98.0
485.0,-98.0
486.0,-98.0
487.0,-98.0
488.0,-98.0
489.0,-98.0
490.0,-98.0
491.0,-98.0
492.0,-98.0
493.0,-98.0
494.0,-98.0
495.0,-98.0
496.0,-98.0
497.0,-98.0
498.0,-98.0
499.0,-98.0
500.0,-98.0
501.0,-98.0
502.0,-98.0
503.0,-98.0
504.0,-98.0
505.0,-98.0
506.0,-98.0
507.0,-98.0
508.0,-98.0
509.0,-98.0
510.0,-98.0
511.0,-98.0
512.0,-98.0
513.0,-98.0
514.0,-98.0
515.0,-98.0
516.0,-98.0
517.0,-98.0
518.0,-98.0
519.0,-98.0
520.0,-98.0
521.0,-98.0
522.0,-98.0
523.0,-98.0
524.0,-98.0
525.0,-98.0
526.0,-98.0
527.0,-98.0
528.0,-98.0
529.0,-98.0
530.0,-98.0
531.0,-98.0
532.0,-98.0
533.0,-98.0
534.0,-98.0
535.0,-98.0
536.0,-98.0
537.0,-98.0
538.0,-98.0
539.0,-98.0
540.0,-98.0
541.0,-98.0
542.0,-98.0
543.0,-98.0
544.0,-98.0
545.0,-98.0
546.0,-98.0
547.0,-98.0
548.0,-98.0
549.0,-98.0
550.0,-98.0
551.0,-98.0
552.0,-98.0
553.0,-98.0
554.0,-98.0
555.0,-98.0
556.0,-98.0
557.0,-98.0
558.0,-98.0
559.0,-98.0
560.0,-98.0
561.0,-98.0
562.0,-98.0
563.0,-98.0
564.0,-98.0
565.0,-98.0
566.0,-98.0
567.0,-98.0
568.0,-98.0
