Time(sec),A2EZVULYVJOPN
179.0,-59.375
180.0,-59.375
181.0,-59.375
182.0,-30.540277777777778
183.0,58.44145833333333
184.0,78.0
185.0,78.0
186.0,78.0
187.0,63.94285714285714
188.0,-29.467857142857145
189.0,-42.0
190.0,-42.0
191.0,-42.0
192.0,-42.0
193.0,-42.0
194.0,-42.1575
195.0,-42.91875
196.0,-43.79375
197.0,-47.09625
198.0,-59.525
199.0,-96.56287878787879
200.0,-99.56363636363636
201.0,-100.0
202.0,-100.0
203.0,-99.88055555555556
204.0,-91.14285714285714
205.0,-91.14285714285714
206.0,-91.14285714285714
207.0,-91.14285714285714
208.0,-91.14285714285714
209.0,-37.542142857142856
210.0,36.437674825174824
211.0,82.0
212.0,82.0
213.0,82.0
214.0,82.0
215.0,12.526150793650794
216.0,-74.15
217.0,-76.0
218.0,-76.0
219.0,-76.0
220.0,-76.0
221.0,-76.0
222.0,-76.0
223.0,-76.0
224.0,-76.0
225.0,-76.0
226.0,-76.0
227.0,-76.0
228.0,-76.0
229.0,-76.0
230.0,-76.0
231.0,-76.0
232.0,-76.0
233.0,-76.0
234.0,-76.0
235.0,-76.0
236.0,-76.0
237.0,-76.0
238.0,-76.0
239.0,-76.0
240.0,-76.0
241.0,-76.0
242.0,-76.0
243.0,-75.59
244.0,-75.5
245.0,-75.5
246.0,-75.5
247.0,-75.5
248.0,-61.68833333333333
249.0,36.7
250.0,75.61111111111111
251.0,76.16666666666666
252.0,76.72222222222221
253.0,65.26525974025974
254.0,-39.16471560846561
255.0,-79.525
256.0,-98.8
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-99.99090909090908
354.0,-98.9
355.0,-64.21809523809523
356.0,-2.058333333333333
357.0,44.95833333333333
358.0,77.0743894993895
359.0,99.90576923076922
360.0,100.0
361.0,100.0
362.0,100.0
363.0,100.0
364.0,100.0
365.0,100.0
366.0,100.0
367.0,100.0
368.0,100.0
369.0,100.0
370.0,100.0
371.0,100.0
372.0,100.0
373.0,100.0
374.0,100.0
375.0,100.0
376.0,100.0
377.0,100.0
378.0,100.0
379.0,100.0
380.0,100.0
381.0,100.0
382.0,100.0
383.0,100.0
384.0,100.0
385.0,100.0
386.0,100.0
387.0,100.0
388.0,100.0
389.0,100.0
390.0,100.0
391.0,100.0
392.0,100.0
393.0,100.0
394.0,100.0
395.0,100.0
396.0,100.0
397.0,100.0
398.0,100.0
399.0,100.0
400.0,100.0
401.0,100.0
402.0,100.0
403.0,100.0
404.0,100.0
405.0,100.0
406.0,100.0
407.0,100.0
408.0,100.0
409.0,100.0
410.0,100.0
411.0,100.0
412.0,80.31404914529915
413.0,15.883863636363637
414.0,-49.30833333333334
415.0,-96.35
416.0,-98.69642857142858
417.0,-99.05357142857142
418.0,-99.41071428571429
419.0,-99.76785714285714
420.0,-99.99642857142857
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-94.19761904761904
551.0,-89.09523809523809
552.0,-87.88410714285713
553.0,-76.98
554.0,-76.98
555.0,-76.98
556.0,-76.98
557.0,-64.23789640768588
558.0,-56.36466165413533
559.0,-48.90909090909091
560.0,-48.90909090909091
561.0,-25.215230161994867
562.0,24.235834030100335
563.0,27.0
564.0,27.0
565.0,27.0
566.0,27.0
567.0,27.0
568.0,27.0
569.0,27.0
570.0,27.0
571.0,27.0
572.0,27.0
573.0,27.0
574.0,27.0
575.0,27.0
576.0,27.0
577.0,27.0
578.0,27.0
579.0,27.0
580.0,27.0
581.0,27.0
582.0,27.0
583.0,27.0
584.0,27.0
585.0,27.0
586.0,27.0
587.0,27.0
588.0,27.0
589.0,27.0
590.0,27.0
591.0,27.0
592.0,27.0
593.0,27.0
594.0,27.0
595.0,27.0
596.0,27.0
597.0,27.0
598.0,27.0
599.0,27.0
600.0,27.0
