Time(sec),A4WBW7FVQASZE
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-93.025
249.0,-88.0
250.0,-88.0
251.0,-88.0
252.0,-88.0
253.0,-88.06060606060606
254.0,-88.68181818181819
255.0,-89.33333333333334
256.0,-94.31152791849436
257.0,-99.6923650926582
258.0,-99.72717365629497
259.0,-99.76198221993171
260.0,-99.79679078356847
261.0,-99.83159934720523
262.0,-99.86640791084197
263.0,-99.90121647447873
264.0,-99.93602503811547
265.0,-99.97083360175223
266.0,-99.9958957675707
267.0,-99.9969400244798
268.0,-99.9969400244798
269.0,-99.9969400244798
270.0,-99.9969400244798
271.0,-99.9969400244798
272.0,-99.9969400244798
273.0,-99.9969400244798
274.0,-99.9969400244798
275.0,-99.9969400244798
276.0,-99.98941248470013
277.0,-99.95956344349244
278.0,-99.95797633618929
279.0,-99.95716034271724
280.0,-99.9563443492452
281.0,-99.95552835577314
282.0,-99.9547123623011
283.0,-99.94894060426464
284.0,-99.94369242414481
285.0,-99.94296769310057
286.0,-99.94224296205631
287.0,-99.94151823101205
288.0,-99.9407934999678
289.0,-99.94006876892354
290.0,-99.93934403787928
291.0,-99.92419554854088
292.0,-99.89149326805386
293.0,-99.8578947368421
294.0,-99.77254089240014
295.0,-99.74497885835096
296.0,-99.74358796038723
297.0,-99.74219706242351
298.0,-99.74080616445977
299.0,-99.70794323684936
300.0,-99.68170932893408
301.0,-99.68082237950793
302.0,-99.67993543008178
303.0,-99.67904848065564
304.0,-99.67816153122949
305.0,-99.67727458180335
306.0,-99.67362567186419
307.0,-99.65963759246448
308.0,-99.6572428290139
309.0,-99.6308551966367
310.0,-99.56660389793805
311.0,-99.54392241785142
312.0,-99.48720930232558
313.0,-99.47379833934302
314.0,-99.45295080882597
315.0,-99.45212378841511
316.0,-99.45129676800426
317.0,-99.44449369810448
318.0,-99.42328109201215
319.0,-99.42288196477037
320.0,-99.42248283752862
321.0,-99.42208371028684
322.0,-99.42168458304509
323.0,-99.42128545580331
324.0,-99.42088632856156
325.0,-99.42048720131979
326.0,-99.42008807407804
327.0,-99.38702969506679
328.0,-99.29103588223926
329.0,-99.26365715390067
330.0,-99.26269084584166
331.0,-99.26172453778265
332.0,-99.25210333054177
333.0,-99.19362944366519
334.0,-99.18312948386924
335.0,-99.18268277211448
336.0,-99.18216905359648
337.0,-99.1813203012624
338.0,-99.18042687775286
339.0,-99.17953345424331
340.0,-99.17864003073376
341.0,-99.17550009380946
342.0,-99.1415803596648
343.0,-99.13326664155917
344.0,-99.12844247246022
345.0,-99.12691248470011
346.0,-99.10405665326105
347.0,-99.08481815002622
348.0,-99.08362475957335
349.0,-99.08362475957335
350.0,-99.08362475957335
351.0,-99.08362475957335
352.0,-99.08362475957335
353.0,-99.08362475957335
354.0,-99.08362475957335
355.0,-99.08362475957335
356.0,-99.08362475957335
357.0,-99.08328379087253
358.0,-99.07284344582386
359.0,-99.0575683394533
360.0,-99.03099575203399
361.0,-99.01774785801713
362.0,-98.99605443156454
363.0,-98.9441064871481
364.0,-98.91105612869383
365.0,-98.8827373666725
366.0,-98.88142594859241
367.0,-98.88011453051232
368.0,-98.87880311243224
369.0,-98.87424265605875
370.0,-98.87368994798041
371.0,-98.8734986995104
372.0,-98.87330745104039
373.0,-98.87311620257037
374.0,-98.87292495410037
375.0,-98.87273370563035
376.0,-98.87254245716034
377.0,-98.87235120869033
378.0,-98.87215996022032
379.0,-98.87196871175031
380.0,-98.8717774632803
381.0,-98.87158621481028
382.0,-98.83005278457772
383.0,-98.79905523255815
384.0,-98.77649173806608
385.0,-98.66505507955937
386.0,-98.59340289453509
387.0,-98.58522536215314
388.0,-98.58462009227003
389.0,-98.58401482238692
390.0,-98.58340955250381
391.0,-98.58280428262069
392.0,-98.58219901273756
393.0,-98.58159374285445
394.0,-98.58098847297133
395.0,-98.5795936621518
396.0,-98.51823745410037
397.0,-98.46003671970624
398.0,-98.45685434516523
399.0,-98.4548143614851
400.0,-98.44431242598839
401.0,-98.42488133265665
402.0,-98.42323939457265
403.0,-98.42159745648864
404.0,-98.41995551840463
405.0,-98.37864137086903
406.0,-98.36092411260711
407.0,-98.34507900300434
408.0,-98.32698342049628
409.0,-98.27199582403341
410.0,-98.25802158845887
411.0,-98.25390549507183
412.0,-98.25277813566966
413.0,-98.25165077626747
414.0,-98.1795356659703
415.0,-98.09895377979834
416.0,-97.71790085679315
417.0,-91.69725806451613
418.0,-89.51526004962778
419.0,-97.03275434243176
420.0,-99.2
421.0,-100.0
422.0,-100.0
423.0,-100.0
424.0,-100.0
425.0,-100.0
426.0,-100.0
427.0,-100.0
428.0,-100.0
429.0,-100.0
430.0,-100.0
431.0,-100.0
432.0,-100.0
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
