Time(sec),A1CRR9EZ64R0P
327.0,-87.0
328.0,-87.0
329.0,-87.0
330.0,-87.0
331.0,-87.0
332.0,-87.0
333.0,-87.0
334.0,-87.0
335.0,-87.0
336.0,-87.0
337.0,-87.0
338.0,-87.0
339.0,-87.0
340.0,-87.0
341.0,-87.0
342.0,-87.0
343.0,-87.0
344.0,-87.0
345.0,-87.0
346.0,-87.0
347.0,-87.0
348.0,-87.0
349.0,-87.0
350.0,-87.0
351.0,-87.0
352.0,-87.0
353.0,-87.0
354.0,-87.0
355.0,-87.0
356.0,-87.0
357.0,-87.0
358.0,-87.0
359.0,-87.0
360.0,-87.0
361.0,-87.0
362.0,-87.0
363.0,-87.0
364.0,-87.0
365.0,-87.0
366.0,-87.0
367.0,-87.0
368.0,-87.0
369.0,-87.0
370.0,-87.0
371.0,-87.0
372.0,-87.0
373.0,-87.0
374.0,-87.0
375.0,-87.0
376.0,-87.0
377.0,-87.0
378.0,-87.0
379.0,-87.0
380.0,-87.0
381.0,-87.0
382.0,-87.0
383.0,-87.0
384.0,-87.0
385.0,-87.0
386.0,-87.0
387.0,-87.0
388.0,-87.0
389.0,-87.0
390.0,-87.0
391.0,-87.0
392.0,-87.0
393.0,-87.0
394.0,-87.0
395.0,-87.0
396.0,-87.0
397.0,-87.0
398.0,-87.0
399.0,-87.0
400.0,-87.0
401.0,-87.0
402.0,-87.0
403.0,-87.0
404.0,-87.0
405.0,-87.0
406.0,-87.0
407.0,-87.0
408.0,-87.0
409.0,-87.0
410.0,-87.0
411.0,-87.0
412.0,-87.0
413.0,-87.0
414.0,-87.0
415.0,-87.0
416.0,-87.0
417.0,-87.0
418.0,-87.0
419.0,-87.0
420.0,-87.0
421.0,-87.0
422.0,-87.0
423.0,-87.0
424.0,-87.0
425.0,-87.0
426.0,-87.0
427.0,-87.0
428.0,-87.0
429.0,-87.0
430.0,-87.0
431.0,-87.0
432.0,-87.0
433.0,-87.0
434.0,-87.0
435.0,-87.0
436.0,-87.0
437.0,-87.0
438.0,-87.0
439.0,-87.0
440.0,-87.0
441.0,-87.0
442.0,-87.0
443.0,-87.0
444.0,-87.0
445.0,-87.0
446.0,-87.0
447.0,-87.0
448.0,-87.0
449.0,-87.0
450.0,-87.0
451.0,-87.0
452.0,-87.0
453.0,-87.0
454.0,-87.0
455.0,-87.0
456.0,-87.0
457.0,-87.0
458.0,-87.0
459.0,-87.0
460.0,-87.0
461.0,-87.0
462.0,-87.0
463.0,-87.0
464.0,-87.0
465.0,-87.0
466.0,-87.0
467.0,-87.0
468.0,-87.0
469.0,-87.0
470.0,-87.0
471.0,-87.0
472.0,-87.0
473.0,-87.0
474.0,-87.0
475.0,-87.0
476.0,-87.0
477.0,-87.0
478.0,-87.0
479.0,-87.0
480.0,-87.0
481.0,-87.0
482.0,-87.0
483.0,-87.0
484.0,-87.0
485.0,-87.0
486.0,-87.0
487.0,-87.0
488.0,-87.0
489.0,-87.0
490.0,-87.0
491.0,-87.0
492.0,-87.0
493.0,-87.0
494.0,-87.0
495.0,-87.0
496.0,-87.0
497.0,-87.0
498.0,-87.0
499.0,-87.0
500.0,-87.0
501.0,-87.0
502.0,-87.0
503.0,-87.0
504.0,-87.0
505.0,-87.0
506.0,-87.0
507.0,-87.0
508.0,-87.0
509.0,-87.0
510.0,-87.0
511.0,-87.0
512.0,-87.0
513.0,-87.0
514.0,-87.0
515.0,-87.0
516.0,-87.0
517.0,-87.0
518.0,-87.0
519.0,-87.0
520.0,-87.0
521.0,-87.0
522.0,-87.0
523.0,-87.0
524.0,-87.0
525.0,-87.0
526.0,-87.0
527.0,-87.0
528.0,-87.0
529.0,-87.0
530.0,-87.0
531.0,-87.0
532.0,-87.0
533.0,-87.0
534.0,-87.0
535.0,-87.0
536.0,-87.0
537.0,-87.0
538.0,-87.0
539.0,-87.0
540.0,-87.0
541.0,-87.0
542.0,-87.0
543.0,-87.0
544.0,-87.0
545.0,-87.0
546.0,-87.0
547.0,-87.0
548.0,-87.0
549.0,-87.0
550.0,-87.0
551.0,-87.0
552.0,-87.0
553.0,-87.0
554.0,-87.0
555.0,-87.0
556.0,-87.0
557.0,-87.0
558.0,-87.0
559.0,-87.0
560.0,-87.0
561.0,-87.0
562.0,-87.0
563.0,-87.0
564.0,-87.0
565.0,-87.0
566.0,-87.0
567.0,-87.0
568.0,-87.0
569.0,-87.0
570.0,-87.0
571.0,-87.0
572.0,-87.0
573.0,-87.0
574.0,-87.0
575.0,-87.0
576.0,-87.0
577.0,-87.0
578.0,-87.0
579.0,-87.0
580.0,-87.0
581.0,-87.0
582.0,-87.0
583.0,-87.0
584.0,-87.0
585.0,-87.0
586.0,-87.0
587.0,-87.0
588.0,-87.0
589.0,-87.0
590.0,-87.0
591.0,-87.0
592.0,-87.0
593.0,-87.0
594.0,-87.0
595.0,-87.0
596.0,-87.0
597.0,-87.0
598.0,-87.0
599.0,-87.0
600.0,-87.0
601.0,-87.0
602.0,-87.0
603.0,-87.0
604.0,-87.0
605.0,-87.0
606.0,-87.0
607.0,-87.0
608.0,-87.0
609.0,-87.0
610.0,-87.0
611.0,-87.0
612.0,-87.0
613.0,-87.0
614.0,-87.0
615.0,-87.0
616.0,-87.0
617.0,-87.0
618.0,-87.0
619.0,-87.0
