Time(sec),AF8GOPFSTWCH8
186.0,-82.065625
187.0,-81.79479166666667
188.0,-81.52395833333333
189.0,-81.253125
190.0,-80.98229166666667
191.0,-76.49047619047619
192.0,-70.81527777777778
193.0,-69.7875
194.0,-68.75972222222222
195.0,-67.73194444444445
196.0,-66.70416666666667
197.0,-65.6763888888889
198.0,-64.64861111111111
199.0,-53.37914502164502
200.0,-49.31306818181818
201.0,-49.642613636363635
202.0,-49.97215909090909
203.0,-50.30170454545454
204.0,-50.63125
205.0,-61.24598246082621
206.0,-72.04411764705883
207.0,-75.67614209320092
208.0,-93.61333333333333
209.0,-98.64619047619047
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-99.9857142857143
306.0,-99.86428571428571
307.0,-99.72142857142858
308.0,-99.57857142857144
309.0,-91.48586080586081
310.0,-83.980078125
311.0,-83.519140625
312.0,-83.058203125
313.0,-82.597265625
314.0,-82.136328125
315.0,-81.675390625
316.0,-81.214453125
317.0,-80.753515625
318.0,-75.18335137085137
319.0,-74.9780303030303
320.0,-93.60416666666666
321.0,-98.0
322.0,-98.0
323.0,-98.0
324.0,-98.0
325.0,-98.0
326.0,-98.0
327.0,-98.0
328.0,-98.0
329.0,-98.0
330.0,-98.0
331.0,-98.0
332.0,-98.0
333.0,-98.0
334.0,-98.0
335.0,-98.0
336.0,-98.0
337.0,-98.0
338.0,-98.0
339.0,-98.0
340.0,-98.0
341.0,-98.0
342.0,-98.0
343.0,-98.0
344.0,-98.0
345.0,-98.0
346.0,-98.0
347.0,-98.0
348.0,-98.0
349.0,-98.0
350.0,-98.0
351.0,-98.0
352.0,-98.0
353.0,-98.0
354.0,-98.0
355.0,-98.0
356.0,-98.0
357.0,-98.0
358.0,-98.0
359.0,-98.0
360.0,-98.0
361.0,-98.0
362.0,-98.0
363.0,-98.0
364.0,-98.0
365.0,-98.0
366.0,-98.0
367.0,-98.0
368.0,-98.0
369.0,-98.0
370.0,-98.0
371.0,-98.0
372.0,-98.0
373.0,-98.0
374.0,-98.0
375.0,-98.0
376.0,-98.0
377.0,-98.0
378.0,-98.0
379.0,-98.0
380.0,-98.0
381.0,-98.0
382.0,-98.0
383.0,-98.0
384.0,-98.0
385.0,-98.0
386.0,-98.0
387.0,-98.0
388.0,-98.0
389.0,-98.0
390.0,-98.0
391.0,-98.0
392.0,-98.0
393.0,-98.0
394.0,-98.0
395.0,-98.0
396.0,-98.0
397.0,-98.0
398.0,-98.0
399.0,-98.0
400.0,-98.0
401.0,-98.0
402.0,-98.0
403.0,-98.0
404.0,-98.0
405.0,-98.0
406.0,-98.0
407.0,-98.0
408.0,-98.0
409.0,-98.0
410.0,-98.0
411.0,-98.0
412.0,-98.0
413.0,-98.0
414.0,-98.0
415.0,-98.0
416.0,-98.0
417.0,-98.0
418.0,-98.0
419.0,-98.0
420.0,-98.0
421.0,-98.0
422.0,-98.0
423.0,-98.0
424.0,-98.0
425.0,-98.0
426.0,-98.0
427.0,-98.0
428.0,-98.0
429.0,-98.0
430.0,-98.0
431.0,-98.0
432.0,-98.0
433.0,-98.0
434.0,-98.0
435.0,-98.0
436.0,-98.0
437.0,-98.0
438.0,-98.0
439.0,-98.0
440.0,-98.0
441.0,-98.0
442.0,-98.0
443.0,-98.0
444.0,-98.0
445.0,-98.0
446.0,-98.0
447.0,-98.0
448.0,-98.0
449.0,-98.0
450.0,-98.0
451.0,-98.0
452.0,-98.0
453.0,-98.0
454.0,-98.0
455.0,-98.0
456.0,-98.0
457.0,-98.0
458.0,-98.0
459.0,-98.0
460.0,-98.0
461.0,-98.0
462.0,-98.0
463.0,-98.0
464.0,-98.0
465.0,-98.0
466.0,-98.0
467.0,-98.0
468.0,-98.0
469.0,-98.0
470.0,-98.0
471.0,-98.0
472.0,-98.0
473.0,-98.0
474.0,-98.0
475.0,-98.0
476.0,-98.0
477.0,-98.0
478.0,-98.0
479.0,-98.0
480.0,-98.0
481.0,-98.0
482.0,-98.0
483.0,-98.0
484.0,-98.0
485.0,-98.0
486.0,-98.0
487.0,-98.0
488.0,-98.0
489.0,-98.0
490.0,-98.0
491.0,-98.0
492.0,-98.0
493.0,-98.0
494.0,-98.0
495.0,-98.0
496.0,-98.0
497.0,-98.0
498.0,-98.0
499.0,-98.0
500.0,-98.0
501.0,-98.0
502.0,-98.0
503.0,-98.0
504.0,-98.0
505.0,-98.0
506.0,-98.0
507.0,-98.0
508.0,-98.0
509.0,-98.0
510.0,-98.0
511.0,-98.0
512.0,-98.0
513.0,-98.0
514.0,-98.0
515.0,-98.0
516.0,-98.0
517.0,-98.0
518.0,-98.0
519.0,-98.0
520.0,-98.0
521.0,-98.0
522.0,-98.0
523.0,-98.0
524.0,-98.0
525.0,-98.0
526.0,-98.0
527.0,-98.0
528.0,-98.0
529.0,-98.0
530.0,-98.0
531.0,-98.0
532.0,-98.0
533.0,-98.0
534.0,-98.0
535.0,-98.0
536.0,-98.0
537.0,-98.0
538.0,-98.0
539.0,-98.0
540.0,-98.0
541.0,-98.0
542.0,-98.0
543.0,-98.0
544.0,-98.0
545.0,-98.0
546.0,-98.0
547.0,-98.0
548.0,-98.0
549.0,-98.0
550.0,-98.0
551.0,-98.0
552.0,-98.0
553.0,-98.0
554.0,-98.0
555.0,-98.0
556.0,-98.0
557.0,-98.0
558.0,-98.0
