Time(sec),nan_y
185.0,-61.0
186.0,-61.0
187.0,-61.0
188.0,-61.0
189.0,-61.0
190.0,-61.0
191.0,-61.0
192.0,-62.09234006734007
193.0,-73.0
194.0,-73.0
195.0,-73.0
196.0,-73.0
197.0,-73.0
198.0,-73.0
199.0,-73.0
200.0,-80.9125
201.0,-83.0
202.0,-83.0
203.0,-83.0
204.0,-83.0
205.0,-83.0
206.0,-83.0
207.0,-83.0
208.0,-83.0
209.0,-83.0
210.0,-83.0
211.0,-83.0
212.0,-83.0
213.0,-83.0
214.0,-83.0
215.0,-83.0
216.0,-83.0
217.0,-83.0
218.0,-83.0
219.0,-83.0
220.0,-83.0
221.0,-83.0
222.0,-83.0
223.0,-83.0
224.0,-83.0
225.0,-88.35833333333333
226.0,-89.0
227.0,-89.0
228.0,-89.0
229.0,-89.0
230.0,-89.0
231.0,-89.0
232.0,-89.0
233.0,-89.0
234.0,-89.0
235.0,-89.0
236.0,-89.0
237.0,-89.0
238.0,-89.0
239.0,-89.0
240.0,-89.0
241.0,-89.0
242.0,-89.0
243.0,-89.0
244.0,-95.3
245.0,-96.0
246.0,-96.0
247.0,-96.0
248.0,-96.0
249.0,-96.0
250.0,-96.0
251.0,-96.0
252.0,-96.0
253.0,-96.0
254.0,-96.0
255.0,-96.0
256.0,-96.0
257.0,-96.0
258.0,-96.0
259.0,-96.0
260.0,-96.0
261.0,-96.0
262.0,-96.0
263.0,-96.0
264.0,-96.0
265.0,-96.0
266.0,-96.0
267.0,-96.0
268.0,-96.0
269.0,-96.0
270.0,-96.0
271.0,-96.0
272.0,-96.0
273.0,-96.0
274.0,-96.0
275.0,-96.0
276.0,-96.0
277.0,-96.0
278.0,-96.0
279.0,-96.0
280.0,-96.0
281.0,-96.0
282.0,-96.0
283.0,-96.0
284.0,-96.0
285.0,-96.0
286.0,-96.0
287.0,-96.0
288.0,-96.0
289.0,-96.0
290.0,-96.0
291.0,-96.0
292.0,-96.0
293.0,-96.0
294.0,-96.0
295.0,-96.0
296.0,-96.0
297.0,-96.0
298.0,-96.0
299.0,-96.0
300.0,-96.0
301.0,-96.0
302.0,-96.0
303.0,-96.0
304.0,-96.0
305.0,-96.0
306.0,-96.0
307.0,-96.0
308.0,-96.0
309.0,-96.0
310.0,-96.0
311.0,-96.0
312.0,-96.0
313.0,-96.0
314.0,-96.0
315.0,-96.0
316.0,-96.0
317.0,-96.0
318.0,-96.0
319.0,-96.0
320.0,-96.0
321.0,-96.0
322.0,-96.0
323.0,-96.0
324.0,-96.0
325.0,-96.0
326.0,-96.0
327.0,-96.0
328.0,-96.0
329.0,-96.0
330.0,-96.0
331.0,-96.0
332.0,-96.0
333.0,-96.0
334.0,-96.0
335.0,-96.0
336.0,-96.0
337.0,-96.0
338.0,-96.0
339.0,-96.0
340.0,-96.0
341.0,-96.0
342.0,-96.0
343.0,-96.0
344.0,-96.0
345.0,-96.0
346.0,-96.0
347.0,-96.0
348.0,-96.0
349.0,-96.0
350.0,-96.0
351.0,-96.0
352.0,-96.0
353.0,-96.0
354.0,-96.0
355.0,-96.0
356.0,-96.0
357.0,-96.0
358.0,-96.0
359.0,-96.0
360.0,-96.0
361.0,-96.0
362.0,-96.0
363.0,-96.0
364.0,-96.0
365.0,-96.0
366.0,-96.0
367.0,-96.0
368.0,-96.0
369.0,-96.0
370.0,-96.0
371.0,-96.0
372.0,-96.0
373.0,-96.0
374.0,-96.0
375.0,-96.0
376.0,-96.0
377.0,-96.0
378.0,-96.0
379.0,-96.0
380.0,-96.0
381.0,-96.0
382.0,-96.0
383.0,-96.0
384.0,-96.0
385.0,-96.0
386.0,-96.0
387.0,-96.0
388.0,-96.0
389.0,-96.0
390.0,-96.0
391.0,-96.0
392.0,-96.0
393.0,-96.0
394.0,-96.0
395.0,-96.0
396.0,-96.0
397.0,-96.0
398.0,-96.0
399.0,-96.0
400.0,-96.0
401.0,-96.0
402.0,-96.0
403.0,-96.0
404.0,-96.0
405.0,-96.0
406.0,-96.0
407.0,-96.0
408.0,-96.0
409.0,-96.0
410.0,-96.0
411.0,-96.0
412.0,-96.0
413.0,-96.0
414.0,-96.0
415.0,-96.0
416.0,-96.0
417.0,-96.0
418.0,-96.0
419.0,-96.0
420.0,-96.0
421.0,-96.0
422.0,-96.0
423.0,-96.0
424.0,-96.0
425.0,-96.0
426.0,-96.0
427.0,-96.0
428.0,-96.0
429.0,-96.0
430.0,-96.0
431.0,-96.0
432.0,-96.0
433.0,-96.0
434.0,-96.0
435.0,-93.27916666666667
436.0,-89.0
437.0,-89.0
438.0,-89.0
439.0,-89.0
440.0,-89.0
441.0,-89.0
442.0,-89.0
443.0,-89.0
444.0,-89.0
445.0,-89.0
446.0,-89.0
447.0,-89.0
448.0,-89.0
449.0,-89.0
450.0,-89.0
451.0,-89.0
452.0,-89.0
453.0,-89.0
454.0,-89.0
455.0,-89.0
456.0,-89.0
457.0,-89.0
458.0,-89.0
459.0,-89.0
460.0,-89.0
461.0,-89.0
462.0,-89.0
463.0,-89.0
464.0,-89.0
465.0,-89.0
466.0,-89.0
467.0,-89.0
468.0,-89.0
469.0,-89.0
470.0,-89.0
471.0,-89.0
472.0,-89.0
473.0,-89.0
474.0,-89.0
475.0,-89.0
476.0,-89.0
477.0,-89.0
478.0,-89.0
479.0,-89.0
480.0,-89.0
481.0,-89.0
482.0,-89.0
483.0,-89.0
484.0,-89.0
485.0,-89.0
486.0,-89.0
487.0,-89.0
488.0,-89.0
489.0,-89.0
490.0,-89.0
491.0,-89.0
492.0,-89.0
493.0,-89.0
494.0,-89.0
495.0,-89.0
496.0,-89.0
497.0,-89.0
498.0,-89.0
499.0,-89.0
500.0,-89.0
501.0,-89.0
502.0,-89.0
503.0,-89.0
504.0,-89.0
505.0,-89.0
506.0,-89.0
507.0,-89.0
508.0,-89.0
509.0,-89.0
510.0,-89.0
511.0,-89.0
512.0,-89.0
513.0,-89.0
514.0,-89.0
515.0,-89.0
516.0,-89.0
517.0,-89.0
518.0,-89.0
519.0,-89.0
520.0,-89.0
521.0,-89.0
522.0,-89.0
523.0,-89.0
524.0,-89.0
525.0,-89.0
526.0,-89.0
527.0,-89.0
528.0,-89.0
529.0,-89.0
530.0,-89.0
531.0,-89.0
532.0,-89.0
533.0,-89.0
534.0,-89.0
535.0,-89.0
536.0,-89.0
537.0,-89.0
538.0,-89.0
539.0,-89.0
540.0,-89.0
541.0,-89.0
542.0,-89.0
543.0,-89.0
544.0,-89.0
545.0,-89.0
546.0,-89.0
547.0,-89.0
548.0,-89.0
549.0,-89.0
550.0,-89.275
551.0,-95.9375
552.0,-96.0
553.0,-96.0
554.0,-96.0
555.0,-96.0
556.0,-96.0
557.0,-96.0
558.0,-96.0
559.0,-96.0
560.0,-96.0
561.0,-96.0
562.0,-96.0
563.0,-96.0
564.0,-96.0
565.0,-96.0
566.0,-96.0
567.0,-96.0
568.0,-96.0
569.0,-96.0
570.0,-96.0
571.0,-96.0
572.0,-96.0
573.0,-96.0
574.0,-96.0
575.0,-96.0
576.0,-96.0
577.0,-96.0
578.0,-96.0
579.0,-96.0
580.0,-96.0
581.0,-96.0
582.0,-96.0
583.0,-96.0
584.0,-96.0
585.0,-96.0
586.0,-96.0
587.0,-96.0
588.0,-96.0
589.0,-96.0
590.0,-96.0
591.0,-96.0
592.0,-96.0
593.0,-96.0
594.0,-96.0
595.0,-96.0
596.0,-96.0
597.0,-96.0
598.0,-96.0
599.0,-96.0
600.0,-96.0
601.0,-96.0
602.0,-96.0
603.0,-96.0
604.0,-96.0
605.0,-96.0
606.0,-96.0
607.0,-96.0
608.0,-96.0
609.0,-96.0
610.0,-96.0
611.0,-96.0
612.0,-96.0
613.0,-96.0
614.0,-96.0
615.0,-96.0
616.0,-96.0
617.0,-96.0
618.0,-96.0
619.0,-96.0
620.0,-96.0
621.0,-96.0
622.0,-96.0
623.0,-96.0
624.0,-96.0
625.0,-96.0
626.0,-96.0
627.0,-96.0
628.0,-96.0
629.0,-96.0
630.0,-96.0
631.0,-96.0
632.0,-96.0
633.0,-96.0
634.0,-96.0
635.0,-96.0
636.0,-96.0
637.0,-96.0
638.0,-96.0
639.0,-95.9897435897436
640.0,-95.33333333333334
641.0,-91.16697435897436
642.0,-89.71153846153847
643.0,-89.08076923076923
644.0,-88.45
645.0,-87.81923076923077
646.0,-87.18846153846155
647.0,-85.50161538461539
648.0,-79.17999999999999
649.0,-78.95
650.0,-69.0
651.0,-69.0
652.0,-69.0
653.0,-69.0
654.0,-69.0
655.0,-69.0
656.0,-72.2375
657.0,-80.0
658.0,-80.49444444444444
659.0,-87.0
660.0,-87.0
661.0,-87.0
662.0,-87.0
663.0,-87.0
664.0,-87.0
665.0,-87.0
666.0,-87.0
667.0,-87.0
668.0,-87.0
669.0,-87.0
670.0,-87.0
671.0,-87.0
672.0,-87.0
673.0,-87.0
674.0,-87.0
675.0,-87.0
676.0,-87.0
677.0,-87.0
678.0,-87.0
679.0,-92.90555555555555
680.0,-94.0
681.0,-94.0
682.0,-94.0
683.0,-94.0
684.0,-94.0
685.0,-94.0
686.0,-94.0
687.0,-94.0
688.0,-94.0
689.0,-94.0
690.0,-94.0
691.0,-94.0
692.0,-94.0
693.0,-94.0
694.0,-94.0
695.0,-94.0
696.0,-94.0
697.0,-94.0
698.0,-94.0
699.0,-94.0
700.0,-94.0
701.0,-94.0
702.0,-94.0
703.0,-94.0
704.0,-94.0
705.0,-94.0
706.0,-94.0
