age,id,length_min,title,uuid,violence_rating,violence_text
14,4898811,89,Into the Storm,f81f5c49-3bf5-4797-9582-f34518b90f9b,4.0,"The tornado scenes can be really intense, with large-scale destruction to the town of Silverton and many people killed, including a couple of major characters. People are sucked into the vortices despite desperate attempts to stay attached to something on the ground. One particularly horrific scene shows a man being sucked into a fiery vortex screaming and pleading. Another man is shown in a vehicle as it's sucked up into the air and then comes slamming down, instantly killing him. Other characters nearly drown, have to be revived, and are injured during the storms."
12,1256077,106,Gremlins,989dc7b6-43c2-4bc9-a17e-8d93194bd25e,3.0,Gremlins gruesomely kill people -- and vice versa.
7,1256780,88,TMNT,c28865c5-b14b-4bcc-b92a-2b3165103d61,3.0,"The ""N"" in the title stands for ninja, and there's a lot of swordplay and animated violence, including an intense battle between warriors resurrected from stone, a group of swords for hire, and the four turtles. Raphael challenges Leonardo to a fight, and they go sword to sword. An early scene set in South America features gunfire."
17,1254596,109,A Man Apart,39fad2aa-f438-4504-bfd3-52c23ee81df9,5.0,"Intense violence and peril, a lot of shooting, many deaths, grisly injuries."
10,1251246,114,The Goonies,d663fb2c-2cf6-42a8-aea0-5705a2e7959a,3.0,"Death and torture are constantly threatened and implied. Even though all that really happens is lots of falling down and getting wet, there are plenty of crushed/impaled skeletons along the way for maximum gruesomeness. Young kids also discover a frozen dead body."
13,5760036,109,Geostorm,b263b548-1431-4986-8fb2-1b0047279852,3.0,"Rampant large-scale, sci-fi/action destruction, with tons of (bloodless) casualties: An entire Afghan village is frozen to death in an instant (same for a beach in Brazil), Hong Kong essentially experiences a giant sinkhole due to heat, the UAE is hit by a tsunami, etc. Also a fistfight, a shootout, and a car chase. A character gets hit by a car, and viewers see him die. Many explosions."
7,6091251,81,Scooby-Doo! and the Curse of the 13th Ghost,525b17f3-3e84-4d5b-aca1-aa7a427c5d2f,3.0,"Traditional Scooby! danger and action: hovering ghosts (with fangs and claws); avalanches; team is chased and menaced by mysterious car; heroes plummet, are captured, search through a spooky mansion with peril at every turn. Frightening images of snakes, demons, eyes peering through darkness."
8,6103029,96,Teenage Mutant Ninja Turtles III,6d1f3de2-c003-4fb8-b522-453695f36fbc,3.0,"Fights are frequent but staged to milk maximum comic effect. One-liners go flying along with punches and swords. A turtle runs into a burning building to save a small boy. A man falls off a high turret into the ocean, presumably dying on impact. A bad guy orders henchmen to shoot the turtles."
12,6115936,87,Batman vs Teenage Mutant Ninja Turtles,0892f715-565f-404f-a182-be1d278b5e64,4.0,"Nonstop cartoon violence: a multitude of weapons include swords, lasers, flamethrowers, katana, nunchaku, sai, guns. Deadly ""ooze"" is injected into superheroes with syringes. Bloody hand-to-hand combat. Weird hallucinations, a decapitation; mutants convulse and alter in grotesque images. Dead bodies are shown in background."
12,5135176,85,Dragonheart: A New Beginning,57be3315-2eb5-4650-be05-b4eced4a6f57,3.0,"There are frequent medieval and martial-arts battle scenes involving swords and spears, including a scene in which a character dies from taking a spear to his mid-section. Dragon attacks with fire."
13,5121346,97,Dragonheart 3: The Sorcerer's Curse,7c1d839a-f87a-4f7b-a94a-46c67393ee13,3.0,"Frequent medieval battle violence. Swordfights, characters burned by flames. Some blood. Sir Gareth, knowing that the dragon can feel the same pain he does, punches himself in the testicles."
12,1256093,103,Dragonheart,391a8a97-a416-47fc-90eb-1e39d82bd642,3.0,Dragon slaying and medieval sword fighting.
4,5527241,50,Here Comes Peter Cottontail,600b8de9-bd31-4669-a333-9c49bb5779e2,2.0,"Kids once roller-skated over a bunny's tail, leaving him with a fake tail and a lot of vengeful anger. Peter nearly falls from a flying time machine. An evil bunny sends witches to steal eggs from Peter. The witches aren't that scary but the evil bunny's laugh may scare some young kids. Irontail feeds gum to a rooster alarm clock, gagging him, which causes Peter to oversleep. Irontail vows he will replace pastel Easter colors with mud and concrete grays and eliminate Easter bonnets in favor of galoshes."
13,5706421,98,Dragonheart: Battle for the Heartfire,ccda06c9-16bb-4fc0-bc97-5a0622439a8f,3.0,"Medieval battle violence. Battles with swords, sorcery, crossbows, punches. A young man with extraordinary strength can hurl his enemies hundreds of yards away. Woodsmen attack a girl they believe to be a witch before they are killed by the girl's brother. Man falls into a spike in a wall and dies. Man killed by an axe to the chest."
9,5706016,70,Batman & Mr. Freeze: SubZero,e62ef60a-de40-4016-b323-ee12862f0e01,2.0,A car swerves off the road and crashes. Fighting with guns and knives. An elderly owner of a jewelry store is punched out during a robbery. Catwoman kicks a bad guy in the crotch. Fire and explosions -- characters trapped on burning oil rig. Polar bear attacks characters.
17,6120239,87,Perfect,9bd9a9c4-e451-4b18-bcad-6caa5de7220a,5.0,"A woman is seen dead and bloodied in a young man's bed. Another is burned alive. A tribal forest leader throws a woman off a high structure; the rest of the tribe attacks her. A man/animal is seen devouring a newborn baby (in black-and-white). Close-ups on the mouth of the eater show an eyeball and severed limb being chewed. Treatment at clinic consists of patients cutting chunks of their flesh out, replacing those chunks with hunks of translucent plastic, which immediately reprograms them. People seem to peel off their own skin."
7,1254253,83,Spirit: Stallion of the Cimarron,db7ee0bc-9bf6-4667-8c8e-b33ba54f3bc0,3.0,"Horses in frequent peril. Lead horse taken from his family by U.S. Cavalry. Lead horse shown trying to be trained and broken by a cavalryman. After his attempts fail, cavalryman orders the horse to be tied up, denied food and water for three days. Horses trapped in raging rapids, shown to be almost dead from near-drowning. Lead horse escapes from being part of a team dragging a locomotive up a hill, causes the locomotive to fall and roll down the hill, endangering men and horses, destroying buildings, explosions. Rifle shots. Horse kicks and throws off the men who try to tame him."
6,5840861,93,Arctic Dogs,435c377d-1271-4195-b622-5d2693775355,3.0,"Puffins intimidate other animals. Peril/danger: Animals are taken hostage and almost lowered into boiling water. A cage crashes through a wall. Character threatens town with big, scary-looking drill. One character pushes another, throws a pipe on him. Puffins spray poisonous gas to knock characters out. Explosion. Weapons that fire snowballs. Punching, slapstick squabbles/incidents. A character throws up. Ominous music."
13,6141717,102,Last Christmas,6fec5b44-3531-4d00-a655-6e9b06428ce5,1.0,"A fish is unintentionally electrocuted. An accident results in a trip to the hospital. Immigrants are hatefully told to ""go back to where you came from."""
13,6147672,99,White Snake,07988aa6-bbb4-4d41-90bf-2e6dc26dda75,3.0,"The demons and the general's superpowered assassins battle one another, and both groups attack humans. People in villages are forced to catch snakes for the dark general to consume. Battle sequences include people being killed or injured, villages being destroyed (dead or unconscious bodies briefly visible). A magical machine steals the life essence of people and demons, taking their souls, leaving them unable to reincarnate or come back to life. Xuan wakes up believing his penis was removed for a spell that turns him into a demon. A demon is slowly dying from a disease. Creepy imagery."
16,6149406,96,Daniel Isn't Real,209b7940-2a0f-4f2d-a6eb-346051b75aee,4.0,"Random, violent shooting in a cafe; bystanders are brutally shot. Bloody corpses shown. Blood splatter. Throat-slicing. Stabbing. Characters fight (one wields an empty bottle). Swordfighting. Punching. Burn via hot pipe. Hitting with chair. Scary/gross imagery, nightmares, monsters. Arguing, shouting. Pepper spray."
17,1256584,93,Halloween,08d7cb6a-9bb1-4cbd-bda0-ce4985c23ac0,4.0,"Though blood flow is left to viewer's imagination, there are stabbings and strangulation, including one victim left hanging on a door (pinned by knife). Another character stuck in eye with wire hanger, another falls down stairs. One shooting. One of Myers' victims is family dog. Some bullying: a young boy tripped while carrying a jack-o'-lantern, falls over, smashing the jack-o'-lantern in fall."
17,5462686,112,Boyz n the Hood,063bcb85-9b84-4c61-b74b-ba9b656d2c8b,4.0,"Several shootings. The shooters' rifles and handguns are shown being fired, the victims are shown being hit with bullets, falling to the ground, and the bloody wounds are shown. One incident shows a lot of blood on the victim, those who come to his aid, and a large pool of blood on the ground. A man approaches a victim lying on the ground and shoots him at point-blank range with a hand gun. Gunfire, sirens, screams, babies crying, and helicopters are heard in the background frequently. Handguns and rifles shown being loaded, brandished, aimed, and fired. A police officer holds a gun to an innocent suspect's head, threatens, and taunts with verbal abuse. Several fights show punching, slapping, and kicking victims who are on the ground. Important characters die."
17,6065781,109,Halloween (2018),70eb8418-4f33-47d8-8366-4f0c8700fd86,5.0,"Tons of slasher-movie violence. Stabbings, head smashings, bludgeonings, cars used as weapons, shootings, impalings, trapping someone in a fire. Mangled, beheaded corpses shown. Teens are killed, as is a young child. Teeth are forcibly removed and then distributed. Lots of blood."
18,6080349,152,The House That Jack Built,da15b68f-c7aa-4e04-b9d3-e8c9fe8bf507,5.0,"Film is an examination of violence; that's its focus/purpose. Extreme cruelty, glorification of brutality will disturb sensitive viewers. Seen through eyes of killer who highly approves of his actions, so tears/suffering he causes via torture and murder are presented positively. Graphic bludgeonings, stranglings, knifings, etc. -- mostly inflicted on women, some on children. A woman's bare breasts are marked for removal by the killer; the removal presumably occurs while she's alive, and then the severed body parts are later used by the killer. Cruelty to animals."
13,6130000,115,Crooklyn,d73b8331-c892-41b5-8ab1-bd70a4475d5d,3.0,"A man punches another man. In a dream, Troy beats a man over the head with a baseball bat and the man's head bleeds. An older girl fights with Troy outside of a grocery store. Troy urinates in her brother's room while she sleepwalks. Parents argue in front of their kids aggressively (though parents don't literally fight with each other), and occasionally swear at their kids. A child is bullied. Death of a parent."
10,6136156,104,High Strung Free Dance,c2ae1983-d013-4323-bbde-c5b7f41981f8,2.0,"A cyclist is accidentally knocked off his bike by an opening car door; his head bleeds, but he's OK. A temperamental character berates and humiliates employees."
8,6141920,96,Playing with Fire,d1e05e6b-d22e-4771-a734-f8f18ec87df9,2.0,"Physical comedy and slapstick as kids wreak havoc at firehouse. Fire scene in which kids are saved is momentarily frightening, as are two scenes in which the kids are in danger of crashing or even falling off a cliff."
16,6141667,151,Doctor Sleep,2c7e8197-e575-4664-aee6-937af5b204c2,4.0,"Children in peril, screaming in panic/pain, children killed. Death. Characters fight in a bar; someone's face is punched with a pool ball. Bloody wounds/blood stains. Skin peeled off of hand. Guns and shooting; villains dying, turning to dust. Character shoots himself in head. Fighting with axe. Bruised eye. Sexual predator character (older, married man tries to pick up teen girl). Scary music/scary stuff. Jump scare. Fall from high place. Hypodermic needle. Graphic story about deer hunting."
15,6142764,109,The Good Liar,d1ee0a0d-2b48-4bb4-8f2b-799e315b3973,4.0,"Graphic depictions of violence, including a closeup of a face that's been shot off, a hand being hammered, and a body being hit by a subway. Multiple stabbings. Physical fight. A young teen is raped. A young man grabs a teen girl's butt and tries to force a kiss on her. Brief scene from Inglorious Basterds shows Hitler getting blown away by machine guns."
16,6144828,135,Waves,b309c517-2b14-4930-96e8-1d1ac166e6eb,3.0,Quite a bit of discussion and on-screen depiction of death. Brief but impactful domestic violence. Several heated arguments. A character stalks a young woman. Discussion of abortion.
17,6160281,110,Hamburger Hill,6761d32d-109a-4638-b976-c68bea4e0fa5,5.0,"The movie doesn't shy away from graphic war violence. In one scene, an enemy soldier's head has his head shot off. Another scene shows a dead Vietnamese woman with a crying child nearby. Images of dead, dying, headless, limbless soldiers in the heat of battle. Soldier shot and dying, with exposed chest and organs trailing out."
7,6160282,96,Pokemon the Movie: The Power of Us,2d7850e0-f191-4ef9-9415-6d34a1bbda4a,2.0,"Some cartoon violence and peril. Frequent explosions during Pokemon battles. Pokemon sometimes take on exaggerated and demonic appearances during battles. Thick smoke threatens to engulf Fula City, leaving adults and kids trapped in aerial tramways. Mild taunting among three boys -- when one of them falls over, the other two laugh and tease him. A Pokemon's feelings are constantly getting hurt by a man who doesn't want to be his friend."
17,6158739,109,Animals,e2d9d64b-e0f6-49bf-b821-0fc0381cea5b,1.0,A character is seen passed out during a night out. Death and cancer are briefly discussed.
13,5930251,147,Mission: Impossible - Fallout,5be2ce25-3224-4d63-9dd4-b6099c172f81,4.0,"Many intense action-movie stunts with unrealistic outcomes (for example, a character is thrown from a motorcycle at high speed without a helmet, rolls a few times, and is OK). The action is stepped up from previous chapters in the already famously stunt-heavy franchise, with more intense hand-to-hand combat and vehicle chases (cars, motorcycles, helicopters, etc.). Blood is rare, but a character does get a disfiguring burn/wound. Shootings, knife fights, frequent peril. Deaths. A confusing bathroom situation could come across as a potential incident of violent gay-bashing that's thankfully nipped in the bud."
15,6156595,110,The Last Full Measure,67d1fcf3-e82a-463a-b9a5-661aedaf472b,4.0,"Vietnam War scenes include many deaths by bullet spray/explosion. Several close-ups of bloody mortal wounds and severe injuries, including multiple gunshots, compacted fractures, visible intestines. Bloody skirmish shows NVA soldiers shooting even dead-looking soldiers, stealing their weapons. A vet with PTSD shoots his rifle at the sky, points it in direction of a civilian Pentagon official. Another vet stares at his gun as if he's pondering self-harm."
17,6157374,113,The Gentlemen,d2e4c06e-94b0-464b-a6c8-8fa3f65d51ed,5.0,"Opens with someone getting shot in the head. Graphic violence continues throughout: shootings, threats with knives, beatings, lots of blood. Other violence includes poisonings, long falls, a rape."
16,6160133,92,We Die Young,7f291216-d5c0-47d3-8db1-c79efa471a0c,5.0,"Violence throughout, including beatings, stabbings, and shootings. Characters are regularly killed, often brutally and with much bloodshed. In one scene, someone is dragged through the streets half-naked by a motorbike. They are then slashed and stabbed repeatedly before being dragged away. As part of an initiation process, a ten-year-old child is repeatedly punched and kicked by a group of adults. A character is raped. A car slams two passengers on a motorbike against a wall, killing them both. A series of flashbacks depict scenes from a war -- characters are shot in the head and back, and a young child is seen lying dead on the floor. A dog is shot dead."
16,6159855,156,A Sun,812df171-324e-450e-9461-6165a6ef0e80,3.0,"An early brutal scene in which a man's hand is chopped off by a machete. Beatings, threats, and intimidation in a juvenile detention center. A lengthy sequence finds an angry man spewing excrement from a sewage truck with abandon."
10,6132280,90,Steven Universe: The Movie,ba5f92b3-408d-402f-a121-e2f61a9044dd,2.0,"Characters are in mortal danger in this movie, but the full weight of the danger doesn't really land as characters continue to scheme, sing, and joke around. Science fiction-style weaponry like a giant drill and a glowing scythe have scary powers. Characters have fights in which they are hurled into space or kicked long distances, but nothing seems to actually hurt except for at one point when Steven is hit in the nose and bleeds. A crucial fight involves an angry character fighting against one who merely defends himself and doesn't use force in return; the fight ends in peace and emotional growth."
13,6153653,95,Dancing at Lughnasa,7a05868a-3461-4c16-bcb6-b68b235279a3,1.0,A soldier was wounded. Rose is frightened when the boat she's in is rocked.
7,6157689,21,How to Train Your Dragon: Homecoming,bfafa8a4-eede-486b-9449-b30182f112ca,0.0,"Some mild peril in a scene that shows fire threatening a community. Hiccup suffers bumps to the head and other minor injuries in encounters with dragons, but there's no lasting harm."
16,6157785,97,Escape Plan: The Extractors,5dc53467-0355-43be-a9b8-fad2a32c746b,4.0,Frequent violence -- both hand-to-hand combat and fighting with weapons -- resulting in broken bones and multiple deaths. One character dies by being impaled on a metal rod. Other characters die by gunshot and knife wounds. Blood spatter and bloody wounds are seen on screen. Characters are kidnapped.
15,6157811,116,The Operative,e2006c5e-49a1-4af4-a907-98d2029ca0a6,4.0,"The violence is sporadic but graphic and there are many tense moments. There is a sexual assault -- a character has a hand placed over their mouth while the other reaches into their underwear. Two people are shot dead in an elevator and a third has their neck broken. A truck crashes -- although it doesn't look serious, a character is hospitalized with internal bleeding. During a nightmare, a character is strangled with a wire and another is smothered with a pillow. A character is injected with a lethal poison, which kills them. Weaponry is smuggled across a border. Some discussion about nuclear bombs. The aftereffects of a bomb -- which killed two children -- are shown on the news. Reference to a mother who died of cancer."
13,1257415,98,Charlie's Angels,cf9c2893-6cc9-4cec-80f5-89af122c426f,3.0,"Characters punch, kick, fight with swords. Character killed by a man with a sword. Reckless driving, resulting in a crash. Bad guys use a machine gun to shoot up a trailer. Explosions. Gunshots."
14,1260213,87,Child's Play (1988),894bd058-4ef1-4ed7-b752-bedf88d27115,4.0,"(Warning: Some spoilers.) An unusually low body count relative to other horror movies (and later movies in the Chucky franchise), but Chucky still attacks and maims with a knife, a bat, even his teeth. Woman attacked with a hammer by Chucky before falling four stories to her death. Chucky turns on the gas in the dilapidated two-flat where his former partner in crime is hiding out, resulting in a deadly explosion. One character shot to death, another electrocuted until his face becomes hideously charred. Voodoo magic breaks limbs. Reckless driving resulting in an accident."
7,6158922,93,"Davy Crockett, King of the Wild Frontier",4f185c15-931b-4636-a97a-5fc7343840af,3.0,"White men kill Native Americans in the battle to take Native lands away and give it to white settlers. Bad guys frighten law-abiding townsfolk until Davy gets the bad guys arrested. Many men die by knife, bayonet, gunshot, and cannon wounds. Hand-to-hand combat is shown without much blood. Native Americans attack with arrows, tomahawks, and knives. Men stab each other with knives and bayonets. The Alamo battle scenes show soldiers climbing the Alamo walls, then, at the top, being stabbed and thrown down by the waiting Americans. A white man is captured by Native Americans, tied up, and threatened with execution until Crockett intervenes to achieve a peaceful solution with the local tribe. It's reported that a man's wife has died."
16,6158133,120,A Fall from Grace,e920174f-d9aa-4878-96fe-3cbc691d4749,4.0,"Woman falls/jumps from building to her death. An extended brutal, bloody beating. Suspense. Women captives have been abused and neglected."
7,6159816,48,Bizarre Dinosaurs,2580fa7c-464e-4f31-941b-01593daf92c3,2.0,"Many anatomical adaptations, limb size, head size, neck size, and arrangements of plates and spikes might have developed for either predatory, defensive, or mating purposes. Scientists offer theories on causes for dinosaurs' extinction."
7,6159822,91,Hounded,7fb764af-a406-420f-8faa-4ee3fc1b4e78,2.0,Comic violence throughout includes a small attack-dog with bared teeth and loud growls. A kid kicks another off his bike. A car crashes and no one is hurt. A man sticks his head into a bowling ball delivery tube and is whacked in the head.
16,1261240,84,Idiocracy,1ca59642-7244-41dd-a58b-09d721703e85,4.0,"Comedic fighting, scuffling, and blows to the groin. A character is beaten by the police. Comedic gunplay and explosions. A character is pepper sprayed."
15,6159787,119,Only You,ac5fa2d4-d617-4149-a6f7-08d3dc7fd572,1.0,"Some arguing. In one scene, a character punches a door during an argument."
15,6158509,100,Never Grow Old,c047444d-680e-472c-8152-b896225638f2,4.0,Multiple characters are shot dead -- often graphically. One is shown with his stomach ripped open. A young character is hanged. A building full of people is set on fire but it's unclear if anyone dies. A character tries to force themselves on another but is stabbed. A character carries their severed tongue with them. A horse is euthanized. One of the main characters works as an undertaker.
6,1255343,78,A Goofy Movie,234e9fbb-6d51-4158-8243-740d538010a8,1.0,"Perilous scenes in a car, where Goofy and Max fall off of a cliff into a river. At one point, Max gets so frustrated with a mascot wearing a possum outfit that he punches him in the kisser. Pete bullies his son and encourages Goofy to do the same with Max."
5,6136549,86,A Shaun the Sheep Movie: Farmageddon,49b4bde0-6313-44cf-b8b2-08056cb6a3bb,2.0,"Slapstick but cartoonish, with some moments of peril. Characters are hit in the face with a flying disc, pizza, and a pie. Initially, a character appears scary but quickly establishes themselves as friendly and playful. A character is separated from their parents. Character hits head. Characters fall from a tower but are unharmed. Several crashes involving vehicles; no one is hurt. A harvester narrowly misses a dog. One character is mean and scary and uses a robotic machine to try to capture an alien. Two friends have an emotional goodbye."
17,1262147,130,Starship Troopers,eb2f3b8c-c774-4977-9d6e-1461c1fe62f3,5.0,"Extreme splattery gore in the monster battles, with humans sliced to pieces by insect claws and mandibles, crushed by machinery, melted by creature acid, and, by the finale, getting their brains sucked out. ""Arachnids"" are dissected and shot to pieces too. Human-on-human violence includes bones broken in brutal cadet-training lessons and fistfights. A character is shot in the head. The hero is literally whipped bloody in a disciplinary action. Real insects (giant cockroaches) are smashed, in a satire of human revenge-lust."
16,3277666,118,Looper,1351f8fb-a74c-468d-9343-e76b710f72c6,4.0,"Plenty of sci-fi/fantasy violence. Just about everyone has a gun, and most characters are shot at some point (in the face, head, heart); many die. Noticeable amounts of blood. In the most shocking sequence (potential spoiler alert!), the older Joe kills a child (off screen), hoping to prevent future disasters. He breaks down and cries afterward. There's a mild suggestion that two other children are in danger. A child throws frightening, supernatural temper tantrums that cause serious harm (in some cases, gorily so). A man's hand is smashed with a hammer. A man is punished via time travel, as parts of his body suddenly disappear (fingers, nose, legs, etc.)."
10,1257199,103,Home Alone,6285e943-9188-42dc-b153-f15786c61ac2,3.0,"Frequent slapstick violence, especially toward the end. Characters fall down stairs, get hit with blunt objects, step on nails and glass, get burned. The lead character shoots one of the thieves trying to break into his house in the groin area with a BB gun. A young boy watches a mafia-themed movie from the 1940s in which a character kills another character with a machine gun while laughing maniacally."
10,1251548,100,Home Alone 2: Lost in New York,1056e95b-56bc-455b-b44f-54cbe80d56a6,3.0,"Plenty of comic, slapstick violence: The main character throws bricks, shoots staples, sets deadly traps, and generally endangers the lives of the bad guys."
8,6159758,89,Buffalo Dreams,0d2ba97b-2aa4-46bb-a511-2a32c484d83d,2.0,"A bike racer puts a stick into the spokes of a racer next to him, breaking the other rider's bike. Reckless boys spray-paint a sacred Navajo site. Buffalo threaten to stampede but kids on bikes head them off."
6,4229676,72,My Little Pony: Equestria Girls,f0912a53-6b03-4bbd-a060-d0a4345d930e,1.0,Sunset Shimmer is mean to Twilight Sparkle and eventually steals her crown and tries to wield its power in a menacing way. She turns into a demonic winged creature and summons an army to invade Equestria until Twilight Sparkle stops her.
15,4798401,90,Sharknado,fc597ac7-210d-46b5-915c-7e9f922712b2,4.0,Unrealistic and ludicrous violence. Frequent bloody shark attacks. Characters are shown getting limbs bitten off by sharks. Characters are shown being eaten alive by sharks. A character is crushed to death by a Ferris wheel that rolls off its foundation during a hurricane. Another character is killed by a giant piece of debris.
7,6159177,81,Davy Crockett and the River Pirates,67fb5b7f-8694-4c1a-92d6-9b2c78b06ffa,3.0,"Bullets, arrows, cannon balls, pitchforks, scythes, knives, tomahawks, and big sticks are all used in combat. Men dressed as ""Injuns"" try to pirate river boats but the boatmen fight back. Fight scenes are relatively long but not terribly gruesome based on today's standards. A skunk climbs into George's sleeping bag and lets loose a stench. Alligators watch as men walk through a river. A boat captain sabotages another boat's rudder in the effort to win a race."
13,5201936,94,The Visit,534afcc7-f6a8-4e75-b73b-46f886f2bce3,3.0,"Dead bodies, one hanged. Elderly man killed in a shocking way. Some blood. Spooky images, spooky dialogue, and jump scares. Stabbing with a mirror shard. Teens in jeopardy. Vomiting and poop. A man briefly assaults another man. Rifle briefly shown."
3,6063791,47,The Daniel Tiger Movie: Won't You Be Our Neighbor?,d24f9717-5575-4269-aea9-3ad081a31d11,0.0,Not applicable
10,6156851,94,Troop Zero,41bf9b41-e455-4548-97c8-a7c648d92e12,1.0,"Some pushing and shoving, falls, a food fight. Mean girls intimidate heroes."
7,6159148,84,The Big Trip,d7dccaf1-6b95-4911-915e-f91e6645337e,2.0,"Lots of cartoon violence and suspense: a scary python chases heroes in multiple scenes, gnashing fangs, cackling, coiling and preparing to strike. There are falls, close calls, a rocket blows up, bees chase, a boat crashes into rocks, snake and bear fight"
9,6158696,85,The Queen's Corgi,4d0a88ad-733e-4d2b-9e17-91115a148b75,3.0,"Slapstick violence, with some peril and the suggestion of pain being inflicted. There's an after-hours ""fight club"" at the animal shelter. One of the dogs is intimidating and aggressive -- verbally abusing and physically attacking another."
15,6158474,108,Shirley Valentine,76a62cdf-e40f-45a0-af3e-272bbf9ba896,1.0,"A character angrily pushes a plate of food away, which spills onto another character's clothes."
16,6138617,144,Motherless Brooklyn,e8fdf539-74eb-4c9d-a2eb-46ca0254d9d0,3.0,"Guns are used to threaten and kill; one man slowly bleeds out. Beatings, knocks across the head. A fall from a high place results in a splattery death. Discussion of rape. A character who has disorders is called ""freak show."""
