,AAUXQDLH9Z1YS,A3ST8XFT4X93K
57752,-100.0,-100.0
57770,-100.0,-100.0
57796,-100.0,-100.0
57802,-100.0,-100.0
57818,-100.0,-100.0
57834,-100.0,-100.0
57841,-100.0,-100.0
57851,-100.0,-100.0
57867,-100.0,-100.0
57884,-100.0,-100.0
57901,-100.0,-100.0
57916,-100.0,-100.0
57934,-100.0,-100.0
57949,-100.0,-100.0
57950,-100.0,-100.0
57967,-100.0,-100.0
57985,-100.0,-100.0
58000,-100.0,-100.0
58004,-100.0,-100.0
58018,-100.0,-100.0
58035,-100.0,-100.0
58039,-100.0,-100.0
58050,-100.0,-100.0
58076,-100.0,-100.0
58154,-100.0,-100.0
58251,-100.0,-100.0
58294,-100.0,-100.0
58335,-100.0,-100.0
58336,-100.0,-100.0
58349,-100.0,-100.0
58352,-100.0,-100.0
58378,-100.0,-100.0
58425,-100.0,-100.0
58449,-100.0,-100.0
58494,-100.0,-100.0
58530,-100.0,-100.0
58627,-100.0,-100.0
58695,-100.0,-100.0
58743,-100.0,-100.0
58766,-100.0,-100.0
58794,-100.0,-100.0
58857,-100.0,-100.0
58892,-100.0,-100.0
58944,-100.0,-100.0
59032,-100.0,-100.0
59166,-100.0,-100.0
59302,-100.0,-100.0
59369,-100.0,-100.0
59393,-100.0,-100.0
59450,-100.0,-100.0
59526,-100.0,-100.0
59603,-100.0,-100.0
59662,-100.0,-100.0
59699,-100.0,-100.0
59760,-100.0,-100.0
59793,-100.0,-100.0
59870,-100.0,-100.0
59971,-100.0,-100.0
60019,-100.0,-100.0
60107,-100.0,-100.0
60181,-100.0,-100.0
60227,-100.0,-100.0
60261,-100.0,-100.0
60294,-100.0,-100.0
60344,-100.0,-100.0
60380,-100.0,-100.0
60408,-100.0,-100.0
60440,-100.0,-100.0
60562,-100.0,-100.0
60690,-100.0,-100.0
60722,-100.0,-100.0
60769,-100.0,-100.0
60846,-100.0,-100.0
60976,-100.0,-100.0
61107,-100.0,-100.0
61146,-100.0,-100.0
61194,-100.0,-100.0
61238,-100.0,-100.0
61266,-100.0,-100.0
61359,-100.0,-100.0
61454,-100.0,-100.0
61490,-100.0,-100.0
61610,-100.0,-100.0
61704,-100.0,-100.0
61768,-100.0,-100.0
61824,-100.0,-100.0
61846,-100.0,-100.0
61875,-100.0,-100.0
61907,-100.0,-100.0
61956,-100.0,-100.0
61988,-100.0,-100.0
62011,-100.0,-100.0
62055,-100.0,-100.0
62108,-100.0,-100.0
62178,-100.0,-100.0
62207,-100.0,-100.0
62234,-100.0,-100.0
62261,-100.0,-100.0
62298,-100.0,-100.0
62359,-100.0,-100.0
62499,-100.0,-100.0
62535,-100.0,-100.0
62588,-100.0,-100.0
62618,-100.0,-100.0
62647,-100.0,-100.0
62693,-100.0,-100.0
62809,-100.0,-100.0
62892,-100.0,-100.0
62932,-100.0,-100.0
62977,-100.0,-100.0
62999,-100.0,-100.0
63078,-100.0,-100.0
63128,-100.0,-100.0
63209,-100.0,-100.0
63231,-100.0,-100.0
63274,-100.0,-100.0
63315,-100.0,-100.0
63339,-100.0,-100.0
63360,-100.0,-100.0
63389,-100.0,-100.0
63437,-100.0,-100.0
63495,-100.0,-100.0
63591,-100.0,-100.0
63622,-100.0,-100.0
63655,-100.0,-100.0
63683,-100.0,-100.0
63706,-100.0,-100.0
63734,-100.0,-100.0
63756,-100.0,-100.0
63793,-100.0,-100.0
63953,-100.0,-100.0
64040,-100.0,-100.0
64070,-100.0,-100.0
64167,-100.0,-100.0
64195,-100.0,-100.0
64271,-100.0,-100.0
64340,-100.0,-100.0
64365,-100.0,-100.0
64443,-100.0,-100.0
64473,-100.0,-100.0
64564,-100.0,-100.0
64601,-100.0,-100.0
64682,-100.0,-100.0
65289,-100.0,-100.0
65306,-100.0,-100.0
65307,-100.0,-100.0
69297,-100.0,-100.0
69332,-100.0,-100.0
69394,-100.0,-100.0
69462,-100.0,-100.0
69496,-100.0,-100.0
69560,-100.0,-100.0
69655,-100.0,-100.0
69744,-100.0,-100.0
69812,-100.0,-100.0
69913,-100.0,-100.0
69947,-100.0,-100.0
70035,-100.0,-100.0
70067,-100.0,-100.0
70156,-100.0,-100.0
70198,-100.0,-100.0
70292,-100.0,-100.0
70313,-100.0,-100.0
70436,-100.0,-100.0
70535,-100.0,-100.0
70582,-100.0,-100.0
70665,-100.0,-100.0
70725,-100.0,-100.0
70800,-100.0,-100.0
70835,-100.0,-100.0
70930,-100.0,-100.0
70963,-100.0,-100.0
70998,-100.0,-100.0
71122,-100.0,-100.0
71157,-100.0,-100.0
71179,-100.0,-100.0
71210,-100.0,-100.0
71232,-100.0,-100.0
71339,-100.0,-100.0
71403,-100.0,-100.0
71474,-100.0,-100.0
71668,-100.0,-100.0
71714,-100.0,-100.0
71951,-100.0,-100.0
72048,-100.0,-100.0
72092,-100.0,-100.0
72122,-100.0,-100.0
72139,-100.0,-100.0
72173,-100.0,-100.0
72217,-100.0,-100.0
72242,-100.0,-100.0
72264,-100.0,-100.0
72282,-100.0,-100.0
72297,-100.0,-100.0
72318,-100.0,-100.0
72414,-100.0,-100.0
72458,-100.0,-100.0
72473,-100.0,-100.0
72498,-100.0,-100.0
72516,-100.0,-100.0
72535,-100.0,-100.0
72572,-100.0,-100.0
72614,-100.0,-100.0
72629,-100.0,-100.0
72666,-100.0,-100.0
72679,-100.0,-100.0
72702,-100.0,-100.0
72716,-100.0,-100.0
72740,-100.0,-100.0
72753,-100.0,-100.0
72885,-100.0,-100.0
72923,-100.0,-100.0
73000,-100.0,-100.0
73049,-100.0,-100.0
73090,-100.0,-100.0
73112,-100.0,-100.0
73158,-100.0,-100.0
73178,-100.0,-100.0
73201,-100.0,-100.0
73222,-100.0,-100.0
73243,-100.0,-100.0
73267,-100.0,-100.0
73285,-100.0,-100.0
73304,-100.0,-100.0
73323,-100.0,-100.0
73347,-100.0,-100.0
73369,-100.0,-100.0
73388,-100.0,-100.0
73408,-100.0,-100.0
73428,-100.0,-100.0
73448,-100.0,-100.0
73468,-100.0,-100.0
73499,-100.0,-100.0
73580,-100.0,-100.0
73607,-100.0,-100.0
73665,-100.0,-100.0
73694,-100.0,-100.0
73718,-100.0,-100.0
73773,-100.0,-100.0
73808,-100.0,-100.0
73832,-100.0,-100.0
73850,-100.0,-100.0
73868,-100.0,-100.0
73966,-100.0,-100.0
73986,-100.0,-100.0
74058,-100.0,-100.0
74122,-100.0,-100.0
74166,-100.0,-100.0
74184,-100.0,-100.0
74210,-100.0,-100.0
74235,-100.0,-100.0
74264,-100.0,-100.0
74365,-100.0,-100.0
74433,-100.0,-100.0
74534,-100.0,-100.0
74589,-100.0,-100.0
74616,-100.0,-100.0
74657,-100.0,-100.0
74668,-100.0,-100.0
74685,-99.0,-100.0
74696,-99.0,-100.0
74712,-98.0,-100.0
74718,-97.0,-100.0
74723,-97.0,-100.0
74736,-96.0,-100.0
74741,-96.0,-100.0
74747,-95.0,-100.0
74755,-94.0,-100.0
74759,-94.0,-100.0
74767,-93.5,-100.0
74771,-93.0,-100.0
74776,-93.0,-100.0
74789,-92.0,-100.0
74795,-92.0,-100.0
74799,-91.0,-100.0
74824,-90.0,-100.0
74828,-90.0,-100.0
74831,-89.0,-100.0
74835,-89.0,-100.0
74849,-88.0,-100.0
74853,-88.0,-100.0
74859,-87.5,-100.0
74865,-87.0,-100.0
74870,-87.0,-100.0
74884,-85.5,-100.0
74901,-84.0,-100.0
74905,-84.0,-100.0
74918,-83.0,-100.0
74922,-83.0,-100.0
74937,-82.0,-100.0
74941,-82.0,-100.0
74948,-81.33333333333333,-100.0
74968,-80.66666666666667,-100.0
74988,-80.0,-100.0
74996,-80.0,-100.0
75023,-78.0,-100.0
75028,-78.0,-100.0
75032,-77.0,-100.0
75036,-77.0,-100.0
75045,-76.5,-100.0
75053,-76.0,-100.0
75062,-76.0,-100.0
75083,-75.0,-100.0
75086,-75.0,-100.0
75087,-75.0,-100.0
75101,-74.0,-100.0
75105,-74.0,-100.0
75117,-73.0,-100.0
75121,-73.0,-100.0
75138,-72.0,-100.0
75145,-72.0,-100.0
75170,-70.0,-100.0
75174,-70.0,-100.0
75207,-68.0,-100.0
75211,-68.0,-100.0
75241,-66.0,-100.0
75245,-66.0,-100.0
75252,-65.0,-100.0
75256,-65.0,-100.0
75282,-63.0,-100.0
75286,-63.0,-100.0
75289,-63.0,-100.0
75308,-62.5,-100.0
75317,-62.0,-100.0
75321,-62.0,-100.0
75333,-61.5,-100.0
75334,-61.0,-100.0
75340,-61.0,-100.0
75352,-59.5,-100.0
75369,-58.0,-100.0
75374,-58.0,-100.0
75387,-57.0,-100.0
75391,-57.0,-100.0
75397,-56.5,-100.0
75405,-56.0,-100.0
75411,-56.0,-100.0
75416,-55.5,-100.0
75422,-55.0,-100.0
75426,-55.0,-100.0
75439,-54.0,-100.0
75441,-54.0,-100.0
75446,-54.0,-100.0
75463,-53.0,-100.0
75464,-53.0,-100.0
75469,-53.0,-100.0
75483,-51.5,-100.0
75503,-50.0,-100.0
75505,-50.0,-100.0
75509,-50.0,-100.0
75519,-49.0,-100.0
75524,-49.0,-100.0
75563,-48.0,-100.0
75568,-48.0,-100.0
75595,-46.0,-100.0
75601,-46.0,-100.0
75620,-44.0,-100.0
75627,-44.0,-100.0
75629,-43.5,-100.0
75639,-43.0,-100.0
75642,-43.0,-100.0
75643,-43.0,-100.0
75645,-41.5,-100.0
75674,-40.0,-100.0
75678,-40.0,-100.0
75681,-39.0,-100.0
75686,-39.0,-100.0
75699,-38.0,-100.0
75703,-38.0,-100.0
75715,-37.0,-100.0
75718,-37.0,-100.0
75719,-37.0,-100.0
75746,-36.0,-100.0
75751,-35.0,-100.0
75755,-35.0,-100.0
75769,-34.0,-100.0
75773,-34.0,-100.0
75788,-33.0,-100.0
75792,-33.0,-100.0
75803,-31.0,-100.0
75808,-31.0,-100.0
75820,-30.0,-100.0
75824,-30.0,-100.0
75839,-29.0,-100.0
75844,-29.0,-100.0
75857,-28.0,-100.0
75873,-27.0,-100.0
75877,-27.0,-100.0
75880,-26.0,-100.0
75885,-26.0,-100.0
75901,-25.0,-100.0
75916,-25.0,-100.0
75918,-25.0,-100.0
75934,-24.5,-100.0
75936,-24.0,-100.0
75942,-24.0,-100.0
75951,-22.0,-100.0
75955,-22.0,-100.0
75957,-21.5,-100.0
75972,-21.0,-100.0
75976,-21.0,-100.0
75985,-20.0,-100.0
75992,-20.0,-100.0
75993,-19.5,-100.0
76003,-19.0,-100.0
76009,-19.0,-100.0
76012,-18.5,-100.0
76020,-18.0,-100.0
76023,-18.0,-100.0
76035,-17.5,-100.0
76038,-17.0,-100.0
76043,-17.0,-100.0
76050,-16.5,-100.0
76056,-16.0,-100.0
76061,-16.0,-100.0
76070,-15.5,-100.0
76073,-15.0,-100.0
76077,-15.0,-100.0
76090,-14.0,-100.0
76098,-14.0,-100.0
76108,-12.0,-100.0
76112,-12.0,-100.0
76114,-11.0,-100.0
76118,-11.0,-100.0
76133,-10.0,-100.0
76135,-10.0,-100.0
76137,-10.0,-100.0
76151,-9.0,-100.0
76156,-9.0,-100.0
76162,-8.5,-100.0
76167,-8.0,-100.0
76172,-8.0,-100.0
76184,-7.0,-100.0
76188,-7.0,-100.0
76202,-6.0,-100.0
76208,-6.0,-100.0
76220,-5.0,-100.0
76222,-5.0,-100.0
76226,-5.0,-100.0
76238,-4.0,-100.0
76243,-4.0,-100.0
76256,-2.0,-100.0
76260,-2.0,-100.0
76273,-1.0,-100.0
76279,-1.0,-100.0
76289,0.0,-100.0
76293,0.0,-100.0
76312,1.0,-100.0
76315,2.0,-100.0
76332,3.0,-100.0
76337,3.0,-100.0
76348,4.0,-100.0
76350,4.0,-100.0
76354,4.0,-100.0
76366,5.0,-100.0
76367,5.0,-100.0
76371,5.0,-100.0
76384,6.0,-100.0
76389,6.0,-100.0
76403,8.0,-100.0
76408,8.0,-100.0
76419,9.0,-100.0
76436,10.0,-100.0
76440,10.0,-100.0
76442,10.5,-100.0
76453,11.0,-100.0
76455,11.0,-100.0
76460,11.0,-100.0
76471,12.0,-100.0
76478,12.0,-100.0
76489,13.0,-100.0
76494,13.0,-100.0
76508,14.0,-100.0
76512,14.0,-100.0
76517,15.0,-100.0
76531,16.0,-100.0
76532,16.0,-100.0
76535,16.0,-100.0
76548,17.0,-100.0
76553,17.0,-100.0
76565,18.5,-100.0
76583,20.0,-100.0
76587,20.0,-100.0
76592,20.5,-100.0
76601,21.0,-100.0
76605,21.0,-100.0
76618,22.0,-100.0
76624,22.0,-100.0
76632,22.5,-100.0
76635,23.0,-100.0
76640,23.0,-100.0
76651,23.5,-100.0
76653,24.0,-100.0
76661,24.0,-100.0
76672,25.0,-100.0
76688,26.0,-100.0
76689,26.0,-100.0
76693,26.0,-100.0
76706,28.0,-100.0
76712,28.0,-100.0
76725,29.0,-100.0
76728,29.0,-100.0
76741,30.0,-100.0
76749,31.0,-100.0
76752,31.0,-100.0
76756,32.0,-100.0
76782,33.0,-100.0
76786,33.0,-100.0
76801,34.0,-100.0
76804,34.0,-100.0
76817,35.0,-100.0
76823,35.0,-100.0
76826,35.5,-100.0
76835,36.0,-100.0
76839,36.0,-100.0
76853,38.0,-100.0
76856,38.0,-100.0
76869,39.0,-100.0
76876,39.0,-100.0
76888,40.0,-100.0
76892,40.0,-100.0
76906,41.0,-100.0
76912,41.0,-100.0
76922,42.0,-100.0
76927,42.0,-100.0
76928,43.0,-100.0
76958,44.0,-100.0
76961,44.0,-100.0
76964,45.0,-100.0
76968,45.0,-100.0
76982,46.0,-100.0
76986,46.0,-100.0
77001,48.0,-100.0
77004,48.0,-100.0
77016,49.0,-100.0
77019,49.0,-100.0
77034,50.0,-100.0
77039,50.0,-100.0
77052,51.0,-100.0
77056,51.0,-100.0
77059,51.5,-100.0
77069,52.0,-100.0
77075,52.0,-100.0
77087,53.0,-100.0
77092,53.0,-100.0
77110,54.0,-100.0
77121,55.0,-100.0
77125,55.0,-100.0
77139,56.0,-100.0
77143,56.0,-100.0
77156,57.0,-100.0
77160,57.0,-100.0
77180,58.0,-100.0
77182,59.0,-100.0
77185,59.0,-100.0
77198,60.0,-100.0
77206,60.0,-100.0
77209,60.5,-100.0
77216,61.0,-100.0
77220,61.0,-100.0
77242,62.0,-100.0
77252,63.0,-100.0
77255,63.0,-100.0
77256,63.0,-100.0
77268,64.0,-100.0
77274,64.0,-100.0
77286,65.0,-100.0
77291,65.0,-100.0
77304,67.0,-100.0
77308,67.0,-100.0
77321,68.0,-100.0
77325,68.0,-100.0
77339,69.0,-100.0
77343,69.0,-100.0
77357,70.0,-100.0
77360,70.0,-100.0
77373,71.0,-100.0
77379,71.0,-100.0
77391,72.0,-100.0
77415,73.0,-100.0
77416,74.0,-100.0
77418,74.0,-100.0
77433,75.0,-100.0
77436,75.0,-100.0
77451,76.0,-100.0
77455,76.0,-100.0
77467,78.0,-100.0
77472,78.0,-100.0
77476,78.5,-100.0
77485,79.0,-100.0
77489,79.0,-100.0
77492,79.5,-100.0
77503,80.0,-100.0
77506,80.0,-100.0
77516,81.0,-100.0
77538,82.0,-100.0
77542,82.0,-100.0
77555,83.0,-100.0
77556,83.0,-100.0
77559,83.0,-100.0
77572,84.0,-100.0
77577,84.0,-100.0
77586,84.5,-100.0
77590,85.0,-100.0
77594,85.0,-100.0
77611,86.5,-100.0
77614,88.0,-100.0
77620,88.0,-100.0
77632,88.5,-100.0
77633,89.0,-100.0
77637,89.0,-100.0
77649,90.0,-100.0
77654,90.0,-100.0
77667,91.0,-100.0
77670,91.0,-100.0
77673,91.5,-100.0
77684,92.0,-100.0
77688,92.0,-100.0
77692,92.5,-100.0
77702,93.0,-100.0
77705,93.0,-100.0
77710,93.5,-100.0
77720,94.0,-100.0
77724,94.0,-100.0
77738,95.0,-100.0
77743,95.0,-100.0
77754,96.0,-100.0
77759,96.0,-100.0
77772,98.0,-100.0
77776,98.0,-100.0
77790,99.0,-100.0
77791,99.0,-100.0
77794,99.0,-100.0
77807,100.0,-100.0
77813,100.0,-100.0
77834,100.0,-100.0
78061,100.0,-100.0
78096,100.0,-100.0
78205,100.0,-100.0
78307,100.0,-100.0
78389,100.0,-100.0
78439,100.0,-100.0
78459,100.0,-100.0
78543,100.0,-100.0
78579,100.0,-100.0
78621,100.0,-100.0
78642,100.0,-100.0
78706,100.0,-100.0
78724,100.0,-100.0
78753,100.0,-100.0
78875,100.0,-100.0
78900,100.0,-100.0
78923,100.0,-100.0
78944,100.0,-100.0
78970,100.0,-100.0
78988,100.0,-100.0
82403,100.0,-100.0
82423,99.0,-100.0
82426,99.0,-100.0
82455,97.0,-100.0
82458,97.0,-100.0
82473,96.0,-100.0
82477,96.0,-100.0
82489,95.0,-100.0
82493,95.0,-100.0
82507,94.0,-100.0
82511,94.0,-100.0
82514,93.0,-100.0
82518,93.0,-100.0
82531,92.0,-100.0
82535,92.0,-100.0
82550,91.0,-100.0
82554,91.0,-100.0
82566,90.0,-100.0
82571,90.0,-100.0
82584,89.0,-100.0
82588,89.0,-100.0
82601,87.0,-100.0
82605,87.0,-100.0
82619,86.0,-100.0
82623,86.0,-100.0
82637,85.0,-100.0
82640,85.0,-100.0
82655,84.0,-100.0
82663,84.0,-100.0
82672,83.0,-100.0
82676,83.0,-100.0
82689,82.0,-100.0
82692,82.0,-100.0
82706,81.0,-100.0
82710,81.0,-100.0
82714,80.0,-100.0
82718,80.0,-100.0
82731,79.0,-100.0
82734,79.0,-100.0
82748,77.0,-100.0
82753,77.0,-100.0
82783,75.0,-100.0
82786,75.0,-100.0
82801,74.0,-100.0
82805,74.0,-100.0
82819,73.0,-100.0
82822,73.0,-100.0
82836,72.0,-100.0
82840,72.0,-100.0
82853,71.0,-100.0
82857,71.0,-100.0
82871,70.0,-100.0
82874,70.0,-100.0
82888,69.0,-100.0
82892,69.0,-100.0
82906,67.0,-100.0
82912,67.0,-100.0
82924,66.0,-100.0
82929,66.0,-100.0
82940,65.0,-100.0
82947,64.0,-100.0
82950,64.0,-100.0
82966,63.0,-100.0
82971,63.0,-100.0
83002,61.0,-100.0
83007,61.0,-100.0
83034,59.0,-100.0
83039,59.0,-100.0
83053,57.0,-100.0
83056,57.0,-100.0
83070,56.0,-100.0
83076,56.0,-100.0
83088,55.0,-100.0
83092,55.0,-100.0
83105,54.0,-100.0
83109,54.0,-100.0
83124,53.0,-100.0
83128,53.0,-100.0
83141,52.0,-100.0
83148,51.0,-100.0
83150,51.0,-100.0
83166,50.0,-100.0
83170,50.0,-100.0
83203,49.0,-100.0
83248,49.0,-100.0
83270,47.0,-100.0
83274,47.0,-100.0
83289,46.0,-100.0
83293,46.0,-100.0
83307,45.0,-100.0
83311,45.0,-100.0
83328,44.0,-100.0
83332,44.0,-100.0
83357,41.0,-100.0
83361,41.0,-100.0
83368,40.0,-100.0
83372,40.0,-100.0
83402,38.0,-100.0
83405,38.0,-100.0
83423,37.0,-100.0
83426,37.0,-100.0
83452,35.0,-100.0
83457,35.0,-100.0
83472,34.0,-100.0
83476,34.0,-100.0
83532,31.0,-100.0
83562,31.0,-100.0
83567,30.0,-100.0
83570,30.0,-100.0
83580,29.0,-100.0
83584,29.0,-100.0
83598,28.0,-100.0
83601,28.0,-100.0
83616,27.0,-100.0
83622,27.0,-100.0
83644,25.0,-100.0
83649,25.0,-100.0
83655,24.0,-100.0
83663,24.0,-100.0
83671,23.0,-100.0
83675,23.0,-100.0
83703,21.0,-100.0
83707,21.0,-100.0
83721,20.0,-100.0
83725,20.0,-100.0
83738,19.0,-100.0
83743,19.0,-100.0
83756,18.0,-100.0
83759,18.0,-100.0
83774,17.0,-100.0
83778,17.0,-100.0
83790,16.0,-100.0
83794,16.0,-100.0
83799,15.0,-100.0
83803,15.0,-100.0
83824,13.0,-100.0
83829,13.0,-100.0
83850,11.0,-100.0
83861,11.0,-100.0
83884,9.0,-100.0
83888,9.0,-100.0
83904,8.0,-100.0
83909,8.0,-100.0
83921,7.0,-100.0
83925,7.0,-100.0
83947,6.0,-100.0
83951,6.0,-100.0
83959,5.0,-100.0
83978,5.0,-100.0
83992,3.0,-100.0
83996,3.0,-100.0
83998,2.0,-100.0
84044,2.0,-100.0
84060,1.0,-100.0
84070,1.0,-100.0
84099,0.0,-100.0
84112,0.0,-100.0
84120,-1.0,-100.0
84125,-1.0,-100.0
84139,-2.0,-100.0
84143,-2.0,-100.0
84163,-3.0,-100.0
84167,-3.0,-100.0
84173,-4.0,-100.0
84195,-4.0,-100.0
84208,-5.0,-100.0
84212,-5.0,-100.0
84215,-6.0,-100.0
84218,-6.0,-100.0
84231,-7.0,-100.0
84236,-7.0,-100.0
84271,-9.0,-100.0
84300,-9.0,-100.0
84309,-10.0,-100.0
84313,-10.0,-100.0
84320,-11.0,-100.0
84324,-11.0,-100.0
84336,-12.0,-100.0
84351,-12.0,-100.0
84357,-13.0,-100.0
84363,-13.0,-100.0
84372,-14.0,-100.0
84376,-14.0,-100.0
84398,-15.0,-100.0
84402,-15.0,-100.0
84410,-16.0,-100.0
84414,-16.0,-100.0
84424,-17.0,-100.0
84426,-17.0,-100.0
84434,-18.0,-100.0
84438,-18.0,-100.0
84448,-19.0,-100.0
84453,-19.0,-100.0
84472,-20.0,-100.0
84476,-20.0,-100.0
84484,-21.0,-100.0
84488,-21.0,-100.0
84503,-22.0,-100.0
84509,-22.0,-100.0
84523,-23.0,-100.0
84527,-23.0,-100.0
84536,-24.0,-100.0
84540,-24.0,-100.0
84553,-26.0,-100.0
84557,-26.0,-100.0
84571,-27.0,-100.0
84575,-27.0,-100.0
84589,-28.0,-100.0
84595,-28.0,-100.0
84606,-29.0,-100.0
84611,-29.0,-100.0
84623,-30.0,-100.0
84628,-30.0,-100.0
84641,-31.0,-100.0
84645,-31.0,-100.0
84648,-32.0,-100.0
84651,-32.0,-100.0
84666,-33.0,-100.0
84670,-33.0,-100.0
84686,-34.0,-100.0
84690,-34.0,-100.0
84700,-36.0,-100.0
84705,-36.0,-100.0
84718,-37.0,-100.0
84723,-37.0,-100.0
84735,-38.0,-100.0
