Time(sec),A4AB8514GUJS5
186.0,-31.0
187.0,-31.0
188.0,-31.0
189.0,-31.0
190.0,-31.0
191.0,-31.0
192.0,-36.127626050420176
193.0,-43.75555555555555
194.0,-48.45454545454545
195.0,-51.253125
196.0,-58.167857142857144
197.0,-69.47012032085561
198.0,-83.82071078431372
199.0,-97.63333333333333
200.0,-98.0
201.0,-98.0
202.0,-98.0
203.0,-98.0
204.0,-98.0
205.0,-98.0
206.0,-98.0
207.0,-98.0
208.0,-98.0
209.0,-98.0
210.0,-98.0
211.0,-98.0
212.0,-98.0
213.0,-98.0
214.0,-98.0
215.0,-98.0
216.0,-98.0
217.0,-98.0
218.0,-98.0
219.0,-98.0
220.0,-98.0
221.0,-98.0
222.0,-98.0
223.0,-98.0
224.0,-98.0
225.0,-98.0
226.0,-98.0
227.0,-98.0
228.0,-98.0
229.0,-98.0
230.0,-98.0
231.0,-98.0
232.0,-98.0
233.0,-98.0
234.0,-98.0
235.0,-98.0
236.0,-98.0
237.0,-98.0
238.0,-98.0
239.0,-98.0
240.0,-98.0
241.0,-98.0
242.0,-98.0
243.0,-98.0
244.0,-98.0
245.0,-98.0
246.0,-98.0
247.0,-98.0
248.0,-98.0
249.0,-98.0
250.0,-98.0
251.0,-98.0
252.0,-98.0
253.0,-98.0
254.0,-98.0
255.0,-98.0
256.0,-98.0
257.0,-98.0
258.0,-98.0
259.0,-98.0
260.0,-98.0
261.0,-98.0
262.0,-98.0
263.0,-98.0
264.0,-98.0
265.0,-98.0
266.0,-98.0
267.0,-98.0
268.0,-98.0
269.0,-98.0
270.0,-98.0
271.0,-98.0
272.0,-98.0
273.0,-98.0
274.0,-98.0
275.0,-98.0
276.0,-98.0
277.0,-98.0
278.0,-98.0
279.0,-98.0
280.0,-98.0
281.0,-98.0
282.0,-98.0
283.0,-98.0
284.0,-98.0
285.0,-98.0
286.0,-98.0
287.0,-98.0
288.0,-98.0
289.0,-98.0
290.0,-98.0
291.0,-98.0
292.0,-98.0
293.0,-98.0
294.0,-98.0
295.0,-98.0
296.0,-98.0
297.0,-98.0
298.0,-98.0
299.0,-98.0
300.0,-98.0
301.0,-98.0
302.0,-98.0
303.0,-98.0
304.0,-98.0
305.0,-98.0
306.0,-98.0
307.0,-98.0
308.0,-98.0
309.0,-98.0
310.0,-98.0
311.0,-98.0
312.0,-98.0
313.0,-98.0
314.0,-98.0
315.0,-98.0
316.0,-98.0
317.0,-98.0
318.0,-98.0
319.0,-98.0
320.0,-98.0
321.0,-98.0
322.0,-98.0
323.0,-98.0
324.0,-98.0
325.0,-98.0
326.0,-98.0
327.0,-98.0
328.0,-98.0
329.0,-98.0
330.0,-98.0
331.0,-98.0
332.0,-98.0
333.0,-98.0
334.0,-98.0
335.0,-98.0
336.0,-98.0
337.0,-98.0
338.0,-98.0
339.0,-98.0
340.0,-98.0
341.0,-98.0
342.0,-98.0
343.0,-98.0
344.0,-98.0
345.0,-98.0
346.0,-98.0
347.0,-98.0
348.0,-98.0
349.0,-98.0
350.0,-98.0
351.0,-98.0
352.0,-98.0
353.0,-98.0
354.0,-98.0
355.0,-98.0
356.0,-98.0
357.0,-98.0
358.0,-98.0
359.0,-98.0
360.0,-98.0
361.0,-98.0
362.0,-98.0
363.0,-98.0
364.0,-98.0
365.0,-98.0
366.0,-98.0
367.0,-98.0
368.0,-98.0
369.0,-98.0
370.0,-98.0
371.0,-98.0
372.0,-98.0
373.0,-98.0
374.0,-98.0
375.0,-98.0
376.0,-98.0
377.0,-98.0
378.0,-98.0
379.0,-98.0
380.0,-98.0
381.0,-98.0
382.0,-98.0
383.0,-98.0
384.0,-98.0
385.0,-98.0
386.0,-98.0
387.0,-98.0
388.0,-98.0
389.0,-98.0
390.0,-98.0
391.0,-98.0
392.0,-98.0
393.0,-98.0
394.0,-98.0
395.0,-98.0
396.0,-98.0
397.0,-98.0
398.0,-98.0
399.0,-98.0
400.0,-98.0
401.0,-98.0
402.0,-98.0
403.0,-98.0
404.0,-98.0
405.0,-98.0
406.0,-98.0
407.0,-98.0
408.0,-98.0
409.0,-98.0
410.0,-98.0
411.0,-98.0
412.0,-98.0
413.0,-98.0
414.0,-98.0
415.0,-98.0
416.0,-98.0
417.0,-98.0
418.0,-98.0
419.0,-98.0
420.0,-98.0
421.0,-98.0
422.0,-98.0
423.0,-98.0
424.0,-98.0
425.0,-98.0
426.0,-98.0
427.0,-98.0
428.0,-98.0
429.0,-98.0
430.0,-98.0
431.0,-98.0
432.0,-98.0
433.0,-98.0
434.0,-98.0
435.0,-98.0
436.0,-98.0
437.0,-98.0
438.0,-98.0
439.0,-98.0
440.0,-98.0
441.0,-98.0
442.0,-98.0
443.0,-98.0
444.0,-98.0
445.0,-98.0
446.0,-98.0
447.0,-98.0
448.0,-98.0
449.0,-98.0
450.0,-98.0
451.0,-98.0
452.0,-98.0
453.0,-98.0
454.0,-98.0
455.0,-98.0
456.0,-98.0
457.0,-98.0
458.0,-98.0
459.0,-98.0
460.0,-98.0
461.0,-98.0
462.0,-98.0
463.0,-98.0
464.0,-98.0
465.0,-98.0
466.0,-98.0
467.0,-98.0
468.0,-98.0
469.0,-98.0
470.0,-98.0
471.0,-98.0
472.0,-98.0
473.0,-98.0
474.0,-98.0
475.0,-98.0
476.0,-98.0
477.0,-98.0
478.0,-98.0
479.0,-98.0
480.0,-98.0
481.0,-98.0
482.0,-98.0
483.0,-98.0
484.0,-98.0
485.0,-98.0
486.0,-98.0
487.0,-98.0
488.0,-98.0
489.0,-98.0
490.0,-98.0
491.0,-98.0
492.0,-98.0
493.0,-98.0
494.0,-98.0
495.0,-98.0
496.0,-98.0
497.0,-98.0
498.0,-98.0
499.0,-98.0
500.0,-98.0
501.0,-98.0
502.0,-98.0
503.0,-98.0
504.0,-98.0
505.0,-98.0
506.0,-98.0
507.0,-98.0
508.0,-98.0
509.0,-98.0
510.0,-98.0
511.0,-98.0
512.0,-98.0
513.0,-98.0
514.0,-98.0
515.0,-98.0
516.0,-98.0
517.0,-98.0
518.0,-98.0
519.0,-98.0
520.0,-98.0
521.0,-98.0
522.0,-98.0
523.0,-98.0
524.0,-98.0
525.0,-98.0
526.0,-98.0
527.0,-98.0
528.0,-98.0
529.0,-98.0
530.0,-98.0
531.0,-98.0
532.0,-98.0
533.0,-98.0
534.0,-98.0
535.0,-98.0
536.0,-98.0
537.0,-98.0
538.0,-98.0
539.0,-98.0
540.0,-98.0
541.0,-98.0
542.0,-98.0
543.0,-98.0
544.0,-98.0
545.0,-98.0
546.0,-98.0
547.0,-98.0
548.0,-98.0
549.0,-98.0
550.0,-98.0
551.0,-98.0
552.0,-98.0
553.0,-98.0
554.0,-98.0
555.0,-98.0
556.0,-98.0
557.0,-98.0
558.0,-98.0
559.0,-98.0
560.0,-98.0
561.0,-98.0
562.0,-98.0
563.0,-98.0
564.0,-98.0
565.0,-98.0
566.0,-98.0
567.0,-98.0
568.0,-98.0
569.0,-98.0
570.0,-98.0
571.0,-98.0
572.0,-98.0
573.0,-98.0
574.0,-98.0
575.0,-98.0
576.0,-98.0
577.0,-98.0
578.0,-98.0
579.0,-98.0
580.0,-98.0
581.0,-98.0
582.0,-98.0
583.0,-98.0
584.0,-98.0
585.0,-98.0
586.0,-98.0
587.0,-98.0
588.0,-98.0
589.0,-98.0
590.0,-98.0
591.0,-98.0
592.0,-98.0
593.0,-98.0
594.0,-98.0
595.0,-98.0
596.0,-98.0
597.0,-98.0
598.0,-98.0
599.0,-98.0
600.0,-98.0
601.0,-98.0
602.0,-98.0
603.0,-98.0
604.0,-98.0
605.0,-98.0
606.0,-98.0
607.0,-98.0
608.0,-98.0
609.0,-98.0
610.0,-98.0
611.0,-98.0
612.0,-98.0
613.0,-98.0
614.0,-98.0
615.0,-98.0
616.0,-98.0
617.0,-98.0
618.0,-98.0
619.0,-98.0
620.0,-98.0
621.0,-98.0
622.0,-98.0
623.0,-98.0
624.0,-98.0
625.0,-98.0
626.0,-98.0
627.0,-98.0
628.0,-98.0
629.0,-98.0
630.0,-98.0
631.0,-98.0
632.0,-98.0
633.0,-98.0
634.0,-98.0
635.0,-98.0
636.0,-98.0
637.0,-98.0
638.0,-98.0
639.0,-98.0
640.0,-98.0
641.0,-98.0
642.0,-98.0
643.0,-98.0
644.0,-98.0
645.0,-98.0
646.0,-98.0
647.0,-98.0
648.0,-98.0
649.0,-98.0
650.0,-98.0
651.0,-98.0
652.0,-98.0
653.0,-98.0
654.0,-98.0
655.0,-98.0
656.0,-98.0
657.0,-98.0
658.0,-98.0
659.0,-98.0
660.0,-98.0
661.0,-98.0
662.0,-98.0
663.0,-98.0
664.0,-98.0
665.0,-98.0
666.0,-98.0
667.0,-98.0
668.0,-98.0
669.0,-98.0
670.0,-98.0
671.0,-98.0
672.0,-98.0
673.0,-98.0
674.0,-98.0
675.0,-98.0
676.0,-98.0
677.0,-98.0
678.0,-98.0
679.0,-98.0
680.0,-98.0
681.0,-98.0
682.0,-98.0
683.0,-98.0
684.0,-98.0
685.0,-98.0
686.0,-98.0
687.0,-98.0
688.0,-98.0
689.0,-98.0
690.0,-98.0
691.0,-98.0
692.0,-98.0
693.0,-98.0
694.0,-98.0
695.0,-98.0
696.0,-98.0
697.0,-98.0
698.0,-98.0
699.0,-98.0
700.0,-98.0
701.0,-98.0
702.0,-98.0
703.0,-98.0
704.0,-98.0
705.0,-98.0
706.0,-98.0
