,AYYSG3O9FNU15,AOEGJLWFISOZQ,AU2980AA60A2C,A93LDI16XJWI8
15865,,-100.0,-98.0,-100.0
15879,,-100.0,-98.0,-100.0
15895,,-100.0,-98.0,-100.0
15908,,-100.0,-98.0,-100.0
15925,,-100.0,-98.0,-100.0
16054,,-100.0,-98.0,-100.0
16073,,-100.0,-98.0,-100.0
16087,,-100.0,-98.0,-100.0
16105,,-100.0,-98.0,-100.0
16120,,-100.0,-98.0,-100.0
16139,,-100.0,-98.0,-100.0
16154,,-100.0,-98.0,-100.0
16172,,-100.0,-98.0,-100.0
16189,,-100.0,-98.0,-100.0
16205,,-100.0,-98.0,-100.0
16222,,-100.0,-98.0,-100.0
16238,,-100.0,-98.0,-100.0
16254,,-100.0,-98.0,-100.0
16271,,-100.0,-98.0,-100.0
16288,,-100.0,-98.0,-100.0
16304,,-100.0,-98.0,-100.0
16321,,-100.0,-98.0,-100.0
16337,,-100.0,-98.0,-100.0
16354,,-100.0,-98.0,-100.0
16370,,-100.0,-98.0,-100.0
16388,,-100.0,-98.0,-100.0
16404,,-100.0,-98.0,-100.0
16421,,-100.0,-98.0,-100.0
16438,,-100.0,-98.0,-100.0
16455,,-100.0,-98.0,-100.0
16470,,-100.0,-98.0,-100.0
16488,,-100.0,-98.0,-100.0
16505,,-100.0,-98.0,-100.0
16521,,-100.0,-98.0,-100.0
16538,,-100.0,-98.0,-100.0
16554,,-100.0,-98.0,-100.0
16572,,-100.0,-98.0,-100.0
16587,,-100.0,-98.0,-100.0
16605,,-100.0,-98.0,-100.0
16621,,-100.0,-98.0,-100.0
16637,,-100.0,-98.0,-100.0
16654,,-100.0,-98.0,-100.0
16671,,-100.0,-98.0,-100.0
16688,,-100.0,-98.0,-100.0
16705,,-100.0,-98.0,-100.0
16721,,-100.0,-98.0,-100.0
16738,,-100.0,-98.0,-100.0
16754,,-100.0,-98.0,-100.0
16770,,-100.0,-98.0,-100.0
16787,,-100.0,-98.0,-100.0
16803,,-100.0,-98.0,-100.0
16905,,-100.0,-98.0,-100.0
16922,,-100.0,-99.0,-100.0
16971,,-100.0,-100.0,-100.0
57737,,-100.0,-100.0,-100.0
57752,,-100.0,-100.0,-100.0
57807,,-100.0,-100.0,-100.0
57818,,-100.0,-100.0,-100.0
72372,,-100.0,-100.0,-100.0
72389,,-100.0,-100.0,-100.0
72405,,-100.0,-100.0,-100.0
72421,,-100.0,-100.0,-100.0
72439,,-100.0,-100.0,-100.0
72456,,-100.0,-100.0,-100.0
72473,,-100.0,-100.0,-100.0
72489,,-100.0,-100.0,-100.0
72505,,-100.0,-100.0,-100.0
72522,,-100.0,-100.0,-100.0
72539,,-100.0,-100.0,-100.0
72688,,-100.0,-100.0,-100.0
72706,,-100.0,-100.0,-100.0
72721,,-100.0,-100.0,-100.0
72738,,-100.0,-100.0,-100.0
72756,,-100.0,-100.0,-100.0
72773,,-100.0,-100.0,-100.0
72788,,-100.0,-100.0,-100.0
72805,,-100.0,-100.0,-100.0
72822,,-100.0,-100.0,-100.0
72837,,-100.0,-100.0,-100.0
72856,,-100.0,-100.0,-100.0
72872,,-100.0,-100.0,-100.0
72888,,-100.0,-100.0,-100.0
72910,,-100.0,-100.0,-100.0
72922,,-100.0,-100.0,-100.0
72938,,-100.0,-100.0,-100.0
72956,,-100.0,-100.0,-100.0
72973,,-100.0,-100.0,-100.0
72989,,-100.0,-100.0,-100.0
73006,,-100.0,-100.0,-100.0
73023,,-100.0,-100.0,-100.0
73038,,-100.0,-100.0,-100.0
73055,,-100.0,-100.0,-100.0
73071,,-100.0,-100.0,-100.0
73088,,-100.0,-100.0,-100.0
73105,,-100.0,-100.0,-100.0
73117,,-100.0,-100.0,-100.0
73122,,-100.0,-100.0,-100.0
73139,,-100.0,-100.0,-100.0
73151,,-100.0,-100.0,-100.0
73155,,-100.0,-100.0,-100.0
73172,,-100.0,-100.0,-100.0
73189,,-100.0,-100.0,-100.0
73200,,-100.0,-100.0,-100.0
73205,,-100.0,-100.0,-100.0
73222,,-100.0,-100.0,-100.0
73238,,-100.0,-100.0,-100.0
73251,,-100.0,-100.0,-100.0
73255,,-100.0,-100.0,-100.0
73272,,-100.0,-100.0,-100.0
73288,,-100.0,-100.0,-100.0
73299,,-100.0,-100.0,-100.0
73305,,-100.0,-100.0,-100.0
73321,,-100.0,-100.0,-100.0
73332,,-100.0,-100.0,-100.0
73339,,-100.0,-100.0,-100.0
73365,,-100.0,-100.0,-100.0
73399,,-100.0,-100.0,-100.0
73415,,-100.0,-100.0,-100.0
73449,,-100.0,-100.0,-100.0
73466,,-100.0,-100.0,-100.0
73482,,-100.0,-100.0,-100.0
73500,,-100.0,-100.0,-100.0
73516,,-100.0,-100.0,-100.0
73536,,-100.0,-100.0,-100.0
73549,,-100.0,-100.0,-100.0
73575,,-100.0,-100.0,-100.0
73590,,-100.0,-100.0,-100.0
73610,,-100.0,-100.0,-100.0
73627,,-100.0,-100.0,-100.0
73647,,-100.0,-100.0,-100.0
73661,,-100.0,-100.0,-100.0
73681,,-100.0,-100.0,-100.0
73706,,-100.0,-100.0,-100.0
73724,,-100.0,-100.0,-100.0
73742,,-100.0,-100.0,-100.0
73758,,-100.0,-100.0,-100.0
73783,,-100.0,-100.0,-100.0
73803,,-100.0,-100.0,-100.0
73824,,-100.0,-100.0,-100.0
73836,,-100.0,-100.0,-100.0
74404,,-100.0,-100.0,-100.0
74423,,-100.0,-100.0,-100.0
74439,,-100.0,-100.0,-100.0
74456,,-100.0,-100.0,-100.0
74472,,-100.0,-100.0,-100.0
74489,,-100.0,-100.0,-100.0
74505,,-100.0,-100.0,-100.0
74522,,-100.0,-100.0,-100.0
74539,,-100.0,-100.0,-100.0
74555,,-100.0,-100.0,-100.0
74573,,-100.0,-100.0,-100.0
74589,,-100.0,-100.0,-100.0
74607,,-100.0,-100.0,-100.0
74621,,-100.0,-100.0,-100.0
74639,,-100.0,-100.0,-100.0
74655,,-100.0,-100.0,-100.0
74672,,-100.0,-100.0,-100.0
74688,,-100.0,-100.0,-100.0
74705,,-100.0,-100.0,-100.0
75172,,-100.0,-100.0,-100.0
75189,,-100.0,-100.0,-100.0
75205,,-100.0,-100.0,-100.0
75207,,-100.0,-100.0,-100.0
75222,,-100.0,-100.0,-100.0
75237,,-100.0,-100.0,-100.0
75256,,-100.0,-100.0,-100.0
75271,,-100.0,-100.0,-100.0
75272,,-100.0,-100.0,-100.0
75289,,-100.0,-100.0,-100.0
75290,,-100.0,-100.0,-100.0
75305,,-100.0,-100.0,-100.0
75307,,-100.0,-100.0,-100.0
75321,,-100.0,-100.0,-100.0
75340,,-100.0,-100.0,-100.0
75505,,-100.0,-100.0,-100.0
75522,,-100.0,-100.0,-100.0
75539,,-100.0,-100.0,-100.0
75555,,-100.0,-100.0,-100.0
75572,,-100.0,-100.0,-100.0
75588,,-100.0,-100.0,-100.0
75605,,-100.0,-100.0,-100.0
75623,,-100.0,-100.0,-100.0
75639,,-100.0,-100.0,-100.0
75656,,-100.0,-100.0,-100.0
75672,,-100.0,-100.0,-100.0
75689,,-100.0,-100.0,-100.0
75705,,-100.0,-100.0,-100.0
75722,,-100.0,-100.0,-100.0
75738,,-100.0,-100.0,-100.0
75755,,-100.0,-100.0,-100.0
75771,,-100.0,-100.0,-100.0
75788,,-100.0,-100.0,-100.0
75804,,-100.0,-100.0,-100.0
75889,,-100.0,-100.0,-100.0
75917,,-100.0,-100.0,-100.0
75951,,-100.0,-100.0,-100.0
75956,,-100.0,-100.0,-100.0
75971,,-100.0,-100.0,-100.0
75974,,-100.0,-100.0,-100.0
75989,,-100.0,-100.0,-100.0
76006,,-100.0,-100.0,-100.0
76023,,-100.0,-100.0,-100.0
76039,,-100.0,-100.0,-100.0
76056,,-100.0,-100.0,-100.0
76072,,-100.0,-100.0,-100.0
76089,,-100.0,-100.0,-100.0
76218,,-100.0,-100.0,-100.0
76241,,-100.0,-100.0,-100.0
76280,,-100.0,-100.0,-100.0
76297,,-100.0,-100.0,-100.0
76997,,-100.0,-100.0,-100.0
77019,,-100.0,-100.0,-100.0
77058,,-100.0,-100.0,-100.0
77070,,-100.0,-100.0,-100.0
77530,,-100.0,-100.0,-100.0
77555,,-100.0,-100.0,-100.0
77589,,-100.0,-100.0,-100.0
77601,,-100.0,-100.0,-100.0
78405,,-100.0,-100.0,-100.0
78422,,-100.0,-100.0,-100.0
78438,,-100.0,-100.0,-100.0
78455,,-100.0,-100.0,-100.0
78472,,-100.0,-100.0,-100.0
78488,,-100.0,-100.0,-100.0
78506,,-100.0,-100.0,-100.0
78921,,-100.0,-100.0,-100.0
78940,,-100.0,-100.0,-100.0
78955,,-100.0,-100.0,-100.0
78972,,-100.0,-100.0,-100.0
78990,,-100.0,-100.0,-100.0
79006,,-100.0,-100.0,-100.0
79021,,-100.0,-100.0,-100.0
82860,,-100.0,-100.0,-100.0
82880,,-100.0,-100.0,-100.0
82920,,-100.0,-100.0,-100.0
82937,,-100.0,-100.0,-100.0
82978,,-100.0,-100.0,-100.0
83002,,-100.0,-100.0,-100.0
89038,,-100.0,-100.0,-100.0
89055,,-100.0,-100.0,-100.0
89073,,-100.0,-100.0,-100.0
89089,,-100.0,-100.0,-100.0
89105,,-100.0,-100.0,-100.0
89123,,-100.0,-100.0,-100.0
89139,,-100.0,-100.0,-100.0
89155,,-100.0,-100.0,-100.0
89172,,-100.0,-100.0,-100.0
89188,,-100.0,-100.0,-100.0
89205,,-100.0,-100.0,-100.0
89223,,-100.0,-100.0,-100.0
89239,,-100.0,-100.0,-100.0
89255,,-100.0,-100.0,-100.0
89273,,-100.0,-100.0,-100.0
89290,,-100.0,-100.0,-100.0
89305,,-100.0,-100.0,-100.0
89322,,-100.0,-100.0,-100.0
89338,,-100.0,-100.0,-100.0
89355,,-100.0,-100.0,-100.0
89371,,-100.0,-100.0,-100.0
89390,,-100.0,-100.0,-100.0
89404,,-100.0,-100.0,-100.0
89422,,-100.0,-100.0,-100.0
89438,,-100.0,-100.0,-100.0
89456,,-100.0,-100.0,-100.0
89472,,-100.0,-100.0,-100.0
89488,,-100.0,-100.0,-100.0
89506,,-100.0,-100.0,-100.0
89521,,-100.0,-100.0,-100.0
89539,,-100.0,-100.0,-100.0
89553,,-100.0,-100.0,-100.0
89554,,-100.0,-100.0,-100.0
89572,,-100.0,-100.0,-100.0
89578,,-100.0,-100.0,-100.0
89588,,-100.0,-100.0,-100.0
89605,,-100.0,-100.0,-100.0
89618,,-100.0,-100.0,-100.0
89622,,-100.0,-100.0,-100.0
89637,,-100.0,-100.0,-100.0
89638,,-100.0,-100.0,-100.0
89655,,-100.0,-100.0,-100.0
89671,,-100.0,-100.0,-100.0
89686,,-100.0,-100.0,-100.0
89688,,-100.0,-100.0,-100.0
89706,,-100.0,-100.0,-100.0
89721,,-100.0,-100.0,-100.0
89738,,-100.0,-100.0,-100.0
89754,,-100.0,-100.0,-100.0
89773,,-100.0,-100.0,-100.0
89782,,-100.0,-100.0,-100.0
89788,,-100.0,-100.0,-100.0
89805,,-100.0,-100.0,-100.0
89814,,-100.0,-100.0,-100.0
89822,,-100.0,-100.0,-100.0
89840,,-100.0,-100.0,-100.0
89855,,-100.0,-100.0,-100.0
89866,,-100.0,-100.0,-100.0
89872,,-100.0,-100.0,-100.0
89884,,-100.0,-100.0,-100.0
89888,,-100.0,-100.0,-100.0
89905,,-100.0,-100.0,-100.0
89922,,-100.0,-100.0,-100.0
89938,,-100.0,-100.0,-100.0
89946,,-100.0,-100.0,-100.0
89947,-99.0,-100.0,-100.0,-100.0
89955,-98.66666666666667,-100.0,-100.0,-100.0
89972,-98.33333333333333,-100.0,-100.0,-100.0
89988,-98.0,-100.0,-100.0,-100.0
89989,-97.4,-100.0,-100.0,-100.0
90004,-96.8,-100.0,-100.0,-100.0
90005,-96.2,-100.0,-100.0,-100.0
90021,-95.6,-100.0,-100.0,-100.0
90029,-95.0,-100.0,-100.0,-100.0
90031,-94.97435897435898,-100.0,-100.0,-100.0
90038,-94.94871794871794,-100.0,-100.0,-100.0
90056,-94.92307692307692,-100.0,-100.0,-100.0
90068,-94.8974358974359,-100.0,-100.0,-100.0
90071,-94.87179487179488,-100.0,-100.0,-100.0
90087,-94.84615384615384,-100.0,-100.0,-100.0
90155,-94.82051282051282,-100.0,-100.0,-100.0
90170,-94.7948717948718,-100.0,-100.0,-100.0
90173,-94.76923076923077,-100.0,-100.0,-100.0
90188,-94.74358974358974,-100.0,-100.0,-100.0
90193,-94.71794871794872,-100.0,-100.0,-100.0
90206,-94.6923076923077,-100.0,-100.0,-100.0
90222,-94.66666666666667,-100.0,-100.0,-100.0
90238,-94.64102564102564,-100.0,-100.0,-100.0
90255,-94.61538461538461,-100.0,-100.0,-100.0
90271,-94.58974358974359,-100.0,-100.0,-100.0
90289,-94.56410256410257,-100.0,-100.0,-100.0
90296,-94.53846153846153,-100.0,-100.0,-100.0
90305,-94.51282051282051,-100.0,-100.0,-100.0
90317,-94.48717948717949,-100.0,-100.0,-100.0
90321,-94.46153846153847,-100.0,-100.0,-100.0
90338,-94.43589743589743,-100.0,-100.0,-100.0
90355,-94.41025641025641,-100.0,-100.0,-100.0
90362,-94.38461538461539,-100.0,-100.0,-100.0
90372,-94.35897435897436,-100.0,-100.0,-100.0
90388,-94.33333333333333,-100.0,-100.0,-100.0
90390,-94.3076923076923,-100.0,-100.0,-100.0
90405,-94.28205128205128,-100.0,-100.0,-100.0
90422,-94.25641025641026,-100.0,-100.0,-100.0
90439,-94.23076923076923,-100.0,-100.0,-100.0
90456,-94.2051282051282,-100.0,-100.0,-100.0
90462,-94.17948717948718,-100.0,-100.0,-100.0
90473,-94.15384615384616,-100.0,-100.0,-100.0
90489,-94.12820512820512,-100.0,-100.0,-100.0
90506,-94.1025641025641,-100.0,-100.0,-100.0
90523,-94.07692307692308,-100.0,-100.0,-100.0
90531,-94.05128205128206,-100.0,-100.0,-100.0
90540,-94.02564102564102,-100.0,-100.0,-100.0
90556,-94.0,-100.0,-100.0,-100.0
90571,-93.66666666666667,-100.0,-100.0,-100.0
90589,-93.33333333333333,-100.0,-100.0,-100.0
90597,-93.0,-100.0,-100.0,-100.0
90606,-92.33333333333333,-100.0,-100.0,-100.0
90622,-91.66666666666667,-100.0,-100.0,-100.0
90638,-91.0,-100.0,-100.0,-100.0
90639,-91.0,-100.0,-100.0,-100.0
90656,-91.0,-100.0,-100.0,-100.0
90673,-91.0,-100.0,-100.0,-100.0
90688,-91.0,-100.0,-100.0,-100.0
90705,-91.0,-100.0,-100.0,-100.0
90722,-91.0,-100.0,-100.0,-100.0
90739,-91.0,-100.0,-100.0,-100.0
90756,-91.0,-100.0,-100.0,-100.0
90772,-91.0,-100.0,-100.0,-100.0
90789,-91.0,-100.0,-100.0,-100.0
90805,-91.0,-100.0,-100.0,-100.0
90822,-91.0,-100.0,-100.0,-100.0
90838,-91.0,-100.0,-100.0,-100.0
90856,-91.0,-100.0,-100.0,-100.0
90872,-91.0,-100.0,-100.0,-100.0
90890,-91.0,-100.0,-100.0,-100.0
90906,-91.0,-100.0,-100.0,-100.0
90921,-91.0,-100.0,-100.0,-100.0
90938,-91.0,-100.0,-100.0,-100.0
90957,-91.0,-100.0,-100.0,-100.0
90973,-91.0,-100.0,-100.0,-100.0
90989,-91.0,-100.0,-100.0,-100.0
91006,-91.0,-100.0,-100.0,-100.0
91022,-91.0,-100.0,-100.0,-100.0
91038,-91.0,-100.0,-100.0,-100.0
91054,-91.0,-100.0,-100.0,-100.0
91072,-91.0,-100.0,-100.0,-100.0
91088,-91.0,-100.0,-100.0,-100.0
91105,-91.0,-100.0,-100.0,-100.0
91121,-91.0,-100.0,-100.0,-100.0
91139,-91.0,-100.0,-100.0,-100.0
91155,-91.0,-100.0,-100.0,-100.0
91171,-91.0,-100.0,-100.0,-100.0
91172,-91.0,-100.0,-100.0,-100.0
91188,-91.0,-100.0,-100.0,-100.0
91203,-91.0,-100.0,-100.0,-100.0
91205,-91.0,-100.0,-100.0,-100.0
91222,-91.0,-100.0,-100.0,-100.0
91262,-91.0,-100.0,-100.0,-100.0
91279,-91.0,-100.0,-100.0,-100.0
91372,-91.0,-100.0,-100.0,-100.0
91389,-91.0,-100.0,-100.0,-100.0
91405,-91.0,-100.0,-100.0,-100.0
91422,-91.0,-100.0,-100.0,-100.0
91439,-91.0,-100.0,-100.0,-100.0
91455,-91.0,-100.0,-100.0,-100.0
91472,-91.0,-100.0,-100.0,-100.0
91488,-91.0,-100.0,-100.0,-100.0
91505,-91.0,-100.0,-100.0,-100.0
91522,-91.0,-100.0,-100.0,-100.0
91538,-91.0,-100.0,-100.0,-100.0
91555,-91.0,-100.0,-100.0,-100.0
91572,-91.0,-100.0,-100.0,-100.0
91588,-91.0,-100.0,-100.0,-100.0
91605,-91.0,-100.0,-100.0,-100.0
91622,-91.0,-100.0,-100.0,-100.0
91638,-91.0,-100.0,-100.0,-100.0
91639,-91.0,-100.0,-100.0,-100.0
91656,-91.0,-100.0,-100.0,-100.0
91673,-91.0,-100.0,-100.0,-100.0
91688,-91.0,-100.0,-100.0,-100.0
91705,-91.0,-100.0,-100.0,-100.0
91723,-91.0,-100.0,-100.0,-100.0
91739,-91.0,-100.0,-100.0,-100.0
91756,-91.0,-100.0,-100.0,-100.0
91771,-91.0,-100.0,-100.0,-100.0
91789,-91.0,-100.0,-100.0,-100.0
92139,-91.0,-100.0,-100.0,-100.0
92156,-91.0,-100.0,-100.0,-100.0
92173,-91.0,-100.0,-100.0,-100.0
92188,-91.0,-100.0,-100.0,-100.0
92206,-91.0,-100.0,-100.0,-100.0
92221,-91.0,-100.0,-100.0,-100.0
92238,-91.0,-100.0,-100.0,-100.0
92257,-91.0,-100.0,-100.0,-100.0
92272,-91.0,-100.0,-100.0,-100.0
92290,-91.0,-100.0,-100.0,-100.0
92306,-91.0,-100.0,-100.0,-100.0
92439,-91.0,-100.0,-100.0,-100.0
92455,-91.0,-100.0,-100.0,-100.0
92472,-91.0,-100.0,-100.0,-100.0
92489,-91.0,-100.0,-100.0,-100.0
92507,-91.0,-100.0,-100.0,-100.0
92522,-91.0,-100.0,-100.0,-100.0
92539,-91.0,-100.0,-100.0,-100.0
92555,-91.0,-100.0,-100.0,-100.0
92572,-91.0,-100.0,-100.0,-100.0
92590,-91.0,-100.0,-100.0,-100.0
92605,-91.0,-100.0,-100.0,-100.0
92622,-91.0,-100.0,-100.0,-100.0
92639,-91.0,-100.0,-100.0,-100.0
92656,-91.0,-100.0,-100.0,-100.0
92672,-91.0,-100.0,-100.0,-100.0
92688,-91.0,-100.0,-100.0,-100.0
92705,-91.0,-100.0,-100.0,-100.0
92723,-91.0,-100.0,-100.0,-100.0
92739,-91.0,-100.0,-100.0,-100.0
92755,-91.0,-100.0,-100.0,-100.0
92771,-91.0,-100.0,-100.0,-100.0
92789,-91.0,-100.0,-100.0,-100.0
92805,-91.0,-100.0,-100.0,-100.0
92823,-91.0,-100.0,-100.0,-100.0
92838,-91.0,-100.0,-100.0,-100.0
92856,-91.0,-100.0,-100.0,-100.0
92873,-91.0,-100.0,-100.0,-100.0
92888,-91.0,-100.0,-100.0,-100.0
92905,-91.0,-100.0,-100.0,-100.0
92922,-91.0,-100.0,-100.0,-100.0
92939,-91.0,-100.0,-100.0,-100.0
92955,-91.0,-100.0,-100.0,-100.0
92972,-91.0,-100.0,-100.0,-100.0
92988,-91.0,-100.0,-100.0,-100.0
93005,-91.0,-100.0,-100.0,-100.0
93022,-91.0,-100.0,-100.0,-100.0
93039,-91.0,-100.0,-100.0,-100.0
93055,-91.0,-100.0,-100.0,-100.0
93072,-91.0,-100.0,-100.0,-100.0
93090,-91.0,-100.0,-100.0,-100.0
93106,-91.0,-100.0,-100.0,-100.0
93122,-91.0,-100.0,-100.0,-100.0
93139,-91.0,-100.0,-100.0,-100.0
93155,-91.0,-100.0,-100.0,-100.0
93172,-91.0,-100.0,-100.0,-100.0
93189,-91.0,-100.0,-100.0,-100.0
93205,-91.0,-100.0,-100.0,-100.0
93221,-91.0,-100.0,-100.0,-100.0
93239,-91.0,-100.0,-100.0,-100.0
93255,-91.0,-100.0,-100.0,-100.0
93272,-91.0,-100.0,-100.0,-100.0
93288,-91.0,-100.0,-100.0,-100.0
93306,-91.0,-100.0,-100.0,-100.0
93322,-91.0,-100.0,-100.0,-100.0
93339,-91.0,-100.0,-100.0,-100.0
93355,-91.0,-100.0,-100.0,-100.0
93371,-91.0,-100.0,-100.0,-100.0
93388,-91.0,-100.0,-100.0,-100.0
93405,-91.0,-100.0,-100.0,-100.0
93423,-91.0,-100.0,-100.0,-100.0
93439,-91.0,-100.0,-100.0,-100.0
93455,-91.0,-100.0,-100.0,-100.0
93472,-91.0,-100.0,-100.0,-100.0
93489,-91.0,-100.0,-100.0,-100.0
93505,-91.0,-100.0,-100.0,-100.0
93522,-91.0,-100.0,-100.0,-100.0
93539,-91.0,-100.0,-100.0,-100.0
93555,-91.0,-100.0,-100.0,-100.0
93571,-91.0,-100.0,-100.0,-100.0
93589,-91.0,-100.0,-100.0,-100.0
93605,-91.0,-100.0,-100.0,-100.0
93623,-91.0,-100.0,-100.0,-100.0
93638,-91.0,-100.0,-100.0,-100.0
93655,-91.0,-100.0,-100.0,-100.0
93673,-91.0,-100.0,-100.0,-100.0
93689,-91.0,-100.0,-100.0,-100.0
93706,-91.0,-100.0,-100.0,-100.0
93722,-91.0,-100.0,-100.0,-100.0
93738,-91.0,-100.0,-100.0,-100.0
93755,-91.0,-100.0,-100.0,-100.0
93772,-91.0,-100.0,-100.0,-100.0
93788,-91.0,-100.0,-100.0,-100.0
93805,-91.0,-100.0,-100.0,-100.0
93822,-91.0,-100.0,-100.0,-100.0
93839,-91.0,-100.0,-100.0,-100.0
93855,-91.0,-100.0,-100.0,-100.0
93873,-91.0,-100.0,-100.0,-100.0
93888,-91.0,-100.0,-100.0,-100.0
93905,-91.0,-100.0,-100.0,-100.0
93923,-91.0,-100.0,-100.0,-100.0
93939,-91.0,-100.0,-100.0,-100.0
93956,-91.0,-100.0,-100.0,-100.0
93971,-91.0,-100.0,-100.0,-100.0
93988,-91.0,-100.0,-100.0,-100.0
94005,-91.0,-100.0,-100.0,-100.0
94022,-91.0,-100.0,-100.0,-100.0
94039,-91.0,-100.0,-100.0,-100.0
94052,-91.0,-100.0,-100.0,-100.0
94054,-91.25,-100.0,-100.0,-100.0
94072,-91.5,-100.0,-100.0,-100.0
