Time(sec),ASEW6NZHLI41K
176.0,-100.0
177.0,-100.0
178.0,-100.0
179.0,-100.0
180.0,-100.0
181.0,-100.0
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-100.0
337.0,-100.0
338.0,-100.0
339.0,-100.0
340.0,-100.0
341.0,-100.0
342.0,-100.0
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-97.67983990147783
376.0,-87.0
377.0,-87.0
378.0,-87.0
379.0,-87.0
380.0,-87.0
381.0,-87.0
382.0,-87.0
383.0,-87.0
384.0,-87.0
385.0,-87.0
386.0,-87.0
387.0,-87.0
388.0,-87.0
389.0,-87.0
390.0,-87.0
391.0,-87.0
392.0,-87.0
393.0,-87.0
394.0,-87.0
395.0,-87.0
396.0,-87.0
397.0,-87.0
398.0,-87.0
399.0,-87.0
400.0,-87.0
401.0,-87.0
402.0,-87.0
403.0,-87.0
404.0,-93.07152777777779
405.0,-97.0
406.0,-97.0
407.0,-97.0
408.0,-97.0
409.0,-97.0
410.0,-97.0
411.0,-97.0
412.0,-97.0
413.0,-97.0
414.0,-97.0
415.0,-97.0
416.0,-97.0
417.0,-97.0
418.0,-97.0
419.0,-97.0
420.0,-97.0
421.0,-97.0
422.0,-97.0
423.0,-97.0
424.0,-97.0
425.0,-97.0
426.0,-97.0
427.0,-97.0
428.0,-97.0
429.0,-97.0
430.0,-97.0
431.0,-97.0
432.0,-97.0
433.0,-97.0
434.0,-97.0
435.0,-97.0
436.0,-97.0
437.0,-97.0
438.0,-97.0
439.0,-97.0
440.0,-97.0
441.0,-97.0
442.0,-97.0
443.0,-97.0
444.0,-97.0
445.0,-97.0
446.0,-97.0
447.0,-97.0
448.0,-97.0
449.0,-97.0
450.0,-97.0
451.0,-97.0
452.0,-97.0
453.0,-97.0
454.0,-97.0
455.0,-97.0
456.0,-97.0
457.0,-97.0
458.0,-97.0
459.0,-97.0
460.0,-97.0
461.0,-97.0
462.0,-97.0
463.0,-97.0
464.0,-97.0
465.0,-97.0
466.0,-97.0
467.0,-97.0
468.0,-97.0
469.0,-97.0
470.0,-97.0
471.0,-97.0
472.0,-97.0
473.0,-97.0
474.0,-97.0
475.0,-97.0
476.0,-97.0
477.0,-97.0
478.0,-97.0
479.0,-97.0
480.0,-97.0
481.0,-97.0
482.0,-97.0
483.0,-97.0
484.0,-97.0
485.0,-97.0
486.0,-97.0
487.0,-97.0
488.0,-97.0
489.0,-97.0
490.0,-97.0
491.0,-97.0
492.0,-97.0
493.0,-97.0
494.0,-97.0
495.0,-97.0
496.0,-97.0
497.0,-97.0
498.0,-97.0
499.0,-97.0
500.0,-97.0
501.0,-97.0
502.0,-97.0
503.0,-97.0
504.0,-97.0
505.0,-97.0
506.0,-97.0
507.0,-97.0
508.0,-97.0
509.0,-97.0
510.0,-97.0
511.0,-97.0
512.0,-97.0
513.0,-97.0
514.0,-97.0
515.0,-96.55014880952382
516.0,-90.995
517.0,-59.076393823921364
518.0,-40.272413793103446
519.0,-40.272413793103446
520.0,-40.272413793103446
521.0,-40.272413793103446
522.0,-23.52887865008555
523.0,2.6333333333333333
524.0,12.470520833333333
525.0,22.0
526.0,22.0
527.0,22.0
528.0,19.235000000000003
529.0,-7.8149999999999995
530.0,-48.76636904761905
531.0,-84.75486436679937
532.0,-88.76937799043063
533.0,-97.5659090909091
534.0,-99.25
535.0,-99.25
536.0,-99.625
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-100.0
573.0,-100.0
574.0,-100.0
575.0,-100.0
576.0,-100.0
577.0,-100.0
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
