Time(sec),A7ECZAYZXAL3W
627.0,-50.0
628.0,-50.0
629.0,-50.0
630.0,-50.0
631.0,-50.0
632.0,-50.0
633.0,-50.0
634.0,-50.0
635.0,-50.0
636.0,-50.0
637.0,-50.0
638.0,-50.0
639.0,-50.0
640.0,-50.0
641.0,-50.0
642.0,-50.0
