Time(sec),A3ST8XFT4X93K
180.0,58.671428571428564
181.0,62.98333333333335
182.0,63.761111111111106
183.0,67.42222222222222
184.0,74.4
185.0,75.0
186.0,75.0
187.0,75.0
188.0,75.0
189.0,75.0
190.0,75.0
191.0,75.0
192.0,75.0
193.0,75.0
194.0,75.0
195.0,75.0
196.0,75.0
197.0,75.0
198.0,75.0
199.0,75.0
200.0,75.0
201.0,75.0
202.0,75.0
203.0,75.0
204.0,75.0
205.0,75.06363636363636
206.0,75.2840909090909
207.0,75.51136363636365
208.0,75.73863636363636
209.0,77.26227272727273
210.0,96.36018518518517
211.0,99.46296296296296
212.0,99.58641975308642
213.0,99.70987654320989
214.0,99.83333333333334
215.0,99.95555555555555
216.0,100.0
217.0,100.0
218.0,100.0
219.0,100.0
220.0,100.0
221.0,100.0
222.0,100.0
223.0,100.0
224.0,100.0
225.0,99.6375
226.0,77.44362179487179
227.0,43.649365079365076
228.0,20.806666666666665
229.0,0.15364010989010984
230.0,-20.45661519036519
231.0,-35.522301587301584
232.0,-72.48064782439782
233.0,-55.83641414141414
234.0,-31.65920418470418
235.0,-6.12061759573117
236.0,15.774941448801744
237.0,66.9967599067599
238.0,100.0
239.0,74.41250000000001
240.0,40.64307692307692
241.0,25.199999999999996
242.0,25.199999999999996
243.0,25.199999999999996
244.0,28.307070707070704
245.0,32.62626262626262
246.0,33.9030303030303
247.0,34.0
248.0,34.0
249.0,34.0
250.0,34.0
251.0,34.0
252.0,34.0
253.0,34.0
254.0,34.0
255.0,34.0
256.0,34.0
257.0,34.0
258.0,34.0
259.0,34.0
260.0,34.0
261.0,34.0
262.0,34.0
263.0,34.0
264.0,34.0
265.0,34.0
266.0,34.0
267.0,34.0
268.0,34.0
269.0,34.0
270.0,34.0
271.0,34.0
272.0,34.0
273.0,34.0
274.0,34.0
275.0,34.0
276.0,34.0
277.0,34.0
278.0,34.0
279.0,34.0
280.0,34.0
281.0,34.0
282.0,34.0
283.0,34.0
284.0,34.0
285.0,34.0
286.0,34.0
287.0,34.0
288.0,34.0
289.0,34.0
290.0,34.0
291.0,34.0
292.0,34.0
293.0,34.0
294.0,34.0
295.0,34.0
296.0,34.0
297.0,34.0
298.0,34.0
299.0,34.0
300.0,34.0
301.0,34.0
302.0,34.0
303.0,34.0
304.0,34.0
305.0,34.0
306.0,34.0
307.0,34.0
308.0,34.0
309.0,34.0
310.0,34.0
311.0,34.0
312.0,34.0
313.0,34.0
314.0,34.0
315.0,34.0
316.0,34.0
317.0,33.46074074074074
318.0,30.728148148148147
319.0,
320.0,
321.0,
322.0,
323.0,
324.0,
325.0,
326.0,
327.0,
328.0,
329.0,
330.0,
331.0,
332.0,
333.0,
334.0,
335.0,
336.0,
337.0,
338.0,
339.0,
340.0,
341.0,
342.0,
343.0,
344.0,
345.0,
346.0,
347.0,
348.0,
349.0,
350.0,
351.0,
352.0,
353.0,
354.0,
355.0,
356.0,
357.0,
358.0,
359.0,
360.0,
361.0,
362.0,
363.0,
364.0,
365.0,
366.0,
367.0,
368.0,
369.0,
370.0,
371.0,
372.0,
373.0,
374.0,
375.0,
376.0,
377.0,
378.0,
379.0,
380.0,
381.0,
382.0,
383.0,
384.0,
385.0,
386.0,
387.0,
388.0,
389.0,
390.0,
391.0,
392.0,
393.0,
394.0,
395.0,
396.0,
397.0,
398.0,
399.0,
400.0,
401.0,
402.0,
403.0,
404.0,
405.0,
406.0,
407.0,
408.0,
409.0,
410.0,
411.0,
412.0,
413.0,
414.0,
415.0,
416.0,
417.0,
418.0,
419.0,
420.0,
421.0,
422.0,
423.0,
424.0,
425.0,
426.0,
427.0,
428.0,
429.0,
430.0,
431.0,
432.0,
433.0,
434.0,
435.0,
436.0,
437.0,
438.0,
439.0,
440.0,
441.0,
442.0,
443.0,
444.0,
445.0,
446.0,
447.0,
448.0,
449.0,
450.0,
451.0,
452.0,
453.0,
454.0,
455.0,
456.0,
457.0,
458.0,
459.0,
460.0,
461.0,
462.0,
463.0,
464.0,
465.0,
466.0,
467.0,
468.0,
469.0,
470.0,
471.0,
472.0,
473.0,
474.0,
475.0,
476.0,
477.0,
478.0,
479.0,
480.0,
481.0,
482.0,
483.0,
484.0,
485.0,
486.0,
487.0,
488.0,
489.0,
490.0,
491.0,
492.0,
493.0,
494.0,
495.0,
496.0,
497.0,
498.0,
499.0,
500.0,
501.0,
502.0,
503.0,
504.0,
505.0,
506.0,
507.0,
508.0,
509.0,
510.0,
511.0,
512.0,
513.0,
514.0,
515.0,
516.0,
517.0,
518.0,
519.0,
520.0,
521.0,
522.0,
523.0,
524.0,
525.0,
526.0,
527.0,
528.0,
529.0,
530.0,
531.0,
532.0,
533.0,
534.0,
535.0,
536.0,
537.0,
538.0,
539.0,
540.0,
541.0,
542.0,
543.0,
544.0,
545.0,
546.0,
547.0,
548.0,
549.0,
550.0,
551.0,
552.0,
553.0,
554.0,
555.0,
556.0,
557.0,
558.0,
559.0,
560.0,
561.0,
562.0,
563.0,
564.0,
565.0,
566.0,
567.0,
568.0,
569.0,
570.0,
571.0,
572.0,
573.0,
574.0,
575.0,
576.0,
577.0,
578.0,
579.0,
580.0,
581.0,
582.0,
583.0,
584.0,
585.0,
586.0,
587.0,
588.0,
589.0,
590.0,
591.0,
592.0,
593.0,
594.0,
595.0,
596.0,
