Time(sec),ALPARR84EASL2
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-97.43333333333335
207.0,-96.33333333333334
208.0,-96.33333333333334
209.0,-96.33333333333334
210.0,-96.33333333333334
211.0,-96.33333333333334
212.0,-96.33333333333334
213.0,-96.33333333333334
214.0,-96.33333333333334
215.0,-96.33333333333334
216.0,-90.13333333333333
217.0,-86.0
218.0,-87.43333333333334
219.0,-96.5
220.0,-96.5
221.0,-98.25
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-99.875
246.0,-97.675
247.0,-94.0
248.0,-87.009375
249.0,-88.00729166666666
250.0,-97.5
251.0,-97.5
252.0,-97.5
253.0,-97.5
254.0,-97.5
255.0,-97.5
256.0,-97.5
257.0,-97.5
258.0,-97.5
259.0,-97.51470588235294
260.0,-98.45588235294119
261.0,-99.77941176470588
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-99.96825396825398
318.0,-99.69841269841268
319.0,-99.38095238095238
320.0,-99.06349206349206
321.0,-98.74603174603173
322.0,-98.42857142857144
323.0,-98.11111111111111
324.0,-97.79365079365078
325.0,-97.47619047619048
326.0,-97.33333333333334
327.0,-97.33333333333334
328.0,-97.33333333333334
329.0,-97.33333333333334
330.0,-97.33333333333334
331.0,-91.75
332.0,-58.8025641025641
333.0,-53.30769230769231
334.0,-55.01538461538462
335.0,-95.72345679012345
336.0,-97.46296296296298
337.0,-97.33333333333334
338.0,-97.33333333333334
339.0,-97.33333333333334
340.0,-97.33333333333334
341.0,-97.33333333333334
342.0,-97.33333333333334
343.0,-97.33333333333334
344.0,-97.33333333333334
345.0,-97.33333333333334
346.0,-90.05571428571429
347.0,-44.18666666666666
348.0,-37.616666666666674
349.0,-37.28333333333333
350.0,-37.019999999999996
351.0,-37.0
352.0,-37.0
353.0,-39.68333333333334
354.0,-71.54285714285713
355.0,-72.0
356.0,-72.0
357.0,-72.0
358.0,-72.0
359.0,-71.98113207547169
360.0,-71.82075471698114
361.0,-71.6320754716981
362.0,-49.12044025157233
363.0,-23.704666666666665
364.0,-67.78809523809524
365.0,-97.16666666666666
366.0,-97.16666666666666
367.0,-97.16666666666666
368.0,-97.16666666666666
369.0,-97.16666666666666
370.0,-97.16666666666666
371.0,-97.16666666666666
372.0,-97.16666666666666
373.0,-97.16666666666666
374.0,-97.16666666666666
375.0,-97.25726744186048
376.0,-97.42199612403101
377.0,-97.58672480620156
378.0,-97.75145348837209
379.0,-97.91618217054265
380.0,-98.08091085271319
381.0,-98.24563953488372
382.0,-98.41036821705426
383.0,-98.5750968992248
384.0,-98.73982558139535
385.0,-98.90455426356588
386.0,-99.06928294573643
387.0,-99.23401162790697
388.0,-99.39874031007751
389.0,-99.56346899224806
390.0,-99.72819767441861
391.0,-99.89292635658914
392.0,-99.99835271317829
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-100.0
399.0,-100.0
400.0,-100.0
401.0,-100.0
402.0,-100.0
403.0,-100.0
404.0,-100.0
405.0,-100.0
406.0,-100.0
407.0,-100.0
408.0,-100.0
409.0,-100.0
410.0,-100.0
411.0,-99.97572254335259
412.0,-99.89161849710982
413.0,-99.80491329479769
414.0,-99.71820809248554
415.0,-99.63150289017342
416.0,-99.54479768786128
417.0,-99.45809248554913
418.0,-99.40260115606935
419.0,-99.40173410404624
420.0,-99.40173410404624
421.0,-99.40173410404624
422.0,-99.40173410404624
423.0,-99.40173410404624
424.0,-99.40173410404624
425.0,-99.40173410404624
426.0,-99.40173410404624
427.0,-99.40173410404624
428.0,-99.32369942196532
429.0,-99.15028901734102
430.0,-98.97687861271677
431.0,-98.80346820809248
432.0,-98.6300578034682
433.0,-81.8842720795806
434.0,-71.62015503875969
435.0,-78.2003187712816
436.0,-99.12149532710279
437.0,-99.30841121495328
438.0,-99.44392523364485
439.0,-99.53738317757009
440.0,-99.63084112149534
441.0,-99.72429906542055
442.0,-99.8177570093458
443.0,-99.91121495327103
444.0,-99.99065420560748
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-100.0
466.0,-100.0
467.0,-100.0
468.0,-100.0
469.0,-100.0
470.0,-100.0
471.0,-100.0
472.0,-100.0
473.0,-100.0
474.0,-100.0
475.0,-100.0
476.0,-100.0
477.0,-100.0
478.0,-100.0
479.0,-100.0
480.0,-100.0
481.0,-100.0
482.0,-100.0
483.0,-100.0
484.0,-100.0
485.0,-100.0
486.0,-100.0
487.0,-100.0
488.0,-100.0
489.0,-100.0
490.0,-100.0
491.0,-100.0
492.0,-100.0
493.0,-100.0
494.0,-100.0
495.0,-100.0
496.0,-100.0
497.0,-100.0
498.0,-100.0
499.0,-100.0
500.0,-100.0
501.0,-100.0
502.0,-100.0
503.0,-100.0
504.0,-100.0
505.0,-100.0
506.0,-100.0
507.0,-100.0
508.0,-100.0
509.0,-100.0
510.0,-100.0
511.0,-100.0
512.0,-100.0
513.0,-100.0
514.0,-100.0
515.0,-100.0
516.0,-100.0
517.0,-100.0
518.0,-100.0
519.0,-100.0
520.0,-100.0
521.0,-100.0
522.0,-100.0
523.0,-100.0
524.0,-100.0
525.0,-100.0
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-100.0
573.0,-100.0
574.0,-100.0
575.0,-100.0
576.0,-100.0
577.0,-100.0
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
585.0,-100.0
586.0,-100.0
587.0,-100.0
588.0,-100.0
589.0,-100.0
590.0,-100.0
591.0,-100.0
592.0,-100.0
593.0,-100.0
594.0,-100.0
595.0,-100.0
596.0,-100.0
597.0,-100.0
598.0,-100.0
599.0,-100.0
600.0,-100.0
601.0,-100.0
602.0,-100.0
603.0,-100.0
604.0,-100.0
605.0,-100.0
606.0,-100.0
607.0,-100.0
608.0,-100.0
609.0,-100.0
610.0,-100.0
611.0,-100.0
612.0,-100.0
613.0,-100.0
614.0,-100.0
615.0,-100.0
616.0,-100.0
617.0,-100.0
618.0,-100.0
619.0,-100.0
620.0,-100.0
621.0,-100.0
622.0,-100.0
623.0,-100.0
624.0,-100.0
625.0,-100.0
626.0,-100.0
627.0,-100.0
628.0,-100.0
629.0,-100.0
630.0,-100.0
631.0,-100.0
632.0,-100.0
633.0,-100.0
634.0,-100.0
635.0,-100.0
636.0,-100.0
637.0,-100.0
638.0,-100.0
639.0,-100.0
640.0,-100.0
641.0,-100.0
642.0,-100.0
643.0,-100.0
644.0,-100.0
645.0,-100.0
646.0,-100.0
647.0,-100.0
648.0,-100.0
649.0,-100.0
650.0,-100.0
651.0,-100.0
652.0,-100.0
653.0,-100.0
654.0,-100.0
655.0,-100.0
656.0,-100.0
657.0,-100.0
658.0,-100.0
659.0,-100.0
660.0,-100.0
661.0,-100.0
662.0,-100.0
663.0,-100.0
664.0,-100.0
665.0,-100.0
666.0,-100.0
667.0,-100.0
668.0,-100.0
669.0,-100.0
670.0,-100.0
671.0,-100.0
672.0,-100.0
673.0,-100.0
674.0,-100.0
675.0,-100.0
676.0,-100.0
677.0,-100.0
678.0,-100.0
679.0,-100.0
680.0,-100.0
681.0,-100.0
682.0,-100.0
683.0,-100.0
