Time(sec),AWE3BMS01D2F9
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,
267.0,
268.0,
269.0,
270.0,
271.0,
272.0,
273.0,
274.0,
275.0,
276.0,
277.0,
278.0,
279.0,
280.0,
281.0,
282.0,
283.0,
284.0,
285.0,
286.0,
287.0,
288.0,
289.0,
290.0,
291.0,
292.0,
293.0,
294.0,
295.0,
296.0,
297.0,
298.0,
299.0,
300.0,
301.0,
302.0,
303.0,
304.0,
305.0,
306.0,
307.0,
308.0,
309.0,
310.0,
311.0,
312.0,51.59523809523809
313.0,51.59523809523809
314.0,20.060972222222226
315.0,-46.22083333333333
316.0,-90.18333333333334
317.0,-48.027307692307694
318.0,19.346666666666668
319.0,64.26960784313727
320.0,70.5
321.0,72.1
322.0,74.5
323.0,76.89523809523808
324.0,78.68204365079364
325.0,
326.0,
327.0,
328.0,
329.0,
330.0,
331.0,94.61507936507935
332.0,96.62420634920635
333.0,97.25
334.0,91.58833333333334
335.0,77.79347222222222
336.0,65.52623015873016
337.0,49.65452380952381
338.0,25.145
339.0,1.2880357142857144
340.0,-23.108789682539687
341.0,-53.535162337662335
342.0,-86.81458333333333
343.0,-98.0
344.0,-98.0
345.0,-98.0
346.0,-98.0
347.0,-98.0
348.0,-98.0
349.0,-98.0
350.0,-98.0
351.0,-98.0
352.0,-98.0
353.0,-98.0
354.0,-98.0
355.0,-98.0
356.0,-98.0
357.0,-98.0
358.0,-98.0
359.0,-98.0
360.0,-98.0
361.0,-98.0
362.0,-98.0
363.0,-98.0
364.0,-98.0
365.0,-98.0
366.0,-98.0
367.0,-98.0
368.0,-98.0
369.0,-98.0
370.0,-98.0
371.0,-98.0
372.0,-98.0
373.0,-98.0
374.0,-98.0
375.0,-98.0
376.0,-98.0
377.0,-98.0
378.0,-98.0
379.0,-98.0
380.0,-98.0
381.0,-98.0
382.0,-98.0
383.0,-98.0
384.0,-98.0
385.0,-98.0
386.0,-98.0
387.0,-98.0
388.0,-98.0
389.0,-98.0
390.0,-98.0
391.0,-98.0
392.0,-98.0
393.0,-98.0
394.0,-98.0
395.0,-98.0
396.0,-98.0
397.0,-98.0
398.0,-98.0
399.0,-98.0
400.0,-98.0
401.0,-98.0
402.0,-86.39047619047619
403.0,-66.43333333333332
404.0,-69.11333333333333
405.0,-96.66666666666667
406.0,-99.0
407.0,-99.0
408.0,-99.0
409.0,-99.0
410.0,-99.0
411.0,-99.0
412.0,-99.0
413.0,-99.0
414.0,-99.0
415.0,-99.0
416.0,-99.0
417.0,-99.0
418.0,-99.0
419.0,-99.0
420.0,-99.0
421.0,-99.0
422.0,-99.0
423.0,-99.0
424.0,-99.0
425.0,-99.0
426.0,-99.0
427.0,-99.0
428.0,-99.0
429.0,-99.0
430.0,-99.0
431.0,-99.0
432.0,-99.0
433.0,-99.0
434.0,-99.0
435.0,-99.0
436.0,-99.0
437.0,-99.0
438.0,-99.0
439.0,-99.0
440.0,-99.0
441.0,-99.0
442.0,-99.0
443.0,-99.0
444.0,-99.0
445.0,-99.0
446.0,-99.0
447.0,-99.0
448.0,-99.0
449.0,-99.0
450.0,-99.0
451.0,-99.0
452.0,-99.0
453.0,-99.0
454.0,-99.0
455.0,-99.0
456.0,-99.0
457.0,-99.0
458.0,-99.0
459.0,-99.0
460.0,-99.0
461.0,-99.0
462.0,-99.0
463.0,-99.0
464.0,-99.0
465.0,-99.0
466.0,-99.0
467.0,-99.0
468.0,-99.0
469.0,-99.0
470.0,-99.0
471.0,-99.0
472.0,-99.0
473.0,-99.0
474.0,-99.0
475.0,-99.0
476.0,-99.0
477.0,-99.0
478.0,-99.0
479.0,-99.0
480.0,-99.0
481.0,-99.0
482.0,-99.0
483.0,-99.0
484.0,-99.0
485.0,-99.0
486.0,-99.0
487.0,-99.0
488.0,-99.0
489.0,-99.0
490.0,-99.0
491.0,-99.0
492.0,-99.0
493.0,-99.0
494.0,-99.0
495.0,-99.0
496.0,-99.0
497.0,-99.0
498.0,-99.0
499.0,-99.0
500.0,-99.0
501.0,-99.0
502.0,-99.0
503.0,-99.0
504.0,-99.0
505.0,-99.0
506.0,-99.0
507.0,-99.0
508.0,-99.0
509.0,-99.0
510.0,-99.0
511.0,-99.0
512.0,-99.0
513.0,-99.0
514.0,-99.0
515.0,-99.0
516.0,-99.0
517.0,-99.0
518.0,-99.0
519.0,-99.0
520.0,-99.0
521.0,-99.0
522.0,-99.0
523.0,-99.0
524.0,-99.0
525.0,-99.0
526.0,-99.0
527.0,-99.0
528.0,-99.0
529.0,-99.0
530.0,-99.0
531.0,-99.0
532.0,-99.0
533.0,-99.0
534.0,-99.0
535.0,-99.0
536.0,-99.0
537.0,-99.0
538.0,-99.0
539.0,-99.0
540.0,-99.0
541.0,-99.0
542.0,-99.0
543.0,-99.0
544.0,-99.0
545.0,-99.0
546.0,-99.0
547.0,-99.0
548.0,-99.0
549.0,-99.0
550.0,-99.0
551.0,-99.0
552.0,-99.0
553.0,-99.0
554.0,-99.0
555.0,-99.0
556.0,-99.0
557.0,-99.0
558.0,-99.0
559.0,-99.0
560.0,-99.0
561.0,-99.0
562.0,-99.0
563.0,-99.0
564.0,-99.0
565.0,-99.0
566.0,-99.0
567.0,-99.0
568.0,-99.0
