Time(sec),nan_x
182.0,-100.0
183.0,-100.0
184.0,-100.0
185.0,-100.0
186.0,-100.0
187.0,-100.0
188.0,-100.0
189.0,-100.0
190.0,-100.0
191.0,-100.0
192.0,-100.0
193.0,-100.0
194.0,-100.0
195.0,-100.0
196.0,-100.0
197.0,-100.0
198.0,-100.0
199.0,-100.0
200.0,-100.0
201.0,-100.0
202.0,-100.0
203.0,-100.0
204.0,-100.0
205.0,-100.0
206.0,-100.0
207.0,-100.0
208.0,-100.0
209.0,-100.0
210.0,-100.0
211.0,-100.0
212.0,-100.0
213.0,-100.0
214.0,-100.0
215.0,-100.0
216.0,-100.0
217.0,-100.0
218.0,-100.0
219.0,-100.0
220.0,-100.0
221.0,-100.0
222.0,-100.0
223.0,-100.0
224.0,-100.0
225.0,-100.0
226.0,-100.0
227.0,-100.0
228.0,-100.0
229.0,-100.0
230.0,-100.0
231.0,-100.0
232.0,-100.0
233.0,-100.0
234.0,-100.0
235.0,-100.0
236.0,-100.0
237.0,-100.0
238.0,-100.0
239.0,-100.0
240.0,-100.0
241.0,-100.0
242.0,-100.0
243.0,-100.0
244.0,-100.0
245.0,-100.0
246.0,-100.0
247.0,-100.0
248.0,-100.0
249.0,-100.0
250.0,-100.0
251.0,-100.0
252.0,-100.0
253.0,-100.0
254.0,-100.0
255.0,-100.0
256.0,-100.0
257.0,-100.0
258.0,-100.0
259.0,-100.0
260.0,-100.0
261.0,-100.0
262.0,-100.0
263.0,-100.0
264.0,-100.0
265.0,-100.0
266.0,-100.0
267.0,-100.0
268.0,-100.0
269.0,-100.0
270.0,-100.0
271.0,-100.0
272.0,-100.0
273.0,-100.0
274.0,-100.0
275.0,-100.0
276.0,-100.0
277.0,-100.0
278.0,-100.0
279.0,-100.0
280.0,-100.0
281.0,-100.0
282.0,-100.0
283.0,-100.0
284.0,-100.0
285.0,-100.0
286.0,-100.0
287.0,-100.0
288.0,-100.0
289.0,-100.0
290.0,-100.0
291.0,-100.0
292.0,-100.0
293.0,-100.0
294.0,-100.0
295.0,-100.0
296.0,-100.0
297.0,-100.0
298.0,-100.0
299.0,-100.0
300.0,-100.0
301.0,-100.0
302.0,-100.0
303.0,-100.0
304.0,-100.0
305.0,-100.0
306.0,-100.0
307.0,-100.0
308.0,-100.0
309.0,-100.0
310.0,-100.0
311.0,-100.0
312.0,-100.0
313.0,-100.0
314.0,-100.0
315.0,-100.0
316.0,-100.0
317.0,-100.0
318.0,-100.0
319.0,-100.0
320.0,-100.0
321.0,-100.0
322.0,-100.0
323.0,-100.0
324.0,-100.0
325.0,-100.0
326.0,-100.0
327.0,-100.0
328.0,-100.0
329.0,-100.0
330.0,-100.0
331.0,-100.0
332.0,-100.0
333.0,-100.0
334.0,-100.0
335.0,-100.0
336.0,-97.72463768115942
337.0,-79.33119047619047
338.0,-66.0
339.0,-66.0
340.0,-76.93568376068376
341.0,-95.39222222222222
342.0,-99.58
343.0,-100.0
344.0,-100.0
345.0,-100.0
346.0,-100.0
347.0,-100.0
348.0,-100.0
349.0,-100.0
350.0,-100.0
351.0,-100.0
352.0,-100.0
353.0,-100.0
354.0,-100.0
355.0,-100.0
356.0,-100.0
357.0,-100.0
358.0,-100.0
359.0,-100.0
360.0,-100.0
361.0,-100.0
362.0,-100.0
363.0,-100.0
364.0,-100.0
365.0,-100.0
366.0,-100.0
367.0,-100.0
368.0,-100.0
369.0,-100.0
370.0,-100.0
371.0,-100.0
372.0,-100.0
373.0,-100.0
374.0,-100.0
375.0,-100.0
376.0,-100.0
377.0,-100.0
378.0,-100.0
379.0,-100.0
380.0,-100.0
381.0,-100.0
382.0,-100.0
383.0,-100.0
384.0,-100.0
385.0,-100.0
386.0,-100.0
387.0,-100.0
388.0,-100.0
389.0,-100.0
390.0,-100.0
391.0,-100.0
392.0,-100.0
393.0,-100.0
394.0,-100.0
395.0,-100.0
396.0,-100.0
397.0,-100.0
398.0,-100.0
399.0,-100.0
400.0,-100.0
401.0,-100.0
402.0,-100.0
403.0,-100.0
404.0,-100.0
405.0,-100.0
406.0,-100.0
407.0,-100.0
408.0,-100.0
409.0,-100.0
410.0,-100.0
411.0,-100.0
412.0,-100.0
413.0,-100.0
414.0,-100.0
415.0,-100.0
416.0,-100.0
417.0,-100.0
418.0,-100.0
419.0,-100.0
420.0,-99.50263157894737
421.0,-98.3421052631579
422.0,-98.3421052631579
423.0,-98.3421052631579
424.0,-96.24210526315791
425.0,-88.45800915331807
426.0,-63.843181818181826
427.0,-60.0
428.0,-60.0
429.0,-75.29993788819877
430.0,-87.52333333333333
431.0,-92.14999999999999
432.0,-97.76363636363635
433.0,-100.0
434.0,-100.0
435.0,-100.0
436.0,-100.0
437.0,-100.0
438.0,-100.0
439.0,-100.0
440.0,-100.0
441.0,-100.0
442.0,-100.0
443.0,-100.0
444.0,-100.0
445.0,-100.0
446.0,-100.0
447.0,-100.0
448.0,-100.0
449.0,-100.0
450.0,-100.0
451.0,-100.0
452.0,-100.0
453.0,-100.0
454.0,-100.0
455.0,-100.0
456.0,-100.0
457.0,-100.0
458.0,-100.0
459.0,-100.0
460.0,-100.0
461.0,-100.0
462.0,-100.0
463.0,-100.0
464.0,-100.0
465.0,-99.06974789915965
466.0,-92.35142857142856
467.0,-89.05999999999999
468.0,-89.05999999999999
469.0,-89.05999999999999
470.0,-89.05999999999999
471.0,-85.22675000000001
472.0,-63.91627966976264
473.0,-58.0
474.0,-58.0
475.0,-58.0
476.0,-58.0
477.0,-60.97604166666666
478.0,-81.58582887700535
479.0,-87.632
480.0,-92.03500000000003
481.0,-97.08500000000001
482.0,-98.0
483.0,-98.0
484.0,-98.0
485.0,-98.0
486.0,-98.0
487.0,-98.0
488.0,-98.0
489.0,-98.0
490.0,-98.0
491.0,-98.0
492.0,-98.0
493.0,-98.0
494.0,-98.0
495.0,-98.0
496.0,-98.0
497.0,-98.0
498.0,-98.0
499.0,-98.0
500.0,-98.0
501.0,-98.0
502.0,-98.0
503.0,-98.0
504.0,-98.0
505.0,-98.0
506.0,-98.0
507.0,-98.0
508.0,-98.0
509.0,-98.0
510.0,-98.0
511.0,-98.0
512.0,-98.0
513.0,-98.0
514.0,-98.0
515.0,-98.0
516.0,-98.0
517.0,-98.0
518.0,-98.0
519.0,-98.0
520.0,-98.0
521.0,-98.0
522.0,-98.0
523.0,-95.38333333333334
524.0,-75.25848214285715
525.0,-96.23129629629629
526.0,-100.0
527.0,-100.0
528.0,-100.0
529.0,-100.0
530.0,-100.0
531.0,-100.0
532.0,-100.0
533.0,-100.0
534.0,-100.0
535.0,-100.0
536.0,-100.0
537.0,-100.0
538.0,-100.0
539.0,-100.0
540.0,-100.0
541.0,-100.0
542.0,-100.0
543.0,-100.0
544.0,-100.0
545.0,-100.0
546.0,-100.0
547.0,-100.0
548.0,-100.0
549.0,-100.0
550.0,-100.0
551.0,-100.0
552.0,-100.0
553.0,-100.0
554.0,-100.0
555.0,-100.0
556.0,-100.0
557.0,-100.0
558.0,-100.0
559.0,-100.0
560.0,-100.0
561.0,-100.0
562.0,-100.0
563.0,-100.0
564.0,-100.0
565.0,-100.0
566.0,-100.0
567.0,-100.0
568.0,-100.0
569.0,-100.0
570.0,-100.0
571.0,-100.0
572.0,-100.0
573.0,-100.0
574.0,-100.0
575.0,-100.0
576.0,-100.0
577.0,-100.0
578.0,-100.0
579.0,-100.0
580.0,-100.0
581.0,-100.0
582.0,-100.0
583.0,-100.0
584.0,-100.0
585.0,-100.0
586.0,-100.0
587.0,-100.0
588.0,-100.0
589.0,-100.0
590.0,-100.0
591.0,-100.0
592.0,-100.0
593.0,-100.0
594.0,-100.0
595.0,-100.0
596.0,-100.0
597.0,-100.0
598.0,-100.0
599.0,-100.0
600.0,-100.0
601.0,-100.0
602.0,-100.0
603.0,-100.0
604.0,-100.0
605.0,-100.0
606.0,-100.0
607.0,-100.0
608.0,-100.0
609.0,-100.0
610.0,-100.0
611.0,-100.0
612.0,-100.0
613.0,-100.0
614.0,-100.0
615.0,-100.0
616.0,-100.0
617.0,-100.0
618.0,-100.0
619.0,-100.0
620.0,-100.0
621.0,-100.0
622.0,-100.0
623.0,-100.0
624.0,-100.0
625.0,-100.0
626.0,-100.0
627.0,-100.0
628.0,-100.0
629.0,-100.0
630.0,-100.0
631.0,-100.0
632.0,-100.0
633.0,-100.0
634.0,-100.0
635.0,-100.0
636.0,-100.0
637.0,-100.0
638.0,-100.0
639.0,-100.0
640.0,-100.0
641.0,-100.0
642.0,-100.0
643.0,-100.0
644.0,-100.0
645.0,-100.0
646.0,-100.0
647.0,-100.0
648.0,-100.0
649.0,-100.0
650.0,-100.0
651.0,-100.0
652.0,-100.0
653.0,-100.0
654.0,-100.0
655.0,-100.0
656.0,-100.0
657.0,-100.0
658.0,-100.0
659.0,-100.0
660.0,-100.0
661.0,-100.0
662.0,-100.0
663.0,-100.0
664.0,-100.0
665.0,-100.0
666.0,-100.0
667.0,-100.0
668.0,-100.0
669.0,-100.0
670.0,-100.0
671.0,-100.0
672.0,-100.0
673.0,-100.0
674.0,-100.0
675.0,-100.0
676.0,-100.0
677.0,-100.0
678.0,-100.0
679.0,-100.0
680.0,-100.0
681.0,-100.0
682.0,-100.0
683.0,-100.0
684.0,-100.0
685.0,-100.0
686.0,-100.0
687.0,-100.0
688.0,-100.0
689.0,-100.0
690.0,-100.0
691.0,-100.0
692.0,-100.0
693.0,-100.0
694.0,-100.0
695.0,-100.0
696.0,-100.0
697.0,-100.0
698.0,-100.0
699.0,-100.0
700.0,-100.0
701.0,-100.0
702.0,-100.0
