Time(sec),A2IJQ30G1BWGV
171.0,-18.0
172.0,-18.0
173.0,-18.0
174.0,-18.0
175.0,-18.0
176.0,-18.0
177.0,-18.0
178.0,-18.0
179.0,-18.0
180.0,-18.0
181.0,-18.0
182.0,-18.0
183.0,-18.0
184.0,-18.0
185.0,-18.0
186.0,-18.0
187.0,-18.0
188.0,-18.0
189.0,-18.0
190.0,-18.0
191.0,-18.0
192.0,-18.0
193.0,-18.0
194.0,-18.0
195.0,-18.0
196.0,-18.0
197.0,-18.0
198.0,-18.0
199.0,-18.0
200.0,-18.0
201.0,-18.0
202.0,-18.0
203.0,-18.0
204.0,-18.0
205.0,-18.0
206.0,-18.0
207.0,-18.0
208.0,-18.0
209.0,-18.0
210.0,-18.0
211.0,-18.0
212.0,-18.0
213.0,-18.0
214.0,-18.0
215.0,-18.0
216.0,-18.0
217.0,-18.0
218.0,-18.0
219.0,-18.0
220.0,-18.0
221.0,-18.0
222.0,-18.0
223.0,-18.0
224.0,-18.0
225.0,-18.0
226.0,-18.0
227.0,-18.0
228.0,-18.0
229.0,-18.0
230.0,-18.0
231.0,-18.0
232.0,-18.0
233.0,-18.0
234.0,-18.0
235.0,-18.0
236.0,-18.0
237.0,-18.0
238.0,-18.0
239.0,-18.0
240.0,-18.0
241.0,-18.0
242.0,-18.0
243.0,-18.0
244.0,-18.0
245.0,-18.0
246.0,-18.0
247.0,-18.0
248.0,-18.0
249.0,-18.0
250.0,-18.0
251.0,-18.0
252.0,-18.0
253.0,-18.0
254.0,-18.0
255.0,-18.0
256.0,-18.0
257.0,-18.0
258.0,-18.0
259.0,-18.0
260.0,-18.0
261.0,-18.0
262.0,-18.0
263.0,-18.0
264.0,-18.0
265.0,-18.0
266.0,-18.0
267.0,-18.0
268.0,-18.0
269.0,-18.0
270.0,-18.0
271.0,-18.0
272.0,-18.0
273.0,-18.0
274.0,-18.0
275.0,-18.0
276.0,-18.0
277.0,-18.0
278.0,-18.0
279.0,-18.0
280.0,-18.0
281.0,-18.0
282.0,-18.0
283.0,-18.0
284.0,-18.0
285.0,-18.0
286.0,-18.0
287.0,-18.0
288.0,-18.0
289.0,-18.0
290.0,-18.0
291.0,-18.0
292.0,-18.0
293.0,-18.0
294.0,-18.0
295.0,-18.0
296.0,-18.0
297.0,-18.0
298.0,-18.0
299.0,-18.0
300.0,-18.0
301.0,-18.0
302.0,-18.0
303.0,-18.0
304.0,-18.0
305.0,-18.0
306.0,-18.0
307.0,-18.0
308.0,-18.0
309.0,-18.0
310.0,-18.0
311.0,-18.0
312.0,-18.0
313.0,-18.0
314.0,-18.0
315.0,-18.0
316.0,-18.0
317.0,-18.0
318.0,-18.0
319.0,-18.0
320.0,-18.0
321.0,-18.0
322.0,-18.0
323.0,-18.0
324.0,-18.0
325.0,-18.0
326.0,-18.0
327.0,-18.0
328.0,-18.0
329.0,-18.0
330.0,-18.0
331.0,-18.0
332.0,-18.0
333.0,-18.0
334.0,-18.0
335.0,-18.0
336.0,-18.0
337.0,-18.0
338.0,-18.0
339.0,-18.0
340.0,-18.0
341.0,-18.0
342.0,-18.0
343.0,-18.0
344.0,-18.0
345.0,-18.0
346.0,-18.0
347.0,-18.0
348.0,-18.0
349.0,-18.0
350.0,-18.0
351.0,-18.0
352.0,-18.0
353.0,-18.0
